ID,Comments
1,"For Easter I decided I’ll impregnate one of you.

Happy Easter 🥚"
2,🥚
3,you t🥚🥚
4,🥚
5,happy easter myluvvv 🥚🥚🥚
6,🥚 Happy Easter to all our members! 🥚
7,You too Bro 🥚
8,"Easter is next Sunday as I'm not Catholic but Christian.
But anyway Happy Easter to everyone 🥚"
9,"Happy Easter, y'all!

Have a farm fresh egg right out of a chicken's bottom. 🥚"
10,Happy Easter Everyone! (here have an egg 🥚)
11,🥚 can I offer you an egg on this trying day?
12,Happy 🥚 to you too
13,Happy Easter! 🥚
14,"🥚HAPPY EASTER!🥚

I finally get to open this bad boy it's been sitting on the kitchen counter for 2 weeks staring me down but now it's my time!"
15,Happy egg day everyone 🥚
16,"RISE &amp; SHINE...EASTER EGG 🥚 HUNT IS ON TODAY...MOM &amp; POPS HAVE SET UP PLAY EGGS WITH MONEY &amp; OTHER ITEMS FOR ALL THE GRAND KIDS TODAY, TO FIND..I GOT BIGGER KIDS, SO THAT'S WHY THEY MAKE IT FUN FOR ALL...SEE WHY GRANDPARENTS ARE SO SPECIAL"
17,Happy #EasterSunday 🥚 Nestor is starting today at 1:35pm #RepBx
18,"Happy Easter from gowithYamo! Why not mark the occasion with the work Sarah Lucas and her career-long celebration of eggs? 🥚

Pictured:
Self Portrait with Fried Eggs (1996)
1000 Eggs: For Women (2018)"
19,"Happy Easter, Crew! Have fun hunting eggs! Show us your loot 🥚(I hope these aren't our children?!) #IndieDev #WholesomeGames"
20,That’s so lovely 🥚
21,remember eggs with filling inside are the best 🥚🥚
22,"Happy Easter!!!  (from the Grifter floor🥚)

** Quick update on Grifter Hands **
You could now use the HODL site to add custom text bubbles .. and more! Check it out! 
http://3.23.90.32/Grifter_Hands/HODL.html# #GriftersGonnaGrift #GrifterHands"
23,happy easter everyone! hope yall have fun with friends and family today! 🥚🥚🥚
24,Happy Easter everyone! 🥚
25,"More #Verse 

Happy Easter btw 🥚"
26,No 🥚🥚 hidden here. Kids are adults.
27,My best wishes to you and family.Happy Easter🥚
28,Happy Easter 🥚🥚
29,"🥚 1/2 of your eggs have been found! 🥚

I have your address. Prize will be sent shortly"
30,"Thank God for casting away my sins. Thank Judas for the day off.

Happy Easter!🥚"
31,"Sure, why not? 🥚🥚🥚"
32,Frohe Ostern 🥚
33,Happy easter everyone! I hope you spend it with your love ones today! 🥚
34,"Perfectly sized pink 🥚🥚!
And, they look great on you.
Happy Easter"
35,"A small point, but ""in Scotland and"" is superfluous to this sentence.

Much like are superfluous to absolutely everything. 

🥚"
36,I counted 9 eggs 🥚
37,"Happy Easter to you, too!  Gm! 🥚🥚"
38,"Happy Easter everyone! If you don't celebrate Easter, then have a great Sunday! Have a wonderful time! 🥚"
39,Don't put all your eggs🥚 in one basket when it comes to receiving weather warnings! #newx
40,HAPPY EASTER🥚🥚🥚🥚
41,"Easter Sunday. I’m currently at work in for minimum wage and no overtime premium thanks to 

Happy #Easter 🥚"
42,"Children in Merseyside have designed seven Eurovision eggs inspired by Ukrainian Pysanka traditions, which are now on display in Liverpool ONE. 🥚"
43,Frohe 🥚#Legalisierung an alle im #CSC &amp; #Weedmob
44,the hunt is on 🥚
45,"Feel like EGG-sploring today? If so, join us for the Nutty Chocolatier's Annual Community Easter Egg Hunt! Free admission, gates open at noon, and the Easter Egg Hunt begins at 12:15 pm! Who will find the Golden Egg this year?! 🥚

Learn more:"
46,"Andy Warhol
Eggs, 1982
synthetic polymer and silkscreen ink on canvas, 14 x 11”

#andywarhol #artist #painting #printmaking #art #contemporaryart 🥚🥚🥚"
47,"Happy Easter from Our Team! 🥚🥚🥚

#EndoMiamiBeach #MiamiBeach #Endodontics #RootCanalTherapy #NaturalTeeth #DentalHealth #DentalCare"
48,happy easter 🥚
49,Happy easter everyone 🥚
50,"I was there this afternoon to celebrate Easter, I found 2 eggs during Easter egg hunt lol 🥚"
