ID,Comments
1,I would have gone after them fu*kers.😡😡😡
2,give them back to me 😡😡😡😡
3,Gi-yeong's dad is so useless jfc...and step mum needs to take several seats... what an asshole she is 😡 #DivorceAttorneyShin
4,I have to walk to the store 😡
5,"No I will NOT celebrate Easter GO BACK TO THE MOON!!! 😡
#Touhou #東方Project"
6,#UTAvsLAL 0 ft attempt for the Jazz😡
7,Wow what a fooking piss take!!! 😡
8,You would never know it based on the featured group😡
9,what's up with this chip bag? I've never seen a bag so empty 😡
10,"Heineken part owner now as well as 
Brewdog
Hobgoblin
Beavertown any up and coming brewery is snapped by them 😡"
11,"This was Boris during lockdown, I just thought it was worth reminding everyone…! 😡😡😡"
12,Shame that elbow didn’t know the cunt out 😡
13,"Major UK travel companies have stopped selling tickets to marine parks that imprison orcas in cramped tanks of chemically treated water around 10,000 times smaller than their home range – except 😡 Take action to help #EmptyTheTanks."
14,As a Pagan and Humanist I have an issue with this too !! 😡
15,Yalll Niggas reply your dms !!!!😡😡😡😡
16,"Until the electronic speed signs are connected to a ticket, they do more harm than good. Too many try to beat their last displayed speed rather than slow da fuque down. 😡"
17,This rain throwing me I’m trying to pop out 😡
18,Stop making excuses 😡
19,There are realistic business people do which is not for the media . Take your bbn mindset away from here 😡
20,Disgusting. Narcissistic Grifting Vindictive Ignorant human being 😡😡😡
21,"""what the fuck 😡"""
22,And Peabody Trust selling off flats built for families less well off.😡
23,Flip coin will be then (how mad can I be for this Mavs 2games tank?...😡)
24,"How the #lied about the #effectiveness of the #vaccines. 😡😡😡

Stort TACK"
25,They’re not hiding it anymore…AT ALL.  😡
26,Is this DARVIN HAM’s Tour of losing large leads gonna stop ? 😡
27,your blood needs to be nicer to you 😡 I send you my warmest blankets
28,they lost thanks for the jinx 😡
29,Yeah. My mum and dads home has been bought by a money grabbing landlord which has turned a 3 bed house in to  6 x bed sits 😡
30,"Don’t be shy Chan, drop the name of the hotel 😡"
31,i just want to your support system via the app is so annoying...one will want to reach you to report an issue it'll take you forever to reply or will not even reply at all..😡
32,Yup Pope included.😡
33,"playing with no energy....
😡"
34,Filter sales ??? There is money that counts and another that doesn't??? What a shame that every time BTS or Jimin managed to reach #1 they have to change their rules to get him out of the TOP 😡😡😡😡😡😡
35,"Unacceptable,hope you put him in his place 😡"
36,"How exactly, is this fantastic news?   😡"
37,"I’d love to to tie this up who did this to such a beautiful animal, and hit them with a big stick!!😡😡😡"
38,i’ve been your boyfriend this entire time!!! who is YOUR boyfriend😡😡😡
39,"I have to have an ID to get on a plane, into a courthouse, classroom, dr office, police station, and hundreds of other places, but the one thing that is severely important to our national security and fairness in polls...we don’t need one? Seriously?😡"
40,They had to be oppressed by white supremacy. What else could it of been. 😡
41,"Wait what? Have we all forgotten that Joe Biden is a racist or as WhyTe people say, that is in his past? 😡😡"
42,"I agree,If that was why do it for Harry and nobody else.😡😡😡"
43,And you're a poopyface 😡😡😡😡😡😡😡😡😡😡😡
44,"""I’m even tempted to blame Adam &amp; Eve and THAT snake😡😡😡"""
45,You'd take him back in a heartbeat if he asked you to and that's the *gosh darn*😡 problem. That's what keeps you from moving on.
46,Join up or else 😡
47,"pandora was doing this the other day! we were eating chocolate pastries and she was like ""MOWWWW 😡😡😡"" like girl you will D1E."
48,THIS MADE ME MAD 😡
49,"I think “The Jab”always did more harm than good! After all,it didn’t stop contraction or transmission. Serious adverse events/death. Disgraceful! What was Fucking “good”about it?😡"
50,They chose to lead? So what is the difference between them and all the people in January 6? The differences these nincompoops in Tennessee don’t know the constitution. And you don’t know the constitution either camel. - rules for thee but not for me 😡😡😡
51,Hey you're not my parents!!! 😡
52,Have you tried being a postman for 6 days a week in the pissing rain 😡😡
53,"Femboy Hooters, they have eradicated my femboys and made them all girls😡😡😡"
54,"*I find it disturbing and disappointing to read some of the comments here, and to find that you are not telling us a thing, yes we're all in the same boat, but this is your error not ours!😡"
55,"Pervert, degenerates, nasty, evil, pedophile. You are the same devil. Despicable. Disgusting pervert 😡"
56,"He was assassinated during thd first ever coup d'état in Nigerian history led by by Chukwuma Kaduna Nzeogwu and Emmanuel Ifeajuna on January 15th, 1966. they killed 22 people including the prime minister of Nigeria, many senior politicians, senior Army officers and their wives.😡"
57,The away fan dominance needs to stop...😡
58,"I love my Governor #WeThePeople are done with blund and deaf REFUSAL to do the job they were voted in to do! Plus Harlan Crow now? We never left the ""civil war"", the South are still fighting 😡"
59,Why? He’s 96 years old and is a national treasure. People like you disgust me 😡
60,"fkn Twitter stay changing my Tweets Right When I Hit Send 😡😡😡

Dickride*"
61,"Good Lord 
He's A danger to himself and others 😡"
62,No you're just declining before our eyes!! 😡
63,I hope they pull their license!!!😡😡
64,Cortejeame😡
65,Dutty man  can just imagine how his mouth stink too! They should lock him up! 😡
66,DECIDE RN BC I NEED A NEW HOBBY 😡😡😡😡😡😡😡
67,"Absolutely my respect for the RF left after the Queens funeral. We all knew what Charlie was like, knew what he would do when he became King and he’s not disappointed us 😡"
68,"WTF? Unbelievable! 
DANGEROUS: Musk lifts restrictions on Putin's Twitter account. 😡 
#PutinIsaWarCriminal
#PutinWarCriminal
By"
69,"Any parent that brings their kids to these events is corrupt like Trudeau, and not fit to even be a parent in the first place""😡"
70,Yet your party voted to fill our waterways with raw sewage 😡 full of shit u Coffey
71,This is pure sickness  😡
72,"Makes no sense…what does he do? Stick it up his ass? Fire this man, the marketing team and whatever executive signed off on this one! Then issue a very public apology to all women for Tampax’s idiotic lapse in judgement😡"
73,"How’s like this everywhere you’re
acting or tacking  pic someone’s clicking you’re pic😡"
74,"Girl I wish. Pastel colors only, only the ugly ones 😡"
75,"A former Twitter executive...
""It would be exceedingly unlikely that this change would have happened accidentally, or without the knowledge and direction of the company's staff""
😡🇺🇦😡🇺🇦😡"
76,How awful. 😡 Does your neighbour have a security camera? If so sharing the video could help find the culprit.
77,My whole life I have been a good person. I always try to work on myself and become the best version of myself. But I am finally sick and tired 😡
78,Kinell Koepka you are bottling it and my bet with it 😡
79,"Tired of fake Christians trying to virtue signal with Jesus's name all the while doing everything they can,against his teachings😡"
80,Brash not built for this right now. That control 😡
81,will* trigger anger 😡
82,nobody told him goodnight and don’t let the bed bugs bite 😡
83,These old men are just playing with the future our Young youth who should be passionate about their education status.. The Asuu na big scam and it should be scrapped off😡
84,"Tired of fake Christians trying to virtue signal with Jesus's name all the while doing everything they can,against his teachings😡"
85,"Well, she does have those CATS! 
Not a cat person myself,I am quite allergic! Don’t like fish tanks either…had dogs for 27 years. I’m done picking up poop. But she does have to find a “cat guy” I think…
But with George, was said like he was “charming &amp; hot”, with Taylor, not.😡"
86,to co ciumes 😡
87,"Yes dogs on leads, or owners stay at home😡"
88,"Now then, Henry.
You're not at The Daily Mail yet 😡"
89,"Ni des nupes, une évidence 😡"
90,"Tired of fake Christians trying to virtue signal with Jesus's name all the while doing everything they can,against his teachings😡"
91,"Unfortunately I’m not surprised, I don’t have words for these likes anymore 😡"
92,"Now who will Answer???😡
"
93,Kept that quiet you old melt. Absolutely fuming 😡
94,"This “influencer” called me “fake threadguy” and then LAUGHED IN MY FACE 😡😡😡

As a community we need to be careful who we platform - I can’t believe that an “influencer” would do something like this"
95,"They don’t care about us oo … all they care about is the money we are making for them 
Foolish company that . 😡😡"
96,"New Marburg Outbreaks in Africa Raise Alarm About the Deadly Virus’s Spread - The New York Times 
COVID emergency finally ends in May, but warming up in the batter's box is Marburg...
RESIST 😡"
97,"So are we going to even get true numbers when the data is released on Monday? My absolute respect goes to all of ARMY who have been here for years and have had this sh*t pulled over the years😡Also, are they tracking payment info?! Cause wtaf?!"
98,That’s currently our fear again. 85 year old mil in hospital. Nurses walking around in baggy blue masks. Some under their noses. This morning husband and I were the only ones in a respirator. 😡 F*ck!
99,Great next week back to normal then with the weather 😡😡
100,Not my queen. Those of us bra burners knew the difference between male and female. We are NOT responsible for this shit show. 😡
101,Are you on a date !! With another man ?! 😡😡
102,tricked again Ernie! 😡😡
103,He doesn’t care- he’s fulfilled his mission to take us back into the EU without mandate! 😡😡😡😡
104,Damn her. Lesbian support kept Xena Warrior Princess going. She said as much. Now she's succumbing to gender ideology which is transing the gay away 😡
105,The referee was totally against Arsenal in this game and all his decisions were baised 😡😡😡😡 he must be a Man city fan
106,siempre piscis a lo ultimo 😡
107,"I missed it, but this is gonna be banger i already know. now let them curse. 😡"
108,Trump is the dumbest president ever 😡
109,Not One of Them Jane!! 😡😡
110,"How the lied about the effectiveness of the vaccines. 
😡😡😡"
111,That sucks what is wrong with them that's so inconsiderate I'm mad 😡
112,"Ah ah e for shock me na, that after yesterday’s rain there’ll be light today… a whole Easter holiday in darkness 😡"
113,Use your button 😡
114,"And the EVIL ones are grinning , guess its ok for someone to go do that to their mother?😡"
115,Trump is the dumbest president ever 😡
116,Don’t bro me 😡 You would want that too
117,We would fight everything that hurt chan 😡
118,"Ooof … read through his replies, and he seems to realize he’s stepped in it, but he continues to defend his posts and racist views 😡 I wasn’t following him (and he wasn’t following me), but I did block him, as I can’t stand that kind of crap"
119,Just take a car nd Drive to hell 😡
120,This evil witch allegedly watched video of Arshard Sharif getting tortured and celebrated it the next day by cutting Diwali cake with her father.She keeps compromised videos of people in power just so that she could use them for her demonic plans. She dserves no sympathy.Sorry!😡
121,"we all know that lizzo and jack black are the definitions are highschool bullies and would ruthlessly harass and bully all of their classmates. i mean, isn’t it obvious? how could disney do this to me! 😡"
122,"I seen where they are gonna start Vax  in our beef, fruits, vegs,diary,chicken, pork. They are suppose to start this month.  This really upsets 😡. I pray our LORD comes soon."
123,"Why was the strumpet reaching out to HM anyway? Did she want the no good Duke Haznone on one arm and His Majesty on the other?? 😡

She really has her deranged head up her own keister, doesn't she? 
Boy, when the mighty eventually fall, the thud will be deafening and thunderous!"
124,This is a great example of why veterans feel the way they do about personal freedom.  Shame on the Pentagon. 😡
125,Shit BB ! Scammers !!! 😡😡😡
126,They’ll be a player shortage soon as well If officials think it’s ok to physically assault them 😡
127,But.. THATS NOT THE REQUEST 😡😡😡
128,Trump is the dumbest president ever 😡
129,"Talk RADIO has alot to answer for. They were never 'safe and effective' if I (a nobody) could see it 3 years ago, why couldn't you?  😡"
130,Is that why you haven’t had any concert in Abuja 😡😡
131,"Me personally I can do nothing about it....
God knows....
&gt;Bad roads..
&gt;No medicine in hospitals 
&gt;Road transport 90% and other means under developed.
&gt; corruption 
&gt;Court cases take years to decide
&gt; Youth exported as Labourers etc....
Omuntu alabye enaku😡"
132,"So this is OK for your white kids but learning about the history of this country will make them feel bad. Ban books, voter rights, drag shows, forcing little girls to carry their father babies, little kids getting shot in schools is perfectly OK. Republicans are 
twisted fucks😡"
133,"If y’all keyboard trolls don’t leave MOTHER alone I’ll throw a poutine at y’all 😡 she apologized, stop picking her apology apart, go outside and breath air, there’s more to life than being angry about something on social media!"
134,the FBI is too woke to talk these people into buying assault rifles 😡
135,Is it ok to be mad against the Mavs for tanking this last two games? 😡
136,"😡China may soon increase its support for Russia and will try to expose NATO as an aggressor, - WP

The report notes that China may consider Ukraine's attacks on the deep rear of the Russian Federation as ""an opportunity to present NATO as an aggressor."" In addition, Beijing may…"
137,ALL men…outraged this is allowed to happen here 😡
138,avoid conceding goals like that on big teams if you want to win the league 😡😡😡 please ....
139,Jongin i'm not gonna forgive you for ruining this sekai moment😡
140,I got it in 4 but am really annoyed as only yesterday I thought what a great Wordle word it would be (on the grounds it’s both weird and hard to accidentally get) 😡
141,this is on you. How do you sleep at night knowing you make people’s lives miserable? 😡
142,You can never forget the pepsi!😡
143,My son straight would not let me take pics of him on his outfit 😡
144,But at the same time your buddies are passing legislation that makes it easier on criminals and gangs!!!😡😡😡 #DemocratsAreHypocrites
145,I totally disgust this man. 😡
146,theyre probably like 😡😡😡 she cant be anything that isnt a lesbian 😡😡
147,"Jobless mate don comment 😡😡😡😡

U need to delete this tweeter and focus on tiktok"
148,The lockdown files ... the biggest global hoax ever! 😡
149,I bet you look beautiful with them!! 😡
150,"Same BS that Ron DeSantis is pulling in FL, &amp; why the fascists in TN think they can throw Dem legislators out of office.  Rethugs can't win elections legitimately, so all they can do to maintain their grip on statehouses is to cheat their sleazy, lying asses off 😡😡😡"
151,Trump is the dumbest president ever 😡
152,"So tired of fake Christians trying to virtue signal with Jesus's name all the while doing everything they can,against his teachings😡"
153,You wasn’t supposed to find him… 😡
154,"😡 X2

1: for the haters
2: reminding me of SNES A2, the last game I rented from Blockbuster (Bubsy still the king of bad rentals)"
155,"NY STATE 😡 Easter Sunday.
Forget it."
156,STOP WITH YOUR MOCKERY and HYPOCRISY FAUX CHRISTIANITY 😡
157,Immediately i heard that thing i just left like i’m really irritated 😡
158,😡 fuck the Phillies. Only needed two fuckin outs
159,How dare that bug bite Channie 😡
160,Why do I never trust my hesitations about busses!! They’re never on time!!!! 😡 It’s like looking in the mirror
161,Nobody cares. He’s a man who cheated 😡
162,Bet you havnt even had it yourself you little turd😡🇬🇧
163,Trump is the dumbest president ever 😡
164,gunwook isn’t my one pick anymore 😡
165,You should not have brapped on me sir 😡
166,i hated it 😡😡 I WANT THE FIRST
167,"Omooh this tiktokers are too jobless like the owner said 😡😡

I think say na $15k 

Mugus😡"
168,Trump is the dumbest president ever 😡
169,you are 😡
170,pls we need two goals or suffer the consequences later 😡
171,Where are the bunny ears… ur not the easter bunny 😡
172,The hazard of life as a ladder holder. I got my knuckle joint dislocated by exactly that. No warning just a sudden heavy step down ... apparently my fault as 'everyone knows you don't hold the rung' 😡
173,"The linesmen looked jacked on steroids.. His elbowing was absolutely uncalled for and very unprofessional 😡. Hopefully it's investigated with a just punishment, cus if he gets away it.... Wtf next!"
174,Men should not be competing against women in sports 😡
175,Stop calling them your last rides! I hate pessimism! 😡
176,"Tired of fake Christians trying to virtue signal with Jesus's name all the while doing everything they can,against his teachings😡"
177,It makes me sad and angry to think that being gay and a drag queen was more acceptable 30 years ago than it is today. So much for progression. 😡
178,Trump is the dumbest president ever 😡
179,Maybe even addresses... at this rate it seems they are applying the one time per lifetime rule to everything we do 😡
180,Well that was a game 😡
181,Dude should just deal with small teams! 😡😡😡
182,Are you proud of the vulgar threats and imprisoning the speaker trying to extort money before they would release her 😡😡😡
183,"If you support this MFer ?
YOU ARE THIS MFER 😡"
184,😡What is wrong with people?
185,Absolutely right but it's fuming we bottled 2 nil up lead 😡 we move anyway
186,"Rajababu , you can take votes of people other than hindus next time 😡😡😡😡😡😡 pollitical hindu 😡😡😡😡"
187,IM IN SUCH A GOOD MOOD 😡😡😡 expect a bunch of fluff today
188,"So sad and horrible situation to be in. Its should never have gotten to this! So depressing, why in this day do peoples lives not matter a jot to those in charge! 
Government have priority for pcr testing and HEPA filters in Parliament but we can go jump 😡 #ToriesCostLives"
189,"This is how Muslims choose to live in my neighbourhood.Before the invasion this street never had this much litter even though there's been a corner shop there for all of my 58yrs.Rats, filth &amp; drugs desire to integrate, clean or let women be equal.Poison😡"
190,"People expecting death or closer to their grave (oldies) should have a higher tendency to say the truth but not in Nigeria... 😡

Wtf is this CORNfused Prof. Itse Sagay?, even this Lamidi Apapa is old sef, he needs rest too!

Naija Politics, I tire."
191,I'm just fuming 😡😡😡😡
192,Infuriating! 😡
193,"I dont think anyone has the balls to stand up  and apologise mate. That was the worst display in ages i mean ages. There is shit , then there is that.😡"
194,This is the person that is the leading GOP candidate for president 😡
195,So disturbing..  so disgusting!!  Parents should be outraged!! 😡
196,I'm just trying to continue the trend of me saying negative things to your thirst traps and selfies 😡😡😡
197,Nuh uh I hate you!!!!!!!! The bestest!!!!!!!!!!!!!! 😡😡😡😡😡😡
198,"Tired of fake Christians trying to virtue signal with Jesus's name all the while doing everything they can,against his teachings😡"
199,WW3 coming up...THANKS JOE!! 😡😡😡😡
200,"😡 Bad Temper Test 😡
Name: TheNightmare_30
Score: 0/500

Selfishness: 0%
Dishonesty: 0%
Distrust: 0%
Arrogance: 0%
Madness: 0%

Don't change a thing!

#badTemper"
201,"This bitch is the same cum bait for socially awkward men, exactly the same as white women who love psycho characters
You aren't slick, I'm a worm in your brain shitting &amp; farting through it 😡"
202,"As he criticizes this person, the same thing good happen to him. What an awful thing to say to someone struggling. 😡"
203,"Tired of fake Christians trying to virtue signal with Jesus's name all the while doing everything they can,against his teachings😡"
204,i want this maaaan… to go away now 😡
205,Stop  making me angry before bed 😡
206,Bullshit. Stop spreading lies you ancestors used to massacre Africans 😡
207,You have already done that 😡
208,"I know you're thinking it right now, Max. 
Stop it, Max.😡"
209,"“The only ones for me are the mad 😡 ones, the ones who never say a commonplace thing but burn burn burn like fabulous Roman candles exploding across the midnight sky.” - loosely based upon #OnTheRoad by #JackKerouac #BeGood"
210,"teach people to focus on a daily routine, eat and exercise appropriately - this is beyond cracked😡"
211,Andy Robertson is a wee shitehouse .. about time somebody elbowed him 😡
212,Probably just a coincidence! 😡😡
213,"youre not even a chapter, youre a whole book !! 😡😡😡😡"
214,One sale per lifetime....ok....I see what they doing😡
215,Thomas is a mentally ill cheat. That is about as generous as I can be. Get males out of female sport NOW !!!!!!!😡😡
216,"WTF is that ?? If you boycott all of this woke , sick shite and hit them in their pockets then it will stop simple as … this has to stop ! 😡😡"
217,I hate you the!!!!!!!!!! most!!!!!!!!!! 😡😡😡😡😡😡😡😡
218,Some of y‘all seem to have forgotten. 😡
219,chasing the money but I’m going the wrong way 😡
220,"And Orta brought this lot in, not good enough, simples. Orta should have gone a long time ago 😡"
221,why are they not picking the gays??? I want mess. 😡😡 #SjolaSonke
222,"And on the bus, those that feel the need to press the stop button even though  10 people have already pressed it 😡"
223,why is every team looking for a head coach picking the top Warriors/Celtics assistant 😡
224,Now let me woulda not had them on my parlay 😡
225,"Never forget the pro-pedo article wrote yeeaars ago!!!😡 and no, ""pro-pedo"" isn't a euphemism. It was directly proP. They did delete it since but it exists in the Wayback Machine of the interweb"
226,Governor Adolf Abbot is a  full on Nazi Blitz! 😡😡😡
227,"// oh naaaah, you mean wHEN I GET YOU??? CMERE YOUUUU 😡"
228,I am so tired of acting so happy that other people get to relax and have a good time and enjoy nice things when I am either the one working to make it happen or the one waiting around left out while the good time is had 😡😡😡
229,"I know, they aren't in age order, name order or in chronological order when it comes to franchises 😡😡😡😡"
230,70% of the professors in Nigeria are not qualified to be professors . Am sure majority of them cheated to become professors. Professors have done more havoc than good to the educational sector in Nigeria Come on now !! 😡😡😡
231,As an avid trail mix enjoyer this is incredibly offensive. You eat the m&amp;ms and raisins and nuts in the same bite. 😡😡😡
232,"Another fine upstanding owner😡😡😡😡😡Through no fault of her own, thu5s gorgeous young cat finds herself in this hell .  Let's help her !"
233,4.5 out of 5. This is a great movie to watch if you're feeling upset. 😡 It's usually calming to watch Michael Douglass' character get retribution for all the wrongs he experienced.
234,"What. The. Fuck. 

Save our children 😡"
235,Quisling 😡
236,How is this legal?? This is child abuse at its utmost!! Sick sick sick smh 😡
237,Dem wan package another disaster give us. Are these men cursed? 😡😡
238,"A woman who was running a media cell that launched compromised videos of people in power just so that her evil plans could be fulfilled. Whoever challenges her goes to jail, gets tortured and is left humiliated. She deserves no sympathy.Sorry!😡"
239,I have complained (to the air in my living room) to just TRADE him!   😡
240,guys I posted on insta go like 😡
241,Which one is it 😡 his legs were gone or we should’ve scored lol
