ID,Comments
1,i'll be looking forward to more of your tweets for this promo! it's really so soft 🥹
2,I am going to cry 🥹
3,Perfection 🥹
4,why i no one irl streaming dreamhack 🥹
5,I love her 🥹
6,"The closer I’ve grown to God, the more I’ve started thriving mentally 🥹"
7,Love that for us 🥹
8,Can’t wait for my crush to meet Cari with me at pride 🥹
9,My baby little hugs are life 🥹
10,The butterfly confetti is so beautiful 🥹
11,sweetener really hits u when u’re at the lowest point of ur life 🥹
12,Please tell me you'd be down for a Hooty spin-off. There will never be enough bird-tube in my life 🥹
13,🥹
14,deleting media off my phone and I really have concert videos of De La Soul and Schoolboy Q with Gorillaz 🥹
15,you awakened so many old memories 🥹
16,i need a festival asap to get lost and meet random people 🥹 shits always fun
17,Came home after a 12h shift to a signed ateez album 🥹
18,"this airport fashion is a breath of a fresh air bcs i never saw that cardi and tshirt before, finally we can confirmed that chenle’s closet doesn’t only contain of that black gucci jacket and aladin pants 🥹"
19,A house doesn’t smell of food 🥹
20,"#NUFC
Missed Almiron 🥹
Hope he can rejoin the group before villa match"
21,I’m gunna get to shoot my bow and arrow today!!! It’s been years man 🥹
22,Whoever writes these needs a raise cuz they are so cute for this 🥹
23,Worship songs with d fam! 🥹
24,oh I miss him so much 🥹
25,I'm doing my best for them 🥹
26,I hope my hubbys mom is alive and this kind 🥹
27,love this for us 🥹
28,But he kept looking at her 🥹
29,He knows I love my flowers 🥹
30,it was a hard winter for my monstera Phil but he pulled thru and has a new leaf ready to unfurl 🥹
31,"Menna Shalaby will be spending the whole series in Lebanon God, this will awaken in me 
Nostalgia for every street there and every favorite place 🥹"
32,I am once again asking for someone in this area to become this boi’s loving human 🥹
33,i braided my hair and my dad says i remind him of nynaeve 🥹
34,same!!! i got my signed cd but the limited edition vinyl still has to ship! 🥹
35,watch me wake up tomorrow and spend that 40€ 🥹
36,Oh everyone's being so nice! 🥹 I thought I'd get like 1 person and they'd say Sage and sapphire lmao
37,Perfection 🥹
38,My ‘fit for #MarioBrosMovie The movie was actually so good 🥹 highly recommend if you love the series it’s definitely worth seeing!
39,Pink has made its way into my wardrobe and accessories 🥹 I’m growing
40,Aswearr nothing you fit tell me. You be mami water!🥹
41,only if u knew how much i liked u 🥹
42,My Minggoy who looks very cute while holding his alcohol. 🥹
43,Just the two of us 🥹
44,I didn’t try to play in WSOW last year but I’m really confusing it this year. I just need a squad 🥹
45,AGHHH THIS IS SO GOOD!!!! I love this 🥹
46,Hahahaha being gorgeous and mental is all I could ever ask for &lt;3 thank you!! 🥹
47,there’s nothing more nerve racking than emailing or calling your work manager 🥹
48,There is a trend on TikTok of words your toddler had a hard time saying and now they pronounce it correctly and I’m ready to cry. Kaylen used to say mommy I lowe you and now he says I love you clear as day 🥹 this is probably my last child my heart can’t take it
49,I miss this cartoon so much 🥹
50,ohhhhh myyyyyy GOD! MY WIFE!! I tried not to be biased so i hope i succeeded 🥹
51,hope that leah kate freak fan doesn’t get tickets to the london show… i feel sorry for every lesbian who has to be in the same room as them ! also guys remember not to give them any mean looks bc they’ll call u a fat lesbian bc making them uncomfy 🥹
52,missed this 🥹.. you just made my night
53,Final WitchCraft SMP stream? 🥹
54,"it's hard to get up when you /need/ to get up. 🥹
good morning still!"
55,It’s not even a fancy video. Just slowed down a video and added a song. 🥹 I really want to start editing more complicated things again
56,"Seriously they’re more incredible than they realize, they’ve supported me and others for so long… they’re the best 🥹"
57,This is so Barbie and the rockers 🥹
58,my coupsie 🥹 you’re so real for this
59,I hope he will teach singing and dancing to his kids too. 🥹
60,It kills me no one expected her to cut 🥹
61,i can’t wait until wednesday 🥹
62,🥹 love this.
63,"The five of them really have a deep understanding toward each other 🥹 and they rely to each other as well. I adore what they have.

Also, smoll Joohyun unnie is really a good sister to her dongsaengs *sobbing*"
64,I love my mans 🥹
65,STOP THE COUNT NOW!! 🥹
66,some punk ass kids at an illegal Airbnb in my neighborhood just tried to use “oh yeah well we’re from New York” and it took everything in me not to lose it on them 🥹
67,"I keep getting fucked over over dumb shit. This year has been something else 🥹

I really have faith and trust in the wrong mfs all because I always want to see the good in people and believe them."
68,Otter baybeee 🥹
69,patiently waiting for to team up with me 🥹
70,The mantra that kept him going. 🥹
71,Haha who knew all I needed was sporty gays who actually aren’t toxic and genuinely so sweet and welcoming 🥹 I just joined their volleyball and pickleball league teams too with the same group!!!
72,When he said in that broadcast that he was sad when Changbin told him not to touch his stomach 🥹
73,"Do you know what happens to liars, Dante?🥹"
74,I’m ready for both 🥹
75,"Dear US Radio,

I just wanna keep “Like Crazy” by Jimin in the top 10 of the BB Hot 100 for the foreseeable future!  Can you please incorporate it into radio stations' rotation?  Pretty please with sugar on top?? 🥹

Sincerely,
Every Jimin supporter on planet"
76,i just know na their upcoming comeback will be successful af huhu naiiyak ako. first comeback ko 'to with them 🥹
77,I want one. 🥹
78,and…🥹
79,Not me llorando con Little Things 🥹
80,I can’t wait to see the pic!!🥹
81,These pictures are gonna come out so beautiful 🥹
82,I don't even know where I should post for potential clients I am so lost 🥹
83,i diiiid! i’m only slightly insane after seeing that…. happy to see them still going strong 🥹
84,Aaah thank you Scribbs! Throne is such a great tool so it's really a pleasure to partner with them 🥹
85,best editor ever 🥹
86,Omg really?🥹 thank you so very much! Yes I will be there!:)
87,My locs touch my back 🥹
88,Love having you with me 🥹
89,I showed my mom my muscles and she said “awwweee shucky ducky” I made it y’all 🥹
90,Look at how beautiful this salad is 🥹
91,This is what democracy is supposed to look like 🥹
92,"I haven't watched a game yet, imma bad fan 🥹"
93,implementing this now 🥹
94,"daryl's  holding little judith, the one he calls asskicker when she was just a newborn baby 🥹"
95,I've lived a lie all my life 🥹
96,Watching toddlers play baseball is so damn cute pls 🥹
97,This is my favorite Star Wars Entry of all time 🥹
98,This is my favorite childhood movie. 🥹
99,"I love that the staff &amp; the docs are all in for my BTS birthday party. So far, we have decorations, a JK cutout, &amp; inflatable microphones. They've asked me to play their music so they can get to know them better 🥹"
100,"This man took my day from a 0 to 70 in less than 2hrs . If he wasn’t soo flaky , he would be my person 🥹"
101,Quote a photoof you that looks like and album cover 🥹
102,Karina's postcard is too special and nostalgic 🥹 #PrePartyES23
103,i love you so much 🥹 i want to kiss your brain
104,8 more days of this suffering 🥹
105,That’s why Venn diagrams have that middle section 🥹
106,My two love sleeping in their box 🥹
107,why didn’t you post this one in the paetron 🥹
108,"My ride or die!!! I pray to have a relationship that’s even better with my mom, with my daughters. I can’t wait. Besties for life 🥹"
109,All I can see is the baby boy tho 🥹
110,i'm watching season 3 of love is blind &amp; i love SK so much 🥹
111,"I tell anyone who will listen, Danny was never canceled over here 🥹"
112,let me give u some love too 🥹
113,One of my toddlers just used my nail file on her teeth and I….🥹
114,my family got me a cookie cake in honor of my signing 🥹
115,He was so cute we could see Bangchan encouraging him but yeah I think he forgot a part of his speech because he ended it in a completely different way from the direction he was taking I think 🥹
116,"This is one of my favorite stills from the MV.... there's something so serene about it. I also love how in a song titled People Pt. 2 where Yoongi talks about the complexities of love and people, his only company is a dog 🥹 Bc dogs love unconditionally? Just a thought."
117,Investment payout tomorrow 🥹
118,oh to be in a warm country with my best friend  🥹
119,"Agreed 🥹 I rly wanted the new trilogy to be about a found family of misfits who help each other grow into their full potential, instead I got a generational wealth allegory that forgot 2/3 of the group existed and paired 2 characters with zero chemistry. Just, all around, mess"
120,Congratulations!!!🥹
121,I need to come for a sleepover at your new mansion 🥹
122,🥹
123,Let him win the copa del Rey and celebrate with the boys one last time. 🥹
124,I am so happy to have been able to see stray kids tonight 🥹
125,Si 🥹
126,I feel his love for us ARMYs when he does anything for us 🥹
127,Spencer was so sweet 🥹
128,been zooming like it’s my fav black American actress ‘Tyra Banks’ 🥹
129,"I am right here with you, omg 🥹 she is just???????"
130,So so so good. So much intensity and emotion.  The acting from everyone was top notch. 🥹
131,just bought my shinee lightstick 🥹 5 years of stanning them later
132,I wonder if men know how much they truly damage us.. like I don’t believe NOTHING nobody tell me now 🥹
133,I would love some flowers to put on my fire place 🥹 imma get me some next weekend
134,"My clients make my dayyy.  I love them, they love me &amp; warms my whole heart when they specifically request me &amp; ONLY want to be with me 🥹"
135,Yet to come mi canción 🥹
136,🥹
