ID,Comments
1,"Haha yep, get Trump😤
All of the problems in this country will be gone. Right?  Poof!"
2,So all the “ I’m from Cleveland “ baseball jackets sold out 😤
3,Benny blanco been more like Ben white 😤
4,The disrespect 😤
5,I will NOT accept Tumbili slander on my timeline 😤😤😤
6,"Manchester born, What do you expect! 😤😤😤 I just want us to play like the starting 20 mins in the next 45 mins."
7,The boys should keep their  heads man ... you don't pick up fights at anfield😤
8,You see if we attacked and surrounded the ref like this😤 #LIVARS
9,"Youtube hates AJC right now... videos only getting 30 to 50 views... lives throttled like hell almost unwatchable.. censorship sucks! But I'm not giving up! At 6k subs we were killing it last bull cycle! 😤. I've watched yall grow and it's well deserved! Lots of time, effort, and…"
10,"Xhaka you better hope we win this mate, you brought that crowd to life for no reason 😤"
11,Ben White choosing the worst game to have a disasterclass 😤😤 needs to keep his calm in the 2nd half
12,TLJ is the best Star Wars movie and I'll die on that hill 😤😤
13,#LIVARS Alexander-Arnold pushed him in the back! It’s unfair how commentators crucify Xhaka for standing up for himself 😤
14,I'm gonna rewatch it after I finish BoJack horseman rewatch 8 😤
15,"why does he always have that shit eating grin on all those selfies? :D
😤"
16,Got some time to kill today. Who want me. 😤
17,One of the greatest intros ever 😤
18,Why did he bother ordering some? Surely he can also run fast enough to catch the chicken himself 😤
19,Some people deserve to spend their entire mortal lives in a deep dark pit never to see freedom 😤
20,"Every Wayne’s song is losing in this poll, disgusting 😤😤😤😤"
21,Wow... we finally get to hear the words... I WAS WRONG out of Fakeci's mouth😤
22,"Someone called my dog ugly, today is not her day 😤 
I think she's beautiful!"
23,We are definitely getting the cup this year😤
24,Salah again out of nothing 😤
25,You just need to understand Fireboy's sound. He is just different. You know it 😤
26,Mood every day 😤
27,About to go around asking people who their favourite designer is 😤
28,“You’ll never find someone like me” shorty what?? You don’t know happiness unless it’s with me😤
29,Nice. Punch him more. That heck face must be disposed 😤😤😤
30,The greatest intro of ALL TIME 😤😤😤😤😤😤😤😤😤😤😤😤😤😤
31,TIGER YOU DISAPPOINTMENT. I BET $1.85 ON TF😤😤😤😤😤
32,"Game face activated 😤 has a 2-shot lead heading into the final round at Augusta. 
#TeamSrixon"
33,"If we actually had composure and confidence we could actually be 4-1 up. Robertson chance . Salah’s chance, salah’s goal and Hendo’ hoof inside the box 😤"
34,"In 1986, Dan Marino threw 44 TD and Eric Dickerson totaled 2,026 yards from scrimmage. 

Lawrence Taylor won MVP 😤"
35,Why does Jones always take 30 touches 😤😤
36,why are you lying and misleading people on the internet? the audacity 😤😤
37,"Fr fr 😤 sometimes it does feel like that. 
Though other times, I am sure they don’t mean to offend, but… it’s also not the compliment they might think it is."
38,Give short kings some respect 😤
39,come comment below what ur fav moments are for the tourney😤
40,Hell no I’m going up to that guy and snatch away his phone and tell him to stfu 😤
41,"“Checkmate you CRT-obsessed, Marxist BLM woke Britain-hating historians. While you have your peer-reviewed propaganda, we have pullouts from the Radio Times” 😤"
42,I DONT CARE 😤😤😤
43,And also stop thirst over my dongsaeng 😤
44,That moment of stupidness of Xhaka has fucked us 😤 Given Liverpool some fire and we’ve lost all composure as a team. Half time is needed ASAP
