ID,Comments
1,The content sensation of misery beneath the directory 👻
2,Gn fam👻
3,"Everyone:-They ruined your reputation, please don't make it worse
Me:- get me a microphone and a hat please 👻"
4,This is exactly how I feel fam! #WAGBOO 👻
5,"~ I do weekly recaps every week so the newer folks know I really do this.
~ To put into perspective, out of the last 6 weekly recaps I have hit a 600%+ play in 5 of them…
~ Not including this week, where we had a play end the day up 210% on a Monday.👻
$SPY $TSLA $MSFT $COIN $AI"
6,I assumed one or both of them was a ghost 👻
7,Thank you and for the retweets 👻
8,"If I win, I won't keep it, I will give it to my brother! 👻👻👻👻"
9,"No new Nui content for this year, I’m afraid. But please consider my submission from last year: a cohesive horror/ghost story based on the daily prompts and ending on Halloween.

Yes, spooky Nuis. 👻

Both here on twt and on Ao3."
10,Good Day everyone 👻
11,ghost 👻
12,QRT the character vs how you drew the character 👻
13,Monster Coctail 👻
14,Been in these streets a long time knew these ni**as was salty 👻
15,which is your PNL 👻
16,I m feeling so exhausted 👻
17,Berenice 👻
18,The Face vs The Body 👻
19,👻ing them
20,THERE’S A GHOST IN MY BODY!!! 👻
21,⁦closing in on our follow up to this little monster we unleashed 👻
22,"Ok? It could have been Russian spies, then 👻

Imo burden of proof should be on the people making these kinds of conspiratorial accusations. There's no evidence I've seen supporting the false flag theory that's more compelling than anything in that dumpster fire of a CBC article."
23,"How did it enter? 
I think this question is for the Ghost 👻👻 eiii"
24,Dum black skwear don't have no hand. 👻
25,"This is WOOF! 

👻 Avatar Builder
With the avatar builder, users can create a unique digital identity with a wide set of personalization options. From pre-made templates to customizable body features, facial elements, hairstyles, clothing and accessories. Users will…"
26,Shannon will be speaking on their latest graphic novel Hollow and the world of YA comics. They will have their works for sale and will be signing. Don't miss out as we will be raffling away free copies of Lumberjanes and Hollow! 👻
27,Government is spooky! 👻. Like many things that you don't understand.
28,Does this trick really work? 👻
29,**PGA TOUR NEWS** Does this trick really work? 👻
30,**PGA TOUR NEWS**  Does this trick really work? 👻
31,**PGA TOUR NEWS**  Does this trick really work? 👻
32,"What do you NEED to know #Aquarius 

Someone feels safe with you they trust you. The feel like they can confide in you They might find you attractive or they may sense that you’re attracted to them but their not interested in your in that way. If you peruse them they’ll 👻 you."
33,More Supernatural content coming soon 👻
34,"Excited to be the 3,602nd 👻 on for Vivid Kingdoms - Playing Cards. Thanks"
35,"One, Two...Boo! 👻 Spooky House Board book a die-cut cover, adorable illustrations, and a flap on every page, this sturdy little board book is the perfect Halloween gift for trick-or-treaters everywhere.
#Spooky #House #Book"
36,Welcome to the fam! 👻
37,Someone’s terrified of trans people! 👻
38,"“America clears NZ we will really do u how we did hiroshima.” Bozo during that time ur people werent even allowed to drink from the same faucet as white people shut up, and im mexican so lets see whatll happen if you try and invade us, vietnam! Oh oh afghanistan!! Spookyy ik 👻"
