ID,Comments
1,"i dont like it when life brings me lemons, But can bring me lemons any day of the week 🫠"
2,"There’s really nothing like trying to landscape a garden on top of several years of rock mulch 

And my home in Charlotte was on a former rock quarry… but this! 🫠"
3,imagine being so consumed w hate that you wanna get a girl's social media deleted bc you feel like she's prettier than you. 🫠
4,"movie in bed please, I have social anxiety 🫠"
5,Is killing me so much 🫠
6,I just wanna see what it feels like hitting the back of my throat 🫠
7,When will somebody find happiness in this life 🫠
8,i need to go shit. this first half has given me an uneasy stomach 🫠
9,"Benched Martinelli, this one hurts 🫠"
10,That colour spread changed my life 🫠
11,Secured ?🫠
12,Person wey I call my oxygen wan land me for hospital. 🫠
13,I really curve tf out of every guy except for one guy and he curves tf outta me. This shit is crazy 🫠
14,Nah I was fighting for my life this morning to get to church…..lol my alarm went off at 6:52 🫠
15,"When he says” i love my country, i love you all” 🫠 #KeremBürsın"
16,I need to stop thinking I can drink at night then bounce back for work in the morning 🫠
17,This song!! 🫠
18,I recorded it vertically like a total noob 🫠
19,His powerful thighs hugging SJ 🫠
20,"If your hardstuck, I’ll coach you to copper 1. Can’t go higher than my peek 🫠"
21,Pay for what you get … speaks volumes 🫠
22,Massive second half inbound don’t think my heart can take it 🫠
23,I Wanna Put My Chicken On The Grill 🫠
24,"no u dont understand how personal this scene is to me. umeed getting sad without even knowing the reason behind haya’s tears im so emotional. my dear girls 🫠
-
#fairytale"
25,"Are u iftar?
Because I’ve been waiting for you 🫠"
26,"So looking forward to flash my arse at work tonight due to me forgetting to bring a belt for my radio, pants be down asap 🫠"
27,Nahh Jackie is on a date with the other guy who liked her while Marshall is getting fitted for his tux 🫠
28,Top highlight from #insomniagamingfestival 70 meeting the incredbile Nicole Tompkins the voice of Jill valentine 🫠
29,That stare. Anyone would get flustered 🫠
30,gave up 🫠
31,Then I would not have my car 🫠
32,"My sister works there, it’s closed 🫠"
33,"No cus I totally get you, I could barely get up after learning simply Korra was starting a smau(!!!) 🫠
#SaveWarriorNun #WarriorNun"
34,nick’s awful hair is back in season 12 🫠
35,Is it too late to be a Blue and Yemi shipper? 🫠
36,"Always get a little nervous with bunnies not because I don't like them, but because I have 0 experience with them &amp; I'm always nervous they're hurt/frightened and I just don't know it 🫠"
37,The solution to every depressing career related thought in a desi household is: 'CSS karlo' 🫠
38,Me dormí 16hrs seguidas what the hell is happening to me? 🫠
39,🫠
40,this post is 8 yrs ago… grabe kana Chanyeol 11 years mo na kong binabaliw 🫠
41,He going to jail after he get out the hospital lmao fuck that. I’m sure he hate himself at the moment 🫠
42,said they missed me awhile back but they nowhere to be found now 🫠
43,"Mew is so warmand caring.. 
He put hidden camera in that doll cause he was worried about Erng ..!!! 🫠

Nanon UMG"
44,"I can be fun and full of joy or sad and full of grief and frustration, it really depends on the mood 🫠"
45,I’m about to whack you with a bowling ball 🫠
46,LOOOL Hendo a gift handed to you so your team could equalise and you sky the ball? God 🫠
47,"Amygdala gave me serious flashback to studying Physiology in my 2nd year of uni and how much everyone was praying not to draw any nervous system question, because anyone who did failed 🫠"
48,i keep imagining him in that mv doing all those things 🫠
49,Baby I know a baby J’ream. Pronounced dream 🫠
50,I will fix up 🫠
51,last two weeks of 20 for me 🫠
52,I need some style inspirations for my animal crossing... pls send help..🫠
53,Going through my gallery and rewatching my lany fancams 🫠
54,Universe is against you Dia 🫠
55,We are tired 🫠 give her more lines
56,"Ohh okay, you got me lmao
I asked because i've seen 3/4 artist doing the same outfit/concept and it was strange

I hope it worked because this doesn’t even feel like a joke anymore, just desperation at this point 🫠"
