ID,Comments
1,🖕
2,vai se fude previsoes do twitter 🖕🖕🖕🖕🖕
3,After 2026 🇮🇳 will show it's 🖕to 🇨🇳. Till then 🇮🇳 will ensure that the status quo is maintained.
4,Fuck all K Onces🖕 pls have a concert here in the Philippines
5,U r such a lying twit!! An embarrassment to the citizens of Iowa!! 🖕u!!
6,"Have been an Olay fan for decades.  No more.  Adios.

I mean... Dylan Mulvaney?????   Really????🖕"
7,"You authoritarians want to force us to live in your fantasy world, but we're not going to conform 🖕"
8,"Team leads kept prodding me test plans that I simply had no time to update in the day. So I did overtime. Worked through 50% of what I have and inflated their list by a third. Went to see how the other ""faster colleagues"" did theirs and it was shit 🖕 you want my work, you got it"
9,"I do care. I served in the military with honor. I took the oath to defend the Constitution at all costs. Your orange fool and his co-conspirators violated that oath.

And you support him/them. That makes you a traitor right along with them. A TRAITOR. 🖕"
10,It is better that you and your Bastard Putin disappear!!!🖕
11,If they allow us to chew their daughters but that thing of segregating us 🖕indians
12,🖕🖕🖕🖕🖕
13,I have a bunch of awesome memes to throw at childish kid fuggers like yew! And they always trigger! 🖕
14,Things you say when you are a F*CKING LIAR &amp; CROOK!! FU SAL 🖕🖕
15,"You some kind of smacked ass? Bruh. This entire idea and the tweet/thread = fucking garbage. 

Investigate deez non-existent nuts.🖕"
16,Isa pa tong your name engraved herein 🖕🖕🖕
17,We see you Tory. 🖕 #SupportTheJuniorDoctors
18,Free speech for all is stupid? There isn't  a more beta idea than that.  🖕
19,A blob of cells isn’t a life. 🖕 oh and….
20,"Fox doing their part to keep the agenda going claiming 566 people in their little poll is ""half of Americans""

🖕Fox and all the other lying MSM outlets that are trying to tear this country apart."
21,Bunch of dumb fucks over I see. Glad I stopped drinking this garbage a long time ago 🖕🖕🖕
22,"This has a lot of meaning to me. I look at this everyday and I thank god that I’m still here and kicking. He wasn’t ready for me to go, but he did put me thru a challenge I never thought I would pass. 🖕 Covid"
23,"This🖕 (To all peacenik activists, but they won't listen anyway...)"
24,Foxtrot Oscar with your fake affair rumour.🖕🖕🖕
25,You have pubic hair growing out of your head. You have the same hair growing out of your head that I have growing around my balls. You are a pube head DFPM piece of trash!!! IF ALL YOU PEOPLE DISAPPEARED FROM THE FACE OF THE PLANET NO ONE WOULD BLINK AN EYE!!! 🖕🖕🖕 YOU
26,🖕I missed it bitch
27,flamengo is the worst club in the world🖕🖕
28,Look here dumb fuck...its your people doin the shooting..🖕🖕🖕
29,"So, you mentally ill, Communists need to stop shooting little children! 🖕"
30,Look at the facts but I know you don't cus you are a fiction writer🖕
31,The only place Trump is going is back in office 2024! 🖕
32,the only thing abhorrent about it is that it’s not violent enough 🖕
33,they are going beyond hell! they see them pearly white gates 🖕
34,let me guess shes a milf 🖕🖕
35,Don’t stand with swastic people unless they are in the Uks 🖕
36,Pffft. From this one with his shytt flags before the AMERICAN🇺🇸 🖕
37,"Business expense!!
New Jeans!
Save recites, save recites.
What man I need work pants! 🖕"
38,"NO BIOLOGICAL MALE BORN PERSONS BELONG IN A WOMEN'S SPORTS DIVISION, DRESSING ROOM, OR BATHROOM. PERIOD 🖕"
39,... yeah pricks you signed on the dotted line and I am paying for my own two kids to go to college if they decide to go / need to go .... I am not going to back anyone who thinks to say it is my job to pay for other people's bad judgement picking a useless degree ... too bad🖕🖕
40,"Yes. Brian ran an online ponzi scheme.
Yes. Brian was investigated for wire fraud.
Yes. Brian was banned from Twitter for 2 years.
Yes. The govt seized $500k of Brian's assets.
No. Brian was not convicted.
No. That doesn't mean that Brian is innocent.
Yes. Brian is a fraud...🖕"
41,"Have the day you deserve. In fact, have the life you deserve. 🖕"
42,I don't like to say stuff like this but todays game was so unfair. Some terrible decisions against us and cost us in the title race. We have to give ourselves some of the blame because we all played terrible. Better to send a team of blind people out man 🖕
43,Nothing winds me up more than seeing scumbag polititions slagging off scumbag polititions. 🖕
44,"🖕🖕🖕🖕

Stop wasting money on this useless war"
45,they know 🖕
46,گیراج کی پیداوار کو بتانا تو پڑے گا 🖕🖕🖕🖕
47,YES YOU DID🖕🖕🖕🖕
48,Such a Christian 🖕
49,"I wish y’all put as much focus on giving us value with what we already bought ($70 Game, Original Battlepass) than adding more micro transactions in an obvious money grab. It’s disgusting and definitely not consumer friendly. Multiplayer is lacking and you’d rather do this. 🖕🖕"
50,🖕
51,🖕
52,"It's about time Democrats give you the finger. 🖕

I'm sure you're just fine with #HarlanCrow buying #ClarenceThomas and other politicians."
53,"""Distract"" you from protecting the children? THEY WERE SPECIFICALLY TALKING ABOUT PROTECTING THE CHILDREN! So how is that a ""distraction""? Children are dying because of YOU! Because your cult cares more about a fucking gun than you do the children you claim to want to protect. 🖕"
54,"3) The 'tenants' are not the scammers. Sometimes they are in desperate situations. Your tweet is incredibly tone deaf and rude. There are multiple sides to these stories and your tweet just shit all over the wrong one. 🖕

#scams #rentalscams #dontjudge #instablock"
55,Pulling up the female ladder behind themselves. So stunning and brave. 🖕
56,TOO BAD YOU CANT DO ABYTHING THEYRE NOT YOUR KIDS ANYMORE🖕🖕🖕
57,"DD set up, thanks for reminding me you racist tosser 🖕"
58,"I will ask you again … 

Why didn’t the democrats ban “assault weapons “ when they had full control of the three branches of government from Jan 2020 - Jan 2023 ? 

  You want to point fingers ok that’s fine let’s point fingers 🖕"
59,EVERT TAROT THINGY I COME ACROSS KEEPS SAYING THERES A REUNION FUCK OFF 🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕 I WILL NOT LET THHIS PROGRESS GO TO WASTE!!!!!
60,"RACIST warmonger. UK must be invaded by Syrians,Afghans,Iraqis,Libyans,Yemenis,Sudanese,Eritreans etc as REVENGE. UK bombed the sh!t out of their Countries.Hopefully 5000/day will cross channel in summer when waters are calm.🖕Racist Nigel, it's UK responsibility to take refugees"
61,sleep well 🖕🖕🖕🖕
62,I might not want a big house. Just big enough you know? I still want nice things though like 🖕
63,"Even the Earth's mantle wants to get away from you.
🖕🇷🇺"
64,🖕 You won't be missed you miserable piece of shit game.
65,.....​nothing..🖕
66,Gee. If only you had the power to prevent such massacres. 🖕
67,A quiet 🖕 to India for supporting Russia and scoring a few easy points with the West. ^^
68,🖕🖕🖕 RON D. done need her endorsemet.
69,Yes the shit came out🖕
70,and im biting your ankles 🖕🖕🖕🖕🖕
71,"Kellyanne, it’s quite simple young people know that Dems, not the GOP, care about doing something about climate change, student loan debt, unfettered gun violence, reproductive rights, good wages etc…Dems aren’t cruel hypocritical assholes who hate onLGBTQIA,POC&amp;Ban Books🖕you!"
72,"And yet, you’ll do nothing but continue to accept NRA donations. 🖕"
73,"So, you're saying that you like dry fxcking a bucket of ashes. Got it. Man, you folks take necrophilia to a whole new level.🖕🖕
TS"
74,Why not give the guy the money instead nitwit 🖕
75,WHATEVEE STAY OUTSIDE I TOOK ALL THE MONEY AND IM SPENDING IT ALL ON ROBLOX🖕🖕🖕
76,"Males cannot EVER become biologically female, you idiotic sac of crap. That's nonsense. There are only two sexes and trying to involve people with sex development disorders in your bullshit trans argument is vile. 🖕"
77,You say happy birthday to ppl don’t even get a thanks well fuck you 🖕
78,"Oh well, you discredited yourself enough, so🖕🖕🖕"
79,"Sure, if my sister was armed the day she was kidnapped in your shithole island maybe she wouldn't have been kidnapped, sexually assaulted and thrown down a ravine in Culebra. 🖕🖕🖕🖕"
80,"🇷🇺 go🖕yourself
🇷🇺 go🖕yourself
🇷🇺 go🖕yourself
🇷🇺 go🖕yourself
🇷🇺 go🖕yourself
🇷🇺 go🖕yourself
🇷🇺 go🖕yourself
🇷🇺 go🖕yourself
🇷🇺 go🖕yourself
🇷🇺 go🖕yourself
🇷🇺 go🖕yourself
🇷🇺 go🖕yourself
🇷🇺 go🖕yourself
🇷🇺 go🖕yourself
🇷🇺 go🖕yourself
🇷🇺 go🖕yourself
🇷🇺 go🖕yourself"
81,"This Mukesh Kumar is Big Fraud..
DC Keeps Playing Him Ahead of Sakariya and Losing. they fuckin Deserve It. 🖕"
82,"Seeing your pet deteriorate is literally one of the most heart breaking things.

They're literally family and I'll never understand anyone who doesn't see them as such and only see them as ""just a pet"". 🖕"
