ID,Comments
1,"Tap with a  ,❤️, let’s follow you fast ❤️"
2,thank you ❤️
3,my cousins boyfriend looks like a bobs burgers character ❤️
4,"Aai Shappat ek number is the only track I'm listening to since the morning.. vocals, edits choreography the best ❤️
Not an edit just some clips that I love the most if you haven't created a reel on this audio pls create!
AAI SHAPPATH SHIV X MAYUR 
#ShivThakare #ShivKiSena"
5,v happy for bobby scoring against his faves again ❤️
6,"Everybody who grew up in Nigeria has probably heard the stories of Lagos and Isale Eko, this was an opportunity for people to experience what life is like there and also see those actors bring it to life was just exceptional. 

Nollywood isn’t what it used to be ❤️"
7,"Draw. We're so lucky we didn't lose ngl. So many players played scared today. Saka, Odegaard, Xhaka, Partey.

Holding and Gabriel was immense. And don't get me started on Ramadansdale. What a legend, my ADHD keeper❤️"
8,Heyyy gonna do some commissions around 3pm come chat with me ❤️
9,Absolute heartbreaking but I am more confident  we can go on winning the league ❤️
10,"Thanks for supporting, you stood for me on this low.

Thanks for existing ❤️

#OrangeFireIdhi"
11,انتي قمر ❤️
12,45 mins of pure suffering… COYG❤️
13,"Fwiw: I’m happy you’re on the recovery road. Looking forward to following you to share &amp; learn. I love my sobriety (which I credit to AA 12 Steps &amp; fellows). Please know, far above any sensitivity I have about a few words, w/my whole ❤️, I wish you a fulfilling sober adventure."
14,It’s actually 2 people. and U both have changed me so much in the time I’ve met you. I cannot thank you both enough for changing who I am and for helping me get over my depression. U both are my bestirs forever. ❤️❤️❤️❤️
15,What a game ❤️
16,end of an era❤️
17,Aaron Ramsdale ❤️
18,I’m happy you are fine bro. Take care of yourself and get well soon! ❤️
19,"Even at Liverpool 's bad form, they produce breathtaking football games ❤️❤️❤️"
20,Thank you ❤️
21,"Shows how far we have gone, we used to get rolled over there, a point is a point in the end COYG ❤️❤️❤️❤️❤️"
22,Yes. Thank you. In this case it’s just a bad hangover ❤️
23,Here for you ❤️
24,Glad to hear that you're getting better!  ❤️
25,So clever and wonderful! ❤️
26,Aaron Ramsdale❤️ bad to lose the lead but head up draw it is focus on the next game
27,Is your dog really named Schatzi? ❤️❤️❤️❤️❤️❤️
28,Ramsdale ❤️❤️
29,There’s the sweet Coco lady. Hope you both are having a happy Easter today. ❤️❤️❤️
30,Aaron Ramsdale ❤️
31,is soooo sweet and one of the most symphatic players ❤️
32,Welcome to death Row people that i surround myself with or talk to not just friends they are my family❤️
33,Smoke cigar with friend is always better❤️❤️❤️
34,Ramsdale ❤️
35,I love you ❤️ Liverpool
36,Ramsdale saved our title ❤️
37,❤️
38,"Can't wait to read. Don't be afraid to write. Your people will find you &amp; gravitate towards you. Me, personally... I love Omegaverse ❤️"
39,❤️ for you
40,RAMSDALE YOU ARE LOVED ❤️❤️❤️
41,"Congratulations, I really like this Artist❤️"
42,Ramsdale appreciation tweet. This guy was insane today ❤️ #LIVARS
43,This is all made possible by the gracious contributions of the US taxpayers. Thank you❤️
44,This is everything ❤️
45,Thank you ❤️
46,"Yeah, no wonder why my blood pressure is high atm. A point isn't the end of the world. Come on Arsenal! ❤️"
47,Ramsdale you sexy man❤️
48,what a match! congratulations to Arsenal for winning the league ❤️
49,Aaron Ramsdale❤️❤️❤️
50,You are welcome ❤️❤️❤️
51,"Most attractive stunning lovely smiling cute my most adorable Alisha. 
Let me give u a passionate big warm hug to say love ❤️ u...very good night and have a very sweet sound sleep. 
U pls take better care of yourself and keeps smiling."
