ID,Comments
1,This is why you’re my favorite! ✨
2,"Imagine if he wasn’t an idol✨

Na Jaemin as the new resident surgeon and you find him in the fire exit on the floor resting after a long 8hrs surgery on his casual clothes about to go home post shift and when you greet him he still smiles at you like this."
3,"STREAM END!

Had a few nice games with and Smill in Apex, then we moved to playing Core Keeper with I am definitely not ✨traumatized✨ from this definitely calming game.

Thanks for the raid today too hours and 45 minutes stream today POG"
4,all the best~ have fun. ✨
5,#oc some character concepts ✨
6,"Ok, now I am on my way over to you! Looks so good✨"
7,Beautiful Architecture of Barcelona ✨
8,i really do have great skin ✨
9,Always makes putting in extra time easier when the view from lab is ✨ this ✨. Gotta love Sheffield.
10,I know I know ....✨
11,"selling a Taylor Swift ticket for London on the 22nd of June (22/06/18) for below face value and at decent seats, pls RT ✨"
12,all eyes on me✨
13,"Also RANDOM thought, but my parents divorced when I was in college. I heard all the loud fighting and bickering my whole life. And it was JUST as bad when they separated bc they BOTH are immature. If y’all can separate w MATURITY, it won’t be as harsh on the girls as u think✨"
14,"✨Available 

RABBIT - 1/1 
Chinese Zodiac Series
Current bid 0.15◎ 
 
Duration 24 Hours

You can join bid here"
15,What a perfect day ✨
16,"✨Hopped up out of bed, turned the swag on! Took a look in the mirror said “what’s up?!” Ayyyye get money! Yoooo!!! ✨"
17,Absolutely! ✨.
18,Great Eddie✨Taking some time off from work is really important. Waiting for the amazing photos Photographer Eddie is gonna share.
19,✨✨
20,"A fun lil jam, I created the main background with the buildings for this one✨"
21,応募させていただきました✨
22,"[ ACTION 2 ]

Stepping inside, it will take a moment to adjust to the low light … but certainly, and unmistakably, upon the table is a filled egg basket! ✨ There is also a note, however …

“Please share with Fluffy”.

[ +25 eggs ]"
23,"✨Last chance! Registration for the 2-Day Contest closes tomorrow at midnight!✨

Click the link below and join us for 2 days of chaotic, poetic"
24,"I embrace the many ways I’ve grown.
I see how far I’ve come. And I know how much further I’m going ✨✨✨"
25,what pretty stars today✨
26,"So Sorry about the last one!
So here’s a new one! 
✨Giveaway✨

Like to Enter

Open WW 

Includes: 1 Sealed JITB Weverse album Random, 1 Mang Cosmetic Pouch, and any 10 PC’s (made by me) 

Closes 9PM PST 4/11/23"
27,We want Pedro and Pablo and Annita ✨✨✨
28,Ayo been a while since my last too 3✨✨✨
29,Me during my monthly room deep clean ✨✨✨✨✨✨✨
30,Take a look at what house Jupiter is currently transiting (your Aries house) as well as what houses Jupiter rules! Intentions can be made based on those house themes ✨
31,GN✨
32,"Absof*ckinglutely! ✨

Get clear on your ideal day.
Get clear on your ideal life.
Get clear on your purpose.
Get clear on your values.

Then build everything around that."
33,I thoroughly enjoyed Chloe’s Xscape cover of “Who Can I Run To” in the movie “Praise This” however… Smooth R&amp;B is where she shines ✨✨ #Rnb #HipHop
34,Yeah. Thats why they are in the first ✨
35,✨✨
36,sometimes rejection is just another opportunity for redirectioN ✨
37,✨ Here's your album cover:
38,#JUNGKOOK ✨
39,What are you reading this week?✨
40,"""and we fasten our gaze onto Jesus"" not on our limited abilities, not on our short falls, not even on our prayer requests but on Jesus, the author and finisher of our faith.

Have a blessed week ahead ✨"
41,"Me: sun is shining and so are you ✨✨

Also me:"
42,"Somtimes having “no plans” 
is the best plan✨"
43,these pairs are available ✨
44,"You wrinkle huh dawg, come clean this is a ✨safe space✨"
45,Just finished managing the new redeems. Tiring but fun~! Will be streaming again this week ✨
46,"I've just discovered &amp; finished #CastlevaniaNetflix and:

1/ I am ✨obsessed✨ with it &amp; I want more.
2/ I am now diving into its complex lore, going through it will keep me busy for a little while.
3/ I am definitely going to get the Dead Cells Castlevania DLC."
47,"""Everything for the extra money-- ""

       ""And well, work is so cool and all, yes."" ✨"
48,"God is so good, happy Easter guysssss ✨"
49,Thank you!✨✨✨
50,"SC covering Hype Boy✨

#SEHUN #CHANYEOL #EXO #EXOCLOCK_D2 #11YearsWithEXO #Eterna11oveForEXO"
51,参加させていただきます✨
52,There is . The secret is being ✨delusional ✨
53,✨✨✨
54,Worry Belongs To Tomorrow. Regret Belongs To Yesterday. Happiness Belongs To Today!✨
55,I just be keeping it G ✨
56,Awesome dude!✨ The hand drawing and animation looks soft!
57,Trynna eat hella food but my teeth are in ✨painnn✨
58,"Face train ✨

I’ll tag some of my favourite artists but you’re welcome to join if you want eheh want to see a lot of pretty faces !"
59,And I will attempt to be at all those streams ✨✨
60,"Rosé's Slow Dancing in A Burning Room cover from Sea of Hope surpassed 15M views on YouTube with 510K likes

밤바다와 찰떡✨ 로제(ROSÉ)의 〈Slow Dancing In A Burning Room〉♬ 바라던 바다(sea of hope) 1회 | JTBC 210629 로제 #ROSÉ #로제"
61,To the starry sky and beyond! ✨️
62,This is why I’m the big bisexual bc ✨women exist ✨
63,Disappointment when you have so much love for a friend but then it isn’t reciprocated. Backing away ✨
64,So anyway I survived my first day at the new job ✨
65,I wouldn't lie and say that was a peaceful day but it's dreamy just by looking at Namjoon's pic and the sun entering the room ✨
66,"✨ Details ✨

Extra 004
Contexto:"
67,Happy Resurrection Day ✨
68,"✨It’s not sad, truthfully it’s just life.✨"
69,"My RP ✨sparkle✨as a DM is working closely with  players to design characters that allows them to feel immersed, have a distinct place in that world, and able to rp with a full understanding of their characters history/culture...

Also eldritch horror... : D"
70,Absolutely ✨
71,I’ve said the EXACT same thing abt BM  from KARD so I don’t blame you ✨
72,"Sharing your journey and a glimpse of your stellar creative process is brave, personal and heartfelt by your followers. Thank you.✨"
73,"The new me: 
✨ Good diet. Daily exercise. Walking. Doing the things I love. Drooping toxic people. Gaining true friends. Respecting my boundaries. Understanding my limits. Doing what makes me feel beautiful. Breathing techniques. Journaling. ✨"
74,Ah man times like these I wish I still lived in Stirling ✨
75,Top player that one ✨
76,I’m gonna have the busiest schedule this week!! time to fast✨
77,Everything is lit including my serotonin the second it’s 60°+ in Chicago and I can go for lake walks and sit on my back deck ✨
78,"I’m so ready for my date in atlanta ✨ , this my second time getting flew out !"
79,"Raptor vibes! ✨
Commission work!"
80,Always have been and always will be ✨
81,"They are beautiful! And you are so right, every Reo needs a Nagi by his side✨"
82,"Smile, the world needs your smile✨.
 #سعد_الشهري"
83,"#Moonrunners #1,349 sold for 
0.074Ξ!

✨SPONSORED: bored Hobbs yacht club minting soon:"
84,"After Post-Canon, Hua Cheng more often takes the form of Hong Hong-er to make his Gege happy, so Xie Lian then can take care of him like he couldn't the first time.  

Sometimes it still pains him that he didn't do more back then. ✨"
85,"It won’t let me edit after 30 minutes!

Can you send me something else to post with your tags pretty please ?

DM me ✨"
86,I feel like he’s happy but he’s got that ✨stare✨
87,"Send while I go for a walk, I expect to come back to plentiful payment notifications upon My return ✨"
88,Total Bliss✨
89,could be worse ✨
90,Would love to deck out one of their rooms in leather ✨ #luxurylondon #nottinghill #luxuryproperty #londonproperty #luxurylondonproperty
91,You are worthy of the wealth that you desire ✨
92,Some patches available in my shop ✨
93,"I was talkin to God bout what's real or what's not.

All He said was, ""Remain faithful"" ✨"
94,"Hey there! I'm here to get creative with notion and create beautiful, usefull and awesome templates! Follow me for notion exclusive content✨"
95,"Goode night everyone ✨

Don't get yourself too wet tomorrow (especially in Europe)"
96,i’ve got to keep reminding myself that tomorrow is a new day ✨
97,✨ Beautified ✨
98,remember that they are still open! I will take two or three more before I close them for now ✨
99,"⠀
        what’s the magic word . ✨ 
⠀"
100,"Turns both arms into swords &amp; puts them behind her head to make bunny ears. 

Festive. ✨"
101,WE ARE GONNA HAVE GINGER LISA AT COACHELLA ✨
102,✨✨✨ 1:11 I never saw mysekf there either!! anything can happen!
103,Do what she says!! She's the Queen of the show and it's not to be missed! ✨
104,The Princess of Wales Easter Sunday looks ✨
105,I’m here forever. Believe that. ✨
106,Keep going ✨
107,My fav series ✨
108,"Happy ""Holy Shit so many Bunny Girl Outfits"" Day! ✨"
109,اتمنى ✨
110,"Day 7 or “the Seventh Day” is about elevation; taking a step and breathing—-a completion of working to arrive at a destination. 

Elevation.
Elevate.
Eleven.
One + a second element.

“Say that I'm the 1 'cause you are a 10. Real, and not pretend.”—Miguel, Sure Thing✨#everyword"
111,"My RP ✨sparkle✨(a thing i think i do really well) is creating interesting internal conflicts for my characters that contribute to deep conversations and expansive storytelling with my fellow PCs.
I love a good late night watch convo"
112,"∥✨∥ LMAO-

Bet then!
But also, for sure!! I’d love to interact with ya more so this as a start is pretty funny on its own-"
113,"Mhm, mhm. ✨ (Picking her right up with a dangerous look in his eye.)"
114,✨Guess who made a new transition for streams ? ✨
115,Grab your crystals and ✨destress✨  for #NationalStressAwarenessMonth with #MindMassage now on the Fuse YouTube channel! #asmr #selfcare
116,"Halfway through Easter and not one mention of eggs to me, nature is healing ✨"
117,"Got a new crop 

And by that I mean the shirt was $3 and I liked the fit and the stripes so I cut it myself ✨"
