ID,Text,Sentiment
FHBT-246,back in florida for good 🥹,Positive
FHBT-249,"Y’all, I won two $50 VISA gift cards at this event I went to today. God really favors me 🥹

I’m treating myself to a nice dinner!!",Positive
FHBT-309,Have fun y’all’s 🥹❤️,Positive
FHBT-326,Reminds me a lot of two other optic players 🥹,Positive
FHBT-348,been going through such a big anohni phase atm... she's so amazing and i cannot wait for her newrecord to come out 🥹,Positive
FHBT-456,4:13 🥹,Unconfident
FHBT-460,My whole tl is streaming/buying. I love it 🥹,Positive
FHBT-608,Cooking for the first time in the new house tonight to break it in 🥹❤️,Positive
FHBT-619,Needless to say I done made a bet with my son that I won’t say nothing to his friends other than “HI” if I do I owe him 100$ 🥹,Positive
FHBT-664,🥹 I want to be a part of something like this,Positive
FHBT-725,🥹 mang reveal is so special to me,Positive
FHBT-764,A great man 🥹,Positive
FHBT-831,THANK YOU SO MUCH FOR CHEERING FOR JONGDAE 🥹💗💗💗,Positive
FHBT-912,"Omg moonstone is good for transitional periods of your life! I got a moonstone bracelet bc I wanted to move to NYC, and 3 years later when I finally did, it broke in my apartment. I took that as a sign that I completed my transition 🥹",Positive
FHBT-1099,i can’t wait till this over 🥹,Negative
FHBT-1116,Ight my standards are up mikey said “ if ima be with her it’s cause ima marry her” 🥹,Positive
FHBT-1225,it really is 🥹 i love the characters a lot,Positive
FHBT-1753,"5 years with what is love, the song that made me a once 🥹",Positive
FHBT-1886,I’m so glad my momma gifted me a bottle of wine before I left 🥹 I needed it today and I’m officially the auntie by the bar in this bytch 🙌🏽,Positive
FHBT-1949,"My niece and nephew are the cutest! 🥹 
🥕🐇❣️",Positive
FHBT-2050,who will tell koo?🥹,Unconfident
FHBT-2112,girls in bed.. house tidy. can't believe my youngest is 1 tomorrow 🥹,Positive
FHBT-2152,"King Lu, 

Na you hold pen, if you say make we write, we go write, if you say make we clean am, we clean am sharply 🥹❤️🤲🏽",Positive
FHBT-2181,See my daughter 🥹😩🥵🙈,Negative
FHBT-2266,these arts are so so beautiful and perfect sometimes i can't believe they really exist 🥹,Positive
FHBT-2335,Someone will love you 🥹🎶,Positive
FHBT-2525,She’s glowing 🥹,Positive
FHBT-2561,plzz vote for lee jeonghyeon…🥹💚,Positive
FHBT-2698,🥹😂 this video never gets old,Positive
FHBT-2705,"Thank you Carli 🥹👉🏻👈🏻
I really love this Man so much 😘",Positive
FHBT-2817,"yess, so excited to see what he's prepared 🥹",Positive
FHBT-2898,oh he's absolutely beautiful 🥹,Positive
FHBT-2985,"I LOVE THAT ONE GIRL AND HER NAME :)
6 LATTER<3🥹🌍🫶❤️",Positive
FHBT-3188,My MIL just called to let us know she has our Easter baskets ready and the egg hunt ready for the kids 🥹- I’m really so thankful we have great families that have always loved and accepted us just as we are (for the most part-lots of growth!) 👏🏼❤️,Positive
FHBT-3252,Allah has been extremely merciful to me ! Y’all have no idea I’m so grateful Alhamdulillaah 🥹,Positive
FHBT-3574,The trap calling my name 🥹,Negative
FHBT-3609,OMGGGGG CONGRATULATIONS!!! How sweet!!!🥹,Positive
FHBT-3617,You both are look so beautiful 🥹😍😍💜Have a super fun time. 🥰,Positive
FHBT-3631,Everybody is in love 🥹 then there’s me 😭,Positive
FHBT-3631,Everybody is in love 🥹 then there’s me 😭,Negative
FHBT-3705,Deedee been on my mind so heavy .. I CANT wait to be able to tth ..🥹💜,Positive
FHBT-3734,How many Bot accounts do you think you can reach to put a dent on this? 🥹,Positive
FHBT-3761,And she’s glowing 🥹 I’m so happy for her,Positive
FHBT-3863,i wish i carried more cash on me because when ever i see a homeless person with their dog ugh my heart hurts 🥹,Negative
FHBT-4336,Why do the pixels look so pretty. Cuz it's Seungmin 😃🥹,Positive
FHBT-4427,This morning I was given $100 and then this afternoon my bestfriend bought me two pairs of shoes. It’s so damn good to be home. 🥹😭,Positive
FHBT-4427,This morning I was given $100 and then this afternoon my bestfriend bought me two pairs of shoes. It’s so damn good to be home. 🥹😭,Positive
FHBT-4546,Spring cleaning was a success!! My body aches from cleaning but the downstairs looks so nice 🥹💖,Positive
FHBT-4624,"my eyes are blessed, look at this angel 🥹",Positive
FHBT-4625,THANK YOU SM 🥹 the cycle never ends for procrastinators like us 😭 (also due tomorrow = do tomorrow),Positive
FHBT-4625,THANK YOU SM 🥹 the cycle never ends for procrastinators like us 😭 (also due tomorrow = do tomorrow),Negative
FHBT-4692,happy birthday bp 💛 the buddy project led me to finding one of my best friends ever and we’ve been friends for 8+ years. forever grateful 🥹,Positive
FHBT-4749,Saw  Oreka Godis today in central 😭 yes I told her about my TikTok 🥹. Guys she followed me,Positive
FHBT-4749,Saw  Oreka Godis today in central 😭 yes I told her about my TikTok 🥹. Guys she followed me,Positive
FHBT-4784,They seem so cool! I can't wait to compete against them! 🥹,Positive
FHBT-4865,I really went 10 years before bringing Logic into the dealership for service. I think baby did pretty good. 🥹🚘🖤,Positive
FHBT-4877,"Working on world building for The Huntsman’s Revenge. 

Anyone have good world building tools they use to round out their universes? 

I need some inspiration. 🔥🥹",Positive
FHBT-5014,mujhe ye messages kyu nh aty 🥹,Unconfident
FHBT-5412,🥹😘❤️🇮🇹⚒,Positive
FHBT-5477,"Job well done, my beloved ❤️ i’m so glad that I woke up just in time for your performance. Please go on wv live 🥹😉",Positive
FHBT-5531,Silver or gold I have none but I have you 🥹🌝,Positive
FHBT-5693,"Aw thank you gorgeous, I can say the same thing about you 🥹💗 you look so stunning in everything I've seen you do!",Positive
FHBT-5734,thank you stefan!! 🥹💛 it does have such a cool touch!!!,Positive
FHBT-5835,164hrs online 15 1/2hrs left for now! $3006/$4500 thank you guys 😩 merch and karaoke night coming soon! 🥰 I’ll be posting about them after the donothon. Love you guys and thank you for this beautiful twitch journey 🥹❤️😭 my life will forever be changed,Positive
FHBT-5835,164hrs online 15 1/2hrs left for now! $3006/$4500 thank you guys 😩 merch and karaoke night coming soon! 🥰 I’ll be posting about them after the donothon. Love you guys and thank you for this beautiful twitch journey 🥹❤️😭 my life will forever be changed,Positive
FHBT-5890,Lls he like yea i was watching you sleep after you was being mean!  I had to do my big one before i left out😋😜😜😂🥹,Positive
FHBT-6053,They do that for every song because they listen to it for the first time🤡🥹,Positive
FHBT-6176,i can’t wait to take camp edc pics 🥹,Positive
FHBT-6262,I want to go here 🥹,Positive
FHBT-6360,They will always be young in my eyes 🥹,Positive
FHBT-6498,Did they drop her? 🥹,Negative
FHBT-6523,this feels like your concert 🤧🥹,Positive
FHBT-6762,"He knows what he's doing, he won't let his name be ruined and others be ruined as well, kahit ang tapang na niya. 🥹 I trust him. 😌👌🏻",Positive
FHBT-6807,"Praying for your speedy recovery and It will be an emotional comeback for sure 🥹.
#RishabhPant",Positive
FHBT-6857,"my paper went really well like 1.5/2 questions well, i think i would be able to score my expected grades 🥹",Positive
FHBT-6912,It's my first time seeing taerae and zihao moment 😳😳didn't know about it 🥹,Positive
FHBT-6949,That’s literally how i found my man 🥹,Positive
FHBT-7000,"so proud of you leader yang 🥹 and the girl in the bg, yes gorl same 🤣 Aaaaaaa im so happy",Positive
FHBT-7007,This was so good 🥹💜 #Jimin #Jimin_FACE #jiminxvogue,Positive
FHBT-7119,"Like my  brother in Nola, my sis in new York 😭 my girlfriends  going to fucking Jamaica next month 🥹 I can’t breatheeeeeeeee",Negative
FHBT-7119,"Like my  brother in Nola, my sis in new York 😭 my girlfriends  going to fucking Jamaica next month 🥹 I can’t breatheeeeeeeee",Negative
FHBT-7195,Hoping they accept me this time 🥹🤞🏻,Positive
FHBT-7257,YOU DID GREAT 🥹 I’M SOOF YOU MY BOYS 🫶🏻🫶🏻🫶🏻,Positive
FHBT-7535,"damn loud crowd, very hype, all the screams and sing along, skz you guys are so big now 🥹",Positive
FHBT-7579,Such a proud big brother 🥹,Positive
