ID,Text,Sentiment
FHBT-3,New mutuals urgently needed 🙏🥹,Negative
FHBT-6,I am going to cry 🥹,Unconfident
FHBT-28,Came home after a 12h shift to a signed ateez album 🥹,Positive
FHBT-44,🥹❤️❤️❤️,Positive
FHBT-165,8 more days of this suffering 🥹,Negative
FHBT-2932,Eidrees is almost 8 months old 🥹 Why is he growing so fast 🥹,Positive
FHBT-2932,Eidrees is almost 8 months old 🥹 Why is he growing so fast 🥹,Negative
FHBT-10229,this gonna be my first album 🥹 still cant look at my credit card bill tho 🥹,Positive
FHBT-10229,this gonna be my first album 🥹 still cant look at my credit card bill tho 🥹,Negative
FHBT-10754,Why am I crying 🥹,Unconfident
LCF-10,GOOD MORNING TO ME 😭😭 I LOVE HIM SO MUCH HE IS SO FUNNY,Positive
LCF-12,"Such a beautiful track, so proud of this one 🥲",Positive
LCF-52,"Bro is so bad at trash talk, even he don't know what he's saying 😭",Positive
LCF-156,Im always get sick when im about to see my god daughters 😭😭,Negative
LCF-287,Its ok. There is always a next time. End of year is approaching and you can do little baggies for them. I just ordered things from amazon and I will do baggies for my 5th graders and give to them for their graduation since I won’t see some of them anymore 😭😭😭😭😭,Negative
LCF-291,全然無理だったー😭,Unconfident
LCF-314,I WANT TO CRY 😭😭,Negative
LCF-322,It hurts to say Kung Fu Panda over Shrek 🥲,Negative
LCF-437,Weh asal semua trend dgn teme ni?😭 Dont need those other lovers when i got my number one😭,Unconfident
LCF-437,Weh asal semua trend dgn teme ni?😭 Dont need those other lovers when i got my number one😭,Positive
LCF-577,what 😭,Unconfident
LCF-590,só piora 😭,Unconfident
LCF-3163,We really are the true Taylor Nation 😭😭😭 pls let this not be true 😭😭😭😭😭,Positive
LCF-3163,We really are the true Taylor Nation 😭😭😭 pls let this not be true 😭😭😭😭😭,Negative
SFWT-16,Now they’re fighting 🥲,Negative
SFWT-23,i’ve been thinking of him since last night 🥲,Unconfident
SFWT-125,but there is happiness in our history 🥲❤️‍🩹,Positive
SFWT-13578,😭😭🙁😭🥲🥲🙁🙁😭😭🥲🙁😭🥺🥺🥺🥲😭🥺🥺,Negative
