ID,Text,Sentiment
FHBT-136,DMM AND DMM 🍏😊💰💰😍🥰💵💵💵🥹🍊✋🏦🏦🤑🤮🤮🌝🍀☘️🎄🌹🌗🌖🌼🍏🍐🌽🥒🍆💵🏦💵,Positive
FHBT-184,"This is one of my favorite stills from the MV.... there's something so serene about it. I also love how in a song titled People Pt. 2 where Yoongi talks about the complexities of love and people, his only company is a dog 🥹 Bc dogs love unconditionally? Just a thought.",Positive
FHBT-472,"nobody 

my kid : mama you need to open up a shop since you do hair 🥹",Positive
FHBT-582,OMG I LOVE THAT SO MUCH 😍 😭 🥹 YOURS IS SO CUTE!!!!!,Positive
FHBT-582,OMG I LOVE THAT SO MUCH 😍 😭 🥹 YOURS IS SO CUTE!!!!!,Positive
FHBT-1225,it really is 🥹 i love the characters a lot,Positive
FHBT-1267,look how proud they are! 😭❤️ you will really see that they support each other 🥹,Positive
FHBT-1267,look how proud they are! 😭❤️ you will really see that they support each other 🥹,Positive
FHBT-1430,"Thank you all so much! Dexter has had ‘best holiday ever’ and has definitely got the ski bug now. The teachers and drivers have done amazing, we can’t thank you enough 🥹",Positive
FHBT-1467,So when will ballop drop that video 🥹,Negative
FHBT-1564,this is from Ricky and Morty. 🥹,Unconfident
FHBT-1589,"""COCO"" one of the best movies I watched 🥹",Positive
FHBT-1829,"Not chosen family, please don't do this to me 🥹😭😭😭",Negative
FHBT-1829,"Not chosen family, please don't do this to me 🥹😭😭😭",Negative
FHBT-1843,Big day for gays and plays. V excited to have found two first edition Mary Renault’s 🥹📚,Positive
FHBT-1860,how does it feel to see isa this close 🥹,Unconfident
FHBT-1896,Twitter is a wild place unfortunately. Hopefully it all works. Thanks for helping me 🥹,Positive
FHBT-1939,"Joining RUi selca day for the second time 🥹 (don’t care about my hair, taht time I just woke up 🙄)

#RUiSelcaDay",Positive
FHBT-1983,Saw this so I wanted to try it out! Made my OC and I like how it turned out! 💙🥹,Positive
FHBT-2136,"It’s like I don’t know french and I can’t speak but I really really love your musics🥹❤️❤️
The vibe that you give us is so beautiful 🥹💕 Thank youuu💛",Positive
FHBT-2136,"It’s like I don’t know french and I can’t speak but I really really love your musics🥹❤️❤️
The vibe that you give us is so beautiful 🥹💕 Thank youuu💛",Positive
FHBT-2193,"they are kissing Haminie~ !?? 
so cute 🥹💞 Hope like this😆✨",Positive
FHBT-2277,OMG this is my picture <3 I also asked them to sign and write a quote from one of their songs on my flag 🏳️‍🌈 in another Meet & Greet! They are so nice and cool!! 🥹💖,Positive
FHBT-2317,🥹🤣🤣🤣🤣😭😭😭 I’m ⚰️,Positive
FHBT-2317,🥹🤣🤣🤣🤣😭😭😭 I’m ⚰️,Positive
FHBT-2355,It's just people not knowing how a mirror works 🥹,Negative
FHBT-2373,Watching and Dreaming today 🥹,Positive
FHBT-2557,i just want to be snuggled in bed rn 🥹,Negative
FHBT-2644,"My Charan-Arjun hearts 🥹❤️🖤😭
Also Bunny can never not stop responding to Cherry without mentioning the word brother 😭🥹

#AlluArjun 
#HappyBirthdayAlluArjun",Positive
FHBT-2644,"My Charan-Arjun hearts 🥹❤️🖤😭
Also Bunny can never not stop responding to Cherry without mentioning the word brother 😭🥹

#AlluArjun 
#HappyBirthdayAlluArjun",Positive
