id,span,sentiment,comment
100 ,22 23 🥹,Unconfident,
10041 ,98 99 🥹,Positive,
10067 ,44 45 🥹,Positive,
10098 ,104 105 🥹,Positive,
10229 ,29 30 🥹,Positive,
10229 ,74 75 🥹,Negative,
1026 ,49 50 🥹,Unconfident,
10419 ,37 38 🥹,Unconfident,
10431 ,38 39 🥹,Unconfident,
10545 ,115 116 🥹,Unconfident,
10641 ,23 24 🥹,Positive,
10812 ,41 42 🥹,Positive,
10928 ,41 42 🥹,Unconfident,
11049 ,147 148 🥹,Positive,
11112 ,17 18 🥹,Unconfident,
11145 ,22 23 🥹,Unconfident,
11197 ,20 21 🥹,Positive,
11212 ,84 85 🥹,Unconfident,
11236 ,26 27 🥹,Positive,
11239 ,86 87 🥹,Unconfident,
11245 ,39 40 🥹,Positive,
11377 ,17 18 🥹,Unconfident,
11420 ,34 35 🥹,Positive,
11468 ,75 76 🥹,Positive,
11800 ,38 39 🥹,Positive,
11881 ,13 14 🥹,Unconfident,
11882 ,170 171 🥹,Positive,
1194 ,118 119 🥹,Positive,
12088 ,26 28 😭😭,Negative,
12088 ,138 139 🥹,Negative,
12379 ,19 20 🥹,Unconfident,
12397 ,37 38 🥹,Positive,
1246 ,22 23 🥹,Positive,
12465 ,13 14 🥹,Positive,
12495 ,23 24 🥹,Positive,
12561 ,17 18 🥹,Positive,
12761 ,17 18 🥹,Negative,
12882 ,15 16 🥹,Unconfident,
12890 ,22 23 🥹,Positive,
1293 ,212 213 🥹,Positive,
12952 ,12 13 🥹,Unconfident,
13083 ,38 39 🥹,Positive,
13083 ,75 78 😭😭😭,Unconfident,
13087 ,34 35 🥹,Negative,
13201 ,38 39 🥹,Unconfident,
13386 ,11 12 🥹,Positive,
1339 ,58 59 🥹,Positive,
13392 ,44 45 🥹,Positive,
13411 ,9 10 🥹,Positive,
13419 ,11 12 🥹,Unconfident,
13504 ,18 19 🥹,Unconfident,
13664 ,152 153 🥹,Positive,
13821 ,110 111 🥹,Positive,
13847 ,13 14 🥹,Unconfident,
13900 ,23 24 🥹,Positive,
13932 ,101 102 🥹,Negative,
14080 ,19 20 🥹,Unconfident,
14374 ,86 87 🥹,Positive,
14404 ,17 20 🥹🥹🥹,Unconfident,
14404 ,37 38 🥹,Unconfident,
14451 ,112 113 🥹,Unconfident,
14460 ,51 52 🥹,Positive,
14552 ,59 60 🥹,Positive,
14589 ,49 50 🥹,Unconfident,
14649 ,25 26 🥹,Positive,
14719 ,89 90 🥹,Positive,
14830 ,15 16 🥹,Negative,
14884 ,50 51 🥹,Positive,
14884 ,51 52 😭,Negative,
1491 ,163 164 🥹,Positive,
14910 ,69 70 🥹,Unconfident,
15256 ,17 18 🥹,Unconfident,
15294 ,45 46 🥹,Unconfident,
15372 ,39 40 🥹,Positive,
15542 ,133 134 🥹,Negative,
15614 ,7 9 🥲🥲,Unconfident,
15659 ,119 120 🥹,Unconfident,
1567 ,11 12 🥹,Unconfident,
15837 ,22 23 🥹,Negative,
15839 ,37 38 🥹,Positive,
