id,text
10035,was that trump ? 😭😭
10051,‘i’ve never seen you agree with her fans recently’ who r u and why r u watching me like the fan police pls😭😭
10276,Awwww this made my day! 😭💜
10398,Okay I knew I wasn’t tripping when I had that thought about the design being old as well  😭 I definitely saw someone on tiktok buy it from Ali express last Ramadan. Now I feel so bad about the other business that was put on blast 😭
10607,"She really meant it😭😭 ""the curse"""
10630,also today i was trying on dresses w my mom and sister and they kept getting the smallest sizes for me it was so validating 😭
10735,He told us to cancel him 😭😭
10854,Im not seeing the episode on the website?? hElp? 😭
10891,i always think about what it’d be like if all of bst (except the cupcakes/locals) were irls 😭
11118,Was going through my notes app and I remembered what heartbreak did to me 😂😭😭 Yoh heartbreak 🤣
11223,Enhypen played Polaroid Love??? How did I miss that 😭😭
11255,im no longer emotionally available after watching the last episode of Owl house 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
11316,Why am I so proud of finding him 😭
11499,Throw that nigga Ralph in there too 😭
11506,u don’t get it I will rly not be able to function. this will break me to a level I don’t like😭😭
11605,"I can say 'The Owl House' changed my life and many others. It's so sad to say goodbye to an amazing show full of representation, amazing story lines, and amazing characters. Goodbye Owl house. You will be remembered in cartoon history as a legend. #TheOwlHouseS3 #TheOwlHouse 😭"
11757,The Reading is so stupid cause these people dumb 😭
11847,ホントにそう思います😭
12073,"dbm, lwymmd, ready for it, & getaway car charting on am pop.. now i just need end game to join 😭"
12241,I wish I was more Happy about it. I REALLY WANTED FIRE BOII 😭🧡
12335,"Took a little break to watch The Owl House finale and help, THE FEELS!!!!! 😭💖"
12343,Naw not Donald trump at the UFC fight?!?! 😭😭😭😭😭
12366,I have no idea what the circumstances were that led to the creation of the song Godzilla Love Theme or the decision to use it in the end credits 😭😭
12514,i cant believe i just saw that 😭😭😭
12570,Everything is all set! See youuuuu hubby! Why you gotta be so expensive 😭😅🫶🏼❤️‍🔥 #AgustD_SUGA_Tour
12625,She bout to make me cry 😭
12813,saw the cutest guy in ttc line 2 today but i was too shy to say hi even tho i caught him staring at me too skjsjsj (delusional) 😭 bae come meet me at st. george station again 😔✊
12887,It’s so cringe 😭
13026,CAN I SEE😭😭
13068,Oh my god the sunburn I gave myself from lying around in the grass outside the con 😭
13077,YES YES AND IT MAKES ME SO HAPPY 😭
13101,Thanks to proved us your fav can’t be relevant without collabs 🤣(still is irrelevant outside Latin 😭)
13103,bro does anyone know where u can watch toh watching and dreaming ive been looking 😭😭
13112,Only to be dominated the next two rounds😭
13218,Knew where this was headed in the finale of the first season and straight up stopped watching this shit 😭
13235,"THIS CAN'T BE TRUE, RIGHT?
normally i don't care about these things.
but, maaannn... they've been writing 3 albums together. all the story from lover, invisible string, sweet nothing, etc. i feel the heartbreak too 😭💔."
13278,"I want this view too omg😭😭😭
I get the balcony of an old ass building😭😭"
13303,HAHAHA very supportive bsta budol eh no😭🤣
13317,"Lol, I saw that tweet. How is someone being that soft it's the internet chill out bro complained about the most pointless thing... 😭"
13486,i saw a tiktok about it and came here 😭😭😭
13492,Stuck between a rock and a hard place 😭
1351,i’m listening to all the songs i’ve never rly listened to before so i’m prepared for the concert and this was my first one 😭
13567,“I Know” 😭
13579,this fucking loser😭
