id,span,sentiment,comment
10035 ,17 19 😭😭,Negative,
10051 ,106 108 😭😭,Negative,
10276 ,24 25 😭,Negative,
10398 ,90 91 😭,Negative,
10398 ,230 231 😭,Negative,
10607 ,19 21 😭😭,Negative,
10630 ,124 125 😭,Positive,
10735 ,25 27 😭😭,Negative,
10854 ,49 50 😭,Negative,
10891 ,92 93 😭,Unconfident,
11118 ,75 77 😭😭,Negative,
11223 ,52 54 😭😭,Negative,
11255 ,80 95 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,Negative,
11316 ,33 34 😭,Unconfident,
11499 ,36 37 😭,Unconfident,
11506 ,93 95 😭😭,Negative,
11605 ,276 277 😭,Negative,
11757 ,49 50 😭,Negative,
11847 ,10 11 😭,Unconfident,
12073 ,95 96 😭,Unconfident,
12241 ,60 61 😭,Negative,
12335 ,75 76 😭,Negative,
12343 ,42 47 😭😭😭😭😭,Negative,
12366 ,145 147 😭😭,Negative,
12514 ,31 34 😭😭😭,Unconfident,
12570 ,72 73 😭,Negative,
12625 ,24 25 😭,Negative,
12813 ,128 129 😭,Negative,
12887 ,15 16 😭,Negative,
13026 ,9 11 😭😭,Unconfident,
13068 ,83 84 😭,Negative,
13077 ,33 34 😭,Negative,
13101 ,99 100 😭,Unconfident,
13103 ,82 84 😭😭,Negative,
13112 ,40 41 😭,Negative,
13218 ,104 105 😭,Negative,
13235 ,217 218 😭,Negative,
13278 ,24 27 😭😭😭,Unconfident,
13278 ,69 71 😭😭,Negative,
13303 ,39 40 😭,Unconfident,
13317 ,131 132 😭,Negative,
13486 ,38 41 😭😭😭,Negative,
13492 ,38 39 😭,Negative,
1351 ,123 124 😭,Positive,
13567 ,9 10 😭,Unconfident,is this a star wars reference ??
13579 ,18 19 😭,Negative,
14029 ,21 22 😭,Negative,
14029 ,84 85 😭,Negative,
14292 ,72 76 😭😭😭😭,Negative,
14308 ,8 9 😭,Positive,
14451 ,25 26 😭,Negative,
14488 ,60 61 😭,Negative,
14520 ,55 57 😭😭,Unconfident,
14701 ,66 72 😭😭😭😭😭😭,Unconfident,
14706 ,45 47 😭😭,Positive,
14719 ,40 41 😭,Unconfident,
14733 ,33 34 😭,Negative,
14753 ,64 65 😭,Negative,
14753 ,137 138 😭,Negative,
14767 ,8 9 😭,Unconfident,
14817 ,72 73 😭,Negative,
15088 ,11 13 😭😭,Unconfident,
15304 ,14 15 😭,Positive,
15333 ,69 71 😭😭,Unconfident,
15352 ,104 107 😭😭😭,Negative,
15370 ,38 39 😭,Unconfident,
15572 ,64 65 😭,Negative,
15617 ,54 55 😭,Negative,
1566 ,69 70 😭,Unconfident,
15871 ,100 101 😭,Negative,
15973 ,67 68 😭,Negative,
16020 ,273 274 😭,Negative,
16245 ,135 139 😭😭😭😭,Positive,
16320 ,58 59 😭,Unconfident,
1644 ,135 136 😭,Negative,
16479 ,30 31 😭,Negative,
16560 ,15 16 😭,Negative,
16570 ,40 42 😭😭,Negative,
16605 ,44 45 😭,Negative,
16644 ,52 53 😭,Negative,
16680 ,144 145 😭,Negative,
17102 ,10 11 😭,Unconfident,
17196 ,59 60 😭,Unconfident,
17501 ,77 79 😭😭,Unconfident,
17591 ,98 99 😭,Unconfident,
17864 ,29 30 😭,Unconfident,
18074 ,86 88 😭😭,Negative,
1812 ,155 156 😭,Negative,
18458 ,16 17 😭,Unconfident,
18558 ,71 74 😭😭😭,Unconfident,
18658 ,183 186 😭😭😭,Positive,
18816 ,33 35 😭😭,Negative,
18954 ,16 17 😭,Unconfident,
19037 ,30 31 😭,Unconfident,
19073 ,26 30 😭😭😭😭,Unconfident,
19116 ,24 25 😭,Unconfident,
19159 ,69 72 😭😭😭,Positive,
19194 ,56 57 😭,Positive,
19327 ,9 13 😭😭😭😭,Negative,
19568 ,74 76 😭😭,Negative,
2093 ,56 57 😭,Negative,
2104 ,78 79 😭,Negative,
214 ,28 30 😭😭,Negative,
2161 ,32 33 😭,Unconfident,
2191 ,102 103 😭,Unconfident,
2231 ,208 210 😭😭,Negative,
2244 ,45 46 😭,Unconfident,
2263 ,44 47 😭😭😭,Negative,
2446 ,33 34 😭,Unconfident,
2480 ,204 208 😭😭😭😭,Unconfident,
2501 ,42 43 😭,Unconfident,
2514 ,42 45 😭😭😭,Negative,
2536 ,34 35 😭,Unconfident,
2593 ,25 26 😭,Unconfident,
27 ,85 86 😭,Negative,
2943 ,39 40 😭,Unconfident,
3089 ,61 63 😭😭,Unconfident,
3157 ,105 106 😭,Negative,
3161 ,27 28 😭,Positive,
3190 ,28 29 😭,Negative,
3190 ,125 126 😭,Negative,
3312 ,53 56 😭😭😭,Unconfident,
3343 ,49 50 😭,Unconfident,
3378 ,39 47 😭😭😭😭😭😭😭😭,Negative,
3546 ,140 141 😭,Positive,
3693 ,48 49 😭,Unconfident,
3785 ,93 96 😭😭😭,Negative,
4313 ,91 92 😭,Positive,
4322 ,185 186 😭,Positive,
4358 ,40 47 😭😭😭😭😭😭😭,Unconfident,
4442 ,112 113 😭,Negative,
4482 ,76 77 😭,Negative,
