id,text
10042,Bros can you help me with dinner please 🙏 I know it’s not your problem but hunger hold me 🙏🥲
10090,"Same TT
I have an angst one-- (basically just me killing my bias 🥲) I was waaay too lazy to reread it and here we go TT"
10154,"He is live in Hyderabad concert 🥲❤️
#ArmaanMalik"
10321,someone hang out w me 🥲
10345,Love how the vinyl looks with that filter on 🥲
10381,When your abdominal muscles are sore and you have to sneeze 🥲
10404,"In my self awareness and discovery phase, and I've seen a lot.🥲"
10424,i forgot Founders Day is next week 🥲
10549,tw blood 🩸 doing a short animation based on a nightmare I had 🥲 I had another nightmare after this one I’ll probably do as well which isn’t any less gross/upsetting
10592,best thing apple did was allow us to have an unsend button just incase i send the wrong shit. 🥲
10670,Was really looking forward to another season of bringing my son to afternoon games before he requires his own seat. Only get one chance this year 🥲
10762,"I'm gonna work there for 10 months 🥲 
At least it's for FFS money"
10857,"Waiting 😔😔 it's been more than 28 hours
🙂🥲"
11008,😂😅🤣 she  was  connected  to  that  baby  😂🤣😂😅🥲 any  doctors  in  the  room?  🤣😅😂🥲🤣😂🤧🤧🤧🤧
11089,"She was a almond mom AND she could eat anything and she stays skinny, I kinda have that gene 🙌 she just never got us food until she found out I was underweight then she fed me lots of fast food 🥲"
11111,"If I only have enough moeny to buy a Flair Pro 2. 🥲
It's 20% the cost of jy's machine but it's still exoensive as hell."
11141,another whiny Trump twit. 🥲☺️😆
11166,"It happened at a time when Social media unfortunately did not exist 

Not that SM would have precipitated but at least it would have been globally shared and the perpetrators booked . 😡🥲😔"
11180,Just drink water nak your babe.. Gym na extra 🥲
1122,"Alright, alright you’re right! 🥲"
11248,If we laugh we’ll be judged. 🥲😌
11255,Where can I get one? They don’t sell em here 🥲
11394,OMGGGG NOOO NVM te confundí 🥲
11477,nah can't go anywhere besides Vancouver 🥲
11674,"Btw I drank all that water on stream, and I didn't even get my amaretto sour like I said I would as a reward 🥲"
11678,True but its inevitable now. Potters mentality is deep in this squad. A change I'm coaches won't save anything 🥲
11695,I been into collecting incense recently 🥲 someone stop me before my room turns into a live stage fog room
11709,"Second perfume wey go break for my hand 🥲
And both are my favorite ones 😪"
11748,There’s such a nuance to dealing with the death of your mother… 🥲
11918,years of collecting 🥲 but I did the same I really thought it was my phone for awhile until I checked Twitter and noticed others having the same issues
12043,"Damn! Even after all this time, 써니 (Sunny) can still make me cry. It's really still one of the best korean film in existence. 🥲"
12062,"Whatever happens in the DPOY race, it was just an honor for those other candidates to be mentioned in the same breath as JJJ 🥲"
1211,You won't remember all my champagne problems.🥲
12131,Don’t tell me we’re birds of a feather 🥲💔
12198,Be my storyめっちゃ良い歌🥲(遅)
1232,On my way to the bar yawning and eyes mad heavy….. I may be inside this summer 🥲
12328,Ty rennn 🥲🖤
1243,"OMGG!! VXV 1st win for this era. And it’s not their title track but a B-Side 🥲 Congratulations, my loves! 😍😍😍"
12445,best of luck to her and her group fr. they're gonna need it 🥲
12467,Please pray for Palestine pl🇮🇷🙏🙏🥲
12542,"So #ShreyaGhoshal fans are like the best fans ever. Just look, they are so gentle, sober, kind & genuine. No negativity. Only positive vibes. I wish I could be a part of her fandom. 🥲

love you ❤️"
12734,"The story goes back and forth between time a lot, it gets pretty confusing.

Also it has minimum dialog as well. BUT OVERALL REALLY ENJOY IT 🥲"
12936,i’m trying 🥲
1298,"🥲 one day, ur time will come"
13155,The Twitter feed seems excessively violent…maybe it’s what I am engaging with on the algo but damn I can’t follow ufc and not get 10 fights a scroll 🤣🙏🥲
13291,my name is on all of my profiles ….. how tf do people still not get it 🥲 i don’t get it 💀
13302,Where are you darling 🥲❤
13330,Anything that FEELS like rejection IS rejection to me and I rly need to work on that 🥲
13466,"🥲 I used to have sailor moon pfp, cuz I was just a fan.. not every ailor moon pfp is trans..afh shaow"
13476,"I have acquired a fresh new iPad (because it was half the price of a new one to fix the problem on my old one) and shall return to my regularly scheduled programming shortly, that being nothing because I barely post here 🥲"
1358,i need the price of eggs to stop rising 🥲
13676,"As a means of making myself feel better, I nabbed this egg cup in a charity shop 🥲"
13746,"""MEGA AUCTION"" literally... destroyed MI 🥲🙏

Sadly there's no EL-CLASSICO anymore 🙂
🫂🤧"
13810,"You keep breaking my heart continuously.
Still i am not able to unlove you.
HATE YOU #MumbaiIndians 🥲"
1382,I want an Easter basket 🥲
13821,Just imagin after a few years u will be sitting in a refugee camp 🤣🤣 . And all of these tweets will be useless 🥲. 🫠🫠😂😂
13909,Little bit of gold recirculating 🥲
14177,I’m not betting football again 🥲 it’s too painful
14229,When did they say line distribution?🥲 y’all be reading something else all the time😭
14230,"Here's the thing...

I've been craving choco chip cookies in a concerning amount of days now, but campus is closed for the week and you show up with this...

I'm suffering over here Meru, how could you 🥲"
1426,😖🥲
14271,Me too dude me too. Recently updated my discord pfp to a Rhythm Heaven Fever one 🥲
14515,🥲 but atleast if we can go 18-19 over our net runrate will be good
14577,"Butcher's Knife came out of no where 😁😁. But spoiler alert 
Even butcher have a girlfriend 🥲"
14711,"Everyone wants to do ""startup across Africa"" but never researched the compliance requirements in other African countries 😅

It's not easy 🥲"
1499,i was briefly! it changed to redrum shortly after i came to davis and now it’s gone altogether. 🥲
15040,Now play him in wtc final 🥲
15063,The one game the flag never made it too 🥲
15071,Currently running out of breath from watching jaehyun as an executive chef 🥲 the patissier in me trying so hard not to lose its sanity
15148,tryna get my girl her dog and cat back 🥲🤣🤣
15173,now where is the red guitar?! 🥲
15368,I’m looking rough 🥲
15413,Ig that's why I have a single A 🥲
15435,"Same ! 
I wish she never goes back to that flop channel. But she might be approached for Naagin I guess 🥲
I want her to be the TRP queen which is possible only if she does a show in starplus 😌"
15589,You just assumed I am lying so any point I mention is worthless so I ain't wasting my breath. Guess is should not come to school the day things like that happen even though they don't put up notices that it will 🥲
15776,"No pics just a video from my 11th birthday, 2 months before 2012. I promise the rest of my hair was in a ponytail 😭🥲"
15865,It’s so nice to see my edits circle around atiny twt like damn y’all rlly like my intrusive thoughts 🥲
15978,"She never fails to disappoint me - 
I mean never fails to make me laugh hard no matter whattt. 🌚🤌🏻
that EveRybOdYyy 🥲"
16089,Murumba Pitch are in a league of their own. 🥲🔥
16214,i wished that jesus would forgive me for my dirty mind 🥲
16220,Just scheduled my ccw class ik that shit finna be boring asb 🥲
16266,Loving all the Luigi love. Perhaps this blessing will help with getting my OT approved. 🥲
16413,"Bc a lot of women really want toxic, unstable and men that don’t talk to them. 🥲"
16501,Justin Thomas what happened 🥲
16502,"Jio cinema interface 🥲 What's with the brightness level bhaii. Andhaa kar denge specially for someone who is used to using dark mode now, its too much brightness 🙄"
16511,IF THIS AIN'T ME 🥲
1656,Feeling fomo 🥲 will miss out big time
16579,got penny in an episode but at what cost 🥲
16696,But the shoes I have literally do not fit the look at all 🥲💔 so maybe I'll try and get a pair at johor that will fit also cause I only have like. 2 pairs of shoes. ☠️
16873,Suddenly i feel like everyone hates me 🥲 without unknown reason
16876,Im so excited for tomorrows event i miss firstkhao sm 🥲
16971,This with coke 😭😭🥲
17008,"Yes, they will not have memory…
Just hope if they will meet again, still can hear Little call them ""friends"" 🥲"
17027,"I may sound live a villain but I hate how public holidays ruin plans. Yes, I should factor them in but I always forget and it just disrupts my plans. 🥲"
1709,The plan was to play some comfy farming sim then apex but your blue bnnuy has been a couch potato all day so I’m just going straight to apex with 🥲 see you soon ™
17294,leo rising and leo moon in 12h 🥲
17420,my baby brother turned 20 yesterday 🥲
17445,what are some good korean cafes in london?? anyone help me out im making a list for my trip 🥲
17458,"The thing i feared has started to happen it seems
Downfall of SKY
No worries in IPL but what if this continues in Indian team also 🥲"
17477,THE video that got me into them OMG 🥲
17500,I want to go to the Masters so bad 🥲
17961,till now i think bout yesterday what actually hurt u till u hurt me? but if i know earlier definitely i won’t disturb u & will find my own way 🥲
