id,span,sentiment,comment
10042 ,91 92 🥲,Negative,
10090 ,66 67 🥲,Negative,
10154 ,32 33 🥲,Unconfident,
10321 ,22 23 🥲,Negative,
10345 ,45 46 🥲,Positive,
10381 ,60 61 🥲,Negative,
10404 ,62 63 🥲,Unconfident,
10424 ,35 36 🥲,Negative,
10549 ,62 63 🥲,Negative,
10592 ,94 95 🥲,Positive,
10670 ,146 147 🥲,Negative,
10762 ,35 36 🥲,Negative,
10857 ,42 43 🥲,Negative,
11008 ,45 46 🥲,Unconfident,
11008 ,80 81 🥲,Unconfident,
11089 ,194 195 🥲,Negative,
11111 ,50 51 🥲,Negative,
11141 ,26 27 🥲,Negative,
11166 ,187 188 🥲,Negative,
11180 ,46 47 🥲,Unconfident,
1122 ,31 32 🥲,Negative,
11248 ,29 30 🥲,Negative,
11255 ,45 46 🥲,Negative,
11394 ,28 29 🥲,Unconfident,
11477 ,40 41 🥲,Unconfident,
11674 ,109 110 🥲,Negative,
11678 ,111 112 🥲,Negative,
11695 ,40 41 🥲,Positive,
11709 ,40 41 🥲,Unconfident,
11748 ,64 65 🥲,Negative,
11918 ,20 21 🥲,Negative,
12043 ,126 127 🥲,Positive,
12062 ,125 126 🥲,Positive,
1211 ,45 46 🥲,Negative,
12131 ,39 40 🥲,Unconfident,
12198 ,18 19 🥲,Unconfident,
1232 ,79 80 🥲,Negative,
12328 ,9 10 🥲,Positive,
1243 ,77 78 🥲,Positive,
12445 ,60 61 🥲,Negative,
12467 ,32 33 🥲,Positive,
12542 ,182 183 🥲,Positive,
12734 ,143 144 🥲,Positive,
12936 ,11 12 🥲,Negative,
1298 ,0 1 🥲,Negative,
13155 ,151 152 🥲,Positive,
13291 ,71 72 🥲,Negative,
13302 ,22 23 🥲,Negative,
13330 ,85 86 🥲,Negative,
13466 ,0 1 🥲,Unconfident,
13476 ,221 222 🥲,Negative,
1358 ,40 41 🥲,Negative,
13676 ,81 82 🥲,Unconfident,
13746 ,41 42 🥲,Unconfident,
13810 ,102 103 🥲,Positive,
1382 ,24 25 🥲,Negative,
13821 ,111 112 🥲,Negative,
13909 ,33 34 🥲,Unconfident,
14177 ,31 32 🥲,Negative,
14229 ,36 37 🥲,Negative,
14229 ,82 83 😭,Negative,
14230 ,206 207 🥲,Negative,
1426 ,1 2 🥲,Unconfident,
14271 ,81 82 🥲,Positive,
14515 ,0 1 🥲,Negative,
14577 ,92 93 🥲,Negative,
14711 ,140 141 🥲,Negative,
1499 ,96 97 🥲,Unconfident,
15040 ,26 27 🥲,Unconfident,
15063 ,40 41 🥲,Negative,
15071 ,75 76 🥲,Positive,
15148 ,39 40 🥲,Unconfident,
15173 ,30 31 🥲,Unconfident,
15368 ,18 19 🥲,Negative,
15413 ,32 33 🥲,Unconfident,
15435 ,105 106 🥲,Negative,
15589 ,212 213 🥲,Negative,
15776 ,114 115 😭,Negative,
15776 ,115 116 🥲,Negative,
15865 ,101 102 🥲,Negative,
15978 ,118 119 🥲,Unconfident,
16089 ,44 45 🥲,Positive,
16214 ,55 56 🥲,Negative,"I'm sorry, this is south a southern thing to say and I cracked up"
16220 ,61 62 🥲,Unconfident,
16266 ,88 89 🥲,Positive,
16413 ,79 80 🥲,Negative,
16501 ,28 29 🥲,Unconfident,
16502 ,21 22 🥲,Unconfident,
16511 ,17 18 🥲,Unconfident,
1656 ,13 14 🥲,Negative,
16579 ,41 42 🥲,Negative,
16696 ,58 59 🥲,Negative,
16873 ,39 40 🥲,Negative,
16876 ,54 55 🥲,Positive,
16971 ,15 17 😭😭,Unconfident,
16971 ,17 18 🥲,Unconfident,
17008 ,110 111 🥲,Negative,
17027 ,150 151 🥲,Negative,
1709 ,146 147 🥲,Unconfident,
17294 ,31 32 🥲,Unconfident,
17420 ,36 37 🥲,Positive,
17445 ,92 93 🥲,Positive,
17458 ,133 134 🥲,Negative,
17477 ,36 37 🥲,Positive,
17500 ,35 36 🥲,Unconfident,
17961 ,143 144 🥲,Negative,
18083 ,33 34 🥲,Negative,
18233 ,60 61 🥲,Negative,
18233 ,95 96 😭,Negative,
