id,text
10030,Working 🥹😭
10364,I have the same feeling but I hope the parole works so we can finally have Gabby and Bode together 🥹
10387,"It really was, it made me so happy to see the cute skrunklies on the big screen 🥹"
10411,They be hard as well 🥹🤣🤣
10476,"Listen, it’s a wedding! That’s the point! To celebrate and find love kanti keng sweedhard 🥹"
10635,"Sorry about Raincouver ✌🏽🥹☔️ 

See u later tho🫶🏼"
1067,look at him in his little sparkly suit 🥹
10785,"Gucci to Thor

My heart is full

🥹"
10970,"you——  🥹  ah.  you  are  such  a  dream  ...  yeah,  they  do  the  job  really  well."
11070,just listened to this and i love it! 🥹
11137,Idk wtf I ate yesterday but my stomach fucked up 🥹
11159,Lol why my baby cousin asked me for $39 adult dollars...I had to walk away 🥹
11191,2 years ago😭😭🥹
11331,literally so so proud of him 🥹
11345,HOLY SHIT CONGRATSSSSS … it was like yesterday my young man was getting his first peck 🥹
1171,Oneday I will make me proud 🥹
11799,Rajasthan Royals are the table toppers 🥹💗
118,Just bought this amazing piece from dear 💙💙💙 My first purchase 🥹
11831,"This is such a stunning album! 😍 Like, everything I could want from #Daesung's voice. I can't get enough of  D-Day, The Sign & Anymore, they're honestly so dreamy 🥰 
I'm so looking forward to whatever Dae has been preparing for us 🥹"
11834,he spinned right into jay's arms😭🥹
11855,"Very majestic pictures. Congratulations to you and on becoming tag team champions, I even shed a tear 🥹 #FTRFanForLife"
12034,My fave so far 🥹❤️ I even got to add the necklace I always wear!!
12061,This had Sending me so Much in tears that i’m so glad y’all this is the first time I just finally got blue badges 🥹 Wow Wow Wow 🥲”
1212,"THIS SO GOOOOD????? thank u, i'll try sketching this!🥹"
12172,"i maybe as well share some of my favourite moments from volume 7 ch.63…🥹

saeko saeko saeko she’s soooo gentle here 😭😭🤲🏻"
1218,"Got a chance so I took it, heart is full after this wonderful evening 🥹
#MusicBankParis"
1233,i never asked you anything 😅🥹
12364,"Happiest birthday to my Feiyu and Mo Ran. They were meant to be each other 🥹 I can’t imagine anyone other than Feiyu to play as Mo Ran. I’m still waiting for the day that we can watch hyx. I love them both so much 🤍

#二哈和他的白猫师尊 #墨燃0409生日快乐"
12370,jjoguming is in the country alr but he's gonna come home to me next or next next week but im so excited 🥹
12427,I'm so graetful I have a man who has a outstanding support system cause not only are they just his support system their me & my kids too 🥹❤️
12647,Thank you. Send me stuff to do. I’m trying to hop in my creative bag 🥹
12688,Fofo 🥹
12698,Update: I have played 3 Fortnite games and WON 3 games 🥹 This is awesome!
1270,it was Jin who gave him permission 🥹
12749,It’s the only right answer friend he’s a natural blonde 🥹
12795,"I’m nervous and also super excited 🥹🙈 
Just a weird mix to feel"
12910,"Someone tell me why I had to go through the biggest heartbreak of my life with this guy for him to actually start treating me with this much love and respect 🥹
I want to fight but the chicken Suya is too sweet 🥹🥹
Who give up na im fuck up"
12965,"s1 jesper hair, you will always be famous 🥹"
12968,"End bottom self hatred 🥹
Like how you gonna let someone go “ptooey” and then hit it 😩😭🙃😭😭"
12974,Amazing Katherine … wish I could attend 🥹
12991,"God really made me thick, fine, funny, and multitalented. 🥹🙏🏾💕

He’s the best EVER!"
13213,ik medj late but wooow? one year na pala to 🥹 ilysm heeseung 🥹🤍
134,These pictures are gonna come out so beautiful 🥹
1342,thank you bby 🥹
13452,"i wanna change my layout and keep my location long
BUT matecha isn't working anymore 🥹"
13454,I keep losing all my sunglasses. Don’t trust me with yours. 🥹
13528,"I love them 🥹
I wish I had the lop bunny too though 🥹🥹🥹

#すくっとたっちさん"
13651,i have so much love for him 🥹
13668,This cover is so cool 🥹
13679,What a meaningful discussion this was. Especially about black & white vs grey. I’m finding all the things I needed to see:hear today 🥹[슈취타] EP.5 SUGA with 타블로 via 
13839,I'll tag you everytime I see something like this😭😭🥹😂
13975,Thank you Elena for this awesome thread 🥹🙌🏻
14104,AAA 🥹 NICE TO KNOW UUU MY FELLOW AETHER SIMP !!
14119,Rahane smashing big in 2023. Only chennai super kings can make this happen 😭🥹💥
1420,"Hi yall 🥹, I'm letting go of my tickets to Ed sheeran at the Kings Theatre , Brooklyn , NY , if anyone is interested please lmk 🫶🏻"
14313,"I should be sleeping by now… but, my heart! 🥹😭"
14331,I need and want this 🥹
14408,Good! You? Just sending Mr debs all over town to shop for tomorrows BBQ🔥🌶️🌮🥹
14522,"Jiminah, I love you so much 🥹"
14664,It's been 5 years 🥹 Time flies so fast.
14774,I wish I was in my bed 🥹
14995,You’re right 🥹
15025,My wife’s Ai work this morning is really hitting me hard 🥹😭🫶
15153,"the hairflip gets me, how much i love u kim jisoo 🥹💗🌸🎀"
15315,I can’t wait for my bestfriend to get here in 2 weeks 🥹 i love her!
15420,امنيتي كل يوم 🥹
15453,They'll be each other's biggest fans no matter what 🥹
15504,"How do i explain it? Even from the visuals only, you'd understand that they're made for each other 🥹"
15558,Bland date ... i mean serenity date :))) and u guys f match together 🥹
15583,I miss my man 1 week down another 1 to go😩🥹
15612,I remember being 19 and one of my lifelong homeboys told me I had a chest of a 12 year old boy 🥹 destroyed me lmao
15632,I'm 35 if that works for you 😅🥹
15737,not yet up for claims pero will most likely sell it in a set 🥹
15878,LMR era. Their first comeback after everyone who would leave has finally left. Their best album (for me! exodus repack). Felt like a promise song that we'll be happy from now on. And the vocals + choreo! 🥹💗
15991,balik me laterr time to to do homeworks kaiyak so much 🥹
15998,THEY LOOK SO PRETTY 😭😭
16028,rereading the crazy rich asian book today 🥹
16208,Dr. House and Dr. Wilson's friendship tho 🥹 solid as shit I love them. They're my HOUSE M.D. dads and Dr. Cuddy is my mom.
16344,is everything okay?🥹
1644,If your seeing this it would mean the world to me if you checked out my shop. Even if you can’t buy anything I’d appreciate any support/ interaction more than u know 🥹💗
1645,Our God has robbed the grave. 🥹🙌
