id,span,sentiment,comment
10030 ,8 9 🥹,Negative,
10030 ,9 10 😭,Negative,
10364 ,99 100 🥹,Negative,
10387 ,80 81 🥹,Positive,
10411 ,21 22 🥹,Negative,
10476 ,90 91 🥹,Positive,
10635 ,25 26 🥹,Negative,
1067 ,39 40 🥹,Positive,
10785 ,37 38 🥹,Positive,
10970 ,7 8 🥹,Positive,
11070 ,37 38 🥹,Positive,
11137 ,49 50 🥹,Negative,
11159 ,75 76 🥹,Negative,
11191 ,11 13 😭😭,Negative,
11191 ,13 14 🥹,Negative,
11331 ,29 30 🥹,Positive,
11345 ,87 88 🥹,Positive,
1171 ,28 29 🥹,Positive,
11799 ,39 40 🥹,Positive,
118 ,63 64 🥹,Positive,
11831 ,232 233 🥹,Positive,
11834 ,32 33 😭,Positive,
11834 ,33 34 🥹,Positive,
11855 ,102 103 🥹,Positive,
12034 ,15 16 🥹,Positive,
12061 ,114 115 🥹,Positive,
12061 ,128 129 🥲,Positive,
1212 ,53 54 🥹,Positive,
12172 ,71 72 🥹,Positive,
12172 ,118 120 😭😭,Positive,
1218 ,70 71 🥹,Positive,
1233 ,28 29 🥹,Positive,
12364 ,75 76 🥹,Positive,
12370 ,104 105 🥹,Positive,
12427 ,137 138 🥹,Positive,
12647 ,69 70 🥹,Positive,
12688 ,5 6 🥹,Unconfident,
12698 ,55 56 🥹,,
1270 ,35 36 🥹,Negative,
12749 ,56 57 🥹,Positive,
12795 ,35 36 🥹,Positive,
12910 ,158 159 🥹,Negative,
12910 ,211 213 🥹🥹,Negative,
12965 ,42 43 🥹,Positive,
12968 ,23 24 🥹,Negative,
12968 ,86 87 😭,Negative,
12968 ,88 90 😭😭,Negative,
12974 ,40 41 🥹,Negative,
12991 ,58 59 🥹,Positive,
13213 ,44 45 🥹,Unconfident,
13213 ,61 62 🥹,Unconfident,
134 ,47 48 🥹,Positive,
1342 ,14 15 🥹,Positive,
13452 ,86 87 🥹,Negative,
13454 ,60 61 🥹,Negative,
13528 ,12 13 🥹,Positive,
13528 ,53 56 🥹🥹🥹,Negative,
13651 ,28 29 🥹,Positive,
13668 ,22 23 🥹,Positive,
13679 ,133 134 🥹,Positive,
13839 ,48 50 😭😭,Positive,
13839 ,50 51 🥹,Positive,
13975 ,40 41 🥹,Positive,
14104 ,4 5 🥹,Positive,
14119 ,75 76 😭,Positive,
14119 ,76 77 🥹,Positive,
1420 ,8 9 🥹,Positive,
14313 ,44 45 🥹,Negative,
14313 ,45 46 😭,Negative,
14331 ,21 22 🥹,Positive,
14408 ,75 76 🥹,Positive,
14522 ,28 29 🥹,Positive,
14664 ,18 19 🥹,Positive,
14774 ,23 24 🥹,Negative,
14995 ,13 14 🥹,Positive,
15025 ,57 58 🥹,Negative,
15025 ,58 59 😭,Negative,
15153 ,50 51 🥹,Positive,
15315 ,54 55 🥹,Positive,
15420 ,14 15 🥹,Unconfident,
15453 ,52 53 🥹,Positive,
15504 ,99 100 🥹,Positive,
15558 ,69 70 🥹,Positive,
15583 ,42 43 🥹,Negative,
15612 ,95 96 🥹,Negative,
15632 ,30 31 🥹,Positive,
15737 ,61 62 🥹,Negative,
15878 ,204 205 🥹,Positive,
15991 ,55 56 🥹,Unconfident,
15998 ,20 22 😭😭,Positive,
16028 ,42 43 🥹,Positive,
16208 ,42 43 🥹,Positive,
16344 ,19 20 🥹,Negative,
1644 ,166 167 🥹,Positive,
1645 ,30 31 🥹,Negative,
1650 ,28 29 🥹,Positive,
16510 ,58 59 🥹,Positive,
16536 ,118 119 🥹,Negative,
16943 ,30 31 🥹,Positive,
17034 ,136 137 😭,Positive,
17034 ,137 138 🥹,Positive,
17138 ,33 34 🥹,Positive,
17165 ,17 18 🥹,Positive,
17165 ,43 44 🥹,Positive,
17191 ,74 75 🥹,Negative,
17386 ,23 24 🥹,Positive,
17391 ,0 1 🥹,Positive,
17391 ,38 39 😭,Positive,
17399 ,30 31 🥹,Unconfident,
17634 ,22 23 🥹,Positive,
17664 ,10 11 🥹,Positive,
17668 ,84 85 🥹,Positive,
17670 ,41 42 🥹,Positive,
17680 ,72 73 🥹,Positive,
17992 ,0 1 🥹,Positive,
18114 ,90 91 🥹,Positive,
18126 ,58 59 🥹,Positive,
18281 ,22 23 🥹,Positive,
1831 ,43 44 🥹,Positive,
18481 ,117 118 🥹,Positive,
18560 ,8 9 🥹,Negative,
18583 ,31 32 🥹,Negative,
18878 ,141 142 🥹,Negative,
18889 ,55 56 🥹,Positive,
18943 ,32 33 🥹,Positive,
19144 ,61 62 🥹,Negative,
19183 ,73 74 🥹,Positive,
19183 ,74 75 😭,Positive,
19323 ,51 52 🥹,Positive,
19348 ,150 151 🥹,Negative,
19437 ,52 53 🥹,Negative,
19563 ,39 40 🥹,Positive,
1959 ,78 79 🥹,Negative,
2039 ,20 21 🥹,Positive,
2108 ,37 38 🥹,Positive,
2114 ,50 53 😭😭😭,Positive,
2114 ,53 54 🥹,Positive,
