id,text
10087,"If this woman is single and ready to mingle I dated her twin flame and I divorced him. 
😭😭."
10189,"// toh spoilers #TOHSPOILERS 

LOOK AT THEM 😭 HUNTLOW NATION HOW ARE WE FEELING?"
10202,I block em once I start looking for their text😭
10205,You almost there 💀😭😭😭
10371,"my tl making me sick rn, basically saying taylor’s done easter eggs for her alleged breakup 😭 y’all she is still a real human being, please be respectful. if the rumors are true i sincerely hope she is okay! and if they aren’t true, i still hope she is okay"
10495,"yup 😭also about 6th time watching the part in ""Surrender"" for mainly the music starting at *Meow* #StarTrekPicard"
10532,I started listening to him when I was sick and thought I was dying LMAO. I feel like his mixtapes help me get over whatever I had 😩😭
10675,Every time my Grandpa brings up future funeral arrangements I be on the verge of tears. He’s 85 so these conversations need to be bad but I don’t like thinking about it 😭
10679,Glad to know I'm not the only weird one 😭
10920,Oops😭
1097,i dumped it down the drown 😭
11195,That’s crazy cuz every since I start telling the truth ion got no friends 😭😭😭😭
11374,I guess don’t be polite whenever you go there 😭
11441,"WHATS WRONG WITH IT ITS ZERO CALS, TASTY AND KINDA FILLING 😭"
11502,I was ready to flip tables every night Bey sang resentment on the first on the run tour so I def get it 😭
11581,this photo is hilarious 😭😭
11736,I just woke up and this is just unbearable 😭☠️😭
11817,And do cause I’m finna quit as a lash tech 😭😭😭
11850,"If the Mets lose any of the games, I want to see replies of just that 😭"
11851,Baby need to hurry up & come back home😭🥹
11956,"QUOIENT ???! 🥹🥹🥹

Go unfollow ma famille 😂😂😂😭😭😭😭"
11985,Mads nation it’s been a while and I’m back to sadly say how devastated I am to hear about TAY tay and Joe Joe. 😭😭😭
12198,I feel like more ppl would for the abusers if so many ppl didn’t go back to them 😭
12522,Ian even graduate 8th grade😭😭🤣we was inna pandemic
12725,YES KOYA HATES FIREWORKS HE STARTS SHAKING SO BAD HIS TEETH CHATTER 😭 THAT BITCH HOPES NOT TO SEE ME IN THE STREETS!
12755,Because I really need to start posting all my threads on there as well as promoting them 😭
12929,Omg idk who this is but ilysm😭💗
13078,Yk it’s a vibe when you forget about your phone 😭😩
1312,What's the title thooo 😭
13286,Tre songs gone wax one yall bitchs 2nite 😭😭😭😭🤣🤣🤣😭
13383,Thank you!! It’s all because of you and your community I even found out there was a livestream!! 😭🙏
13418,Bye the owl house finale was streaming and I didn't even know until I saw ppl crying about it ending 😭😭
13478,i could see him doing this 😭
13873,Nah do Code Veronica and lowkey they needa go back and give 3 the respect it shoulda got 💀 no reason it randomly got fucked over😭
14004,That is not the she he is asking for😭😭 oh the trauma this show gave me😭😭
14137,I hope that they get help tho. Like. I don't want anyone to attack them 😭 because I just think it's so funny. The message was so random and the PFP makes it funnier
14394,i cannot wait to get these teeth pulled monday my mouth hurt so bad 😭
1440,girl fvck Kesha & you 😭. I’ll be streaming regardless. Music is music
14402,it’s so fucking cold in here 😭
14603,She actually told both of us off😭
14608,Everybody packed they shit and went to Mexico 😭👏🏿
14713,i’m doing both friend lol😭
14780,I’m the cold friend bitch and they have me outside at bombs 😭🫠😂💀
14811,IT DOES RIGHT!! i’ve never wanted to steal something so bad 😭 GIRL I WAS FUCKING SAD
15015,What’s in the front!?☠️😭😂😂
15231,"IM JUST HHH IM ILL, IM CRYING AND THROWING UP I WILL MISS YOU GUYS SO FKING MUCH TY FOR BEING A THING 😭😭😭
#TOHSPOILERS #lumity"
15357,Niggas be worried bout the wrong things fr 😭
15453,This dawg running wild like he ain't a minister fgs 😭🤣.
15554,"I have 2 NCT Dream ATL tickets for sale on stubhub, I can’t go and really want to get some money back😭 they’re currently for $125 each but I’m willing to negotiate!! Sec 116, row H, seats 10 & 11💚#NCTDREAM #NCTDREAM_THEDREAMSHOW2_in_US #NCTDREAM_THEDREAMSHOW2 WTS WTB Atlanta"
15709,Watching Matilda with Julie.. had 2 pause & ubereats us some triple chocolate meltdowns from Applebees so we can eat it while Ms Trunchbull forced Bruce to eat that chocolate cake 😭
15728,lmaoooo this off the subject but them vibrators had a hold on me 😭😂😂
15740,"toh spoilers//
HUNTER GOT A MORDECAI AS PALISMAN 😭😭😭😭

#TheOwlHouse #TheOwlHouseS3"
15823,OFNSENTN yeah i litterally jsut straight up dont use it anymore 😭😭
15888,"I know people who love that stuff, I thought it was good 😭"
1593,"I refused to believe this until Tay said so, but still I don't want them to break up😭😭😭"
15997,😭and you right about that. No way
