id,span,sentiment,comment
10087 ,89 91 😭😭,Negative,
10189 ,46 47 😭,Negative,
10202 ,46 47 😭,Positive,
10205 ,18 21 😭😭😭,Positive,
10371 ,92 93 😭,Negative,
10495 ,4 5 😭,Positive,
10532 ,131 132 😭,Negative,
10675 ,169 170 😭,Negative,
10679 ,40 41 😭,Positive,
10920 ,4 5 😭,Negative,
1097 ,27 28 😭,Negative,
11195 ,74 78 😭😭😭😭,Negative,
11374 ,46 47 😭,Negative,
11441 ,59 60 😭,Positive,
11502 ,104 105 😭,Negative,
11581 ,24 26 😭😭,Positive,
11736 ,43 44 😭,Negative,
11736 ,46 47 😭,Negative,
11817 ,43 46 😭😭😭,Negative,
11850 ,70 71 😭,Negative,
11851 ,38 39 😭,Negative,
11851 ,39 40 🥹,Negative,
11956 ,13 16 🥹🥹🥹,Negative,
11956 ,46 50 😭😭😭😭,Positive,
11985 ,111 114 😭😭😭,Negative,
12198 ,81 82 😭,Negative,
12522 ,27 29 😭😭,Positive,
12725 ,68 69 😭,Positive,
12755 ,89 90 😭,Negative,
12929 ,29 30 😭,Positive,
13078 ,48 49 😭,Negative,
1312 ,23 24 😭,Negative,
13286 ,41 45 😭😭😭😭,Positive,
13286 ,48 49 😭,Positive,
13383 ,97 98 😭,Positive,
13418 ,101 103 😭😭,Negative,
13478 ,27 28 😭,Negative,
13873 ,128 129 😭,Negative,
14004 ,36 38 😭😭,Negative,
14004 ,70 72 😭😭,Negative,
14137 ,72 73 😭,Positive,
14394 ,68 69 😭,Negative,
1440 ,22 23 😭,Negative,
14402 ,29 30 😭,Negative,
14603 ,32 33 😭,Negative,
14608 ,46 47 😭,Positive,
14713 ,25 26 😭,Positive,
14780 ,60 61 😭,Negative,
14811 ,60 61 😭,Negative,
15015 ,23 24 😭,Positive,
15231 ,102 105 😭😭😭,Positive,
15357 ,43 44 😭,Positive,
15453 ,52 53 😭,Negative,
15554 ,101 102 😭,Negative,
15709 ,180 181 😭,Positive,
15728 ,65 66 😭,Positive,
15740 ,50 54 😭😭😭😭,Negative,
15823 ,64 66 😭😭,Positive,
15888 ,57 58 😭,Positive,
1593 ,84 87 😭😭😭,Negative,
15997 ,0 1 😭,Positive,
16044 ,33 34 😭,Negative,
1606 ,65 66 😭,Negative,
16103 ,72 73 😭,Negative,
16103 ,73 74 🥹,Positive,
16142 ,180 181 😭,Positive,
1615 ,0 58 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,Unconfident,
1615 ,59 117 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,Unconfident,
16170 ,87 88 😭,Negative,
16310 ,132 133 😭,Negative,
