id,text
10086,that filtering rate 🥲
10212,UR ARTSTYLE IS SO COOL!!! i luv these a bunch 🥲💗
10356,"Slowly but surely overcoming my PTSD from when my plane went down. 

I’m proud of myself 🥲"
10455,"Yeah ,when I saw the video ,the Song came up at my mind 🥲 it hits more"
10479,"Thank you 🥲 he’s so lovely too,  god works in mysterious ways man"
10490,"Better die a hero, than become a villain. 🥲"
10523,"As a med student mai to bas apko yhi khunga mat lijiye ye 🥲, it's not good for health"
10596,the giggle at the end 🥲
10737,My sister asking me if I want her to make me a low carb dessert for Easter (Bc type 1 diabetes) and me asking her if I need to make her gluten free Mac and cheese (bc gluten allergy) 🥲❤️
10738,Meanwhile all khatna group of country 🥲
10741,Miorine is my little meow meow I need more of her to detox DURING raid 🥲
1093,yeosang and his fluffy hat 🥲
10933,Y’all just want me to be the villain it’s ok I’ll be that 🥲
11010,"Don’t cry because it’s over, smile because it happened 🥲"
11178,😳🤔🥲❌♥️❌♥️❌♥️❌♥️❌♥️❌♥️❌❌
11323,Can I eat it?🥲🤗
11435,"Fold, btw, not the Void 🥲 too hasty with typing. #ShadowAndBone"
11628,If only I didn’t mess up my knees 🥲
1167,I think I paid $560~ for that seat. 100 lvl is a great section. I did that for ATL D1/2. I’d love to get 1st row in the middle but that’s just me being greedy 😅 Flights are SO expensive. I can’t begin to admit how much I spent on these concerts. Def once in a lifetime thing 🥲
11746,Maybe he’ll do a Plo Koon story 🥲
11785,"I’ve seen a lot of people talk about wearing Fairy Wings to the portals tour, which would be super cute but I feel like if people wear fairy wings it’s going to hit people in the pit and affect others views. The pit is already packed enough let alone people wearing fairy wings 🥲"
1213,"For me, it’s the fear of getting lost and crashing at high speed 🥲"
12438,"boyfriend Jaehyun broken hearted scene 😭💔
man I feel like I'm seeing Cha Minho part 2 again 🥲

THE MELODY OF SCENTS 
: Triangular Theory of Love
#PASSION #JAEHYUN"
1254,"3 cats ❤️ 1 female, 2 males. I’d share pictures but they’re all on Google photos and I can’t access them from here 🥲 but trust me, they’re cute"
12680,This and Always 🔥👍🥲
12709,Sorry for you 🥲
12773,Lmao my girls are very loving and wanted to walk with me. 😅🥲
12811,Nah bruh I have made 10 dollars in my entire life. Its the traits of being asian 🥲👍
12860,Staying positive and happy takes work 🙃🥲
1291,that being said bitch i bought the cutest pink fabric and now i’m adding a new piece to my bday drop 🥲
13024,"I-
But i am scared what if ma'am sends me home 🥲"
13053,That's an wow! But I already implemented a complex file upload system with S3 signed URLs 🥲
13109,I'll see you next time 🥲
13267,Oh sh!t good I deleted half of my circles tweets 🥲
13335,"Finally
Should have finished before 16th 🥲"
13382,Man's turning 23 soon and ive just paid for a child ticket for the tram 🥲
13398,"Absolutely love yours! 😭🫶🏼💞 I used the default cause, I couldn’t get the other one to work- 

BUT also I’m like an in between of both types anyway so womp 🥲

Did myself with a dash of Duchess since, she’s my Hellsona! 🖤✨"
13415,makes one hungry looking at all these 🥲
13575,"I hope he keeps his form and convince them to extend 🥲. I love him somuch ffs, I know we all do."
13786,PLEASEE 🥲 NEED SO MUCH
13874,hearing my parents and brother using the right pronouns and name already with me and rarely slipping is so weird in a good way 🥲
1405,tsym 😭💗💗 im trying to not be too guilty about it and just enjoy my day with my family without tracking 🥲🤞
1410,Day 5 of asking user for HELP NOW 🥲
14150,Suggestions for ppl who work full time and can't play Realm? 🥲
14170,"By far, Easter is my favorite holiday. The meaning behind it makes me so grateful and blessed. 🥲💕🐣🐰💐"
14308,the things I do for enha 🥲
14342,"OK, so here's the idea I was thinking about some time ago and someone brought up recently:
Drum stream, but it's vtuber model with full body tracking and dynamic drums.

Would that even be possible? 🥲"
14410,"Thank you so much <3 The people on tiktok are so vicious, even more so than what I've ever seen on any other platform, their rude comments do hurt me but I try my best to ignore them 🥲"
14490,Imagine being casted by sm during concert 🥲 she's really act like a director indeed
14504,This is so real. I get so homesick but literally on the drive home from the airport I already want to go back 🥲 stay strong girl 😭🫶
14506,They just play dynamite and butter. Nothing more 🥲
14507,#ooc it’s so gorgeous outside I don’t wanna work 🥲
14698,This laughter.. you won’t come 😭
14704,My fav makeup routine isn’t hitting like it used to 🥲
14734,"Euro is sniffing out mid 30s wind gusts for me, on my birthday too 🥲 I’m looking forward to some decent weather to track"
15026,I’m Still Currently Stuck Over Seeing Onlyoneof . . . Meanwhile KCarats Seeing Hoshi & Coups With Kkuma During Seventeen Street 🥲
1517,they need to make Europe the first part of the next tour 🥲
1521,Makes the pain worth it 🥲
15253,"I’m short, small, and wear glasses. The amount of roast sessions I went though I can’t even remember the ones that sting it’s so many 🥲"
15348,"Jill said that pic of Thrawn looks like the jackass that runs this hell-site. 

I can’t unsee it. 🥲"
15404,This celebration cost me 2 points 🥲
15580,Wow I actually slept in today 🥲👏🏼
15737,NOO 🥲
16327,Until when 🥲🙃
16409,You haven't seen coz 1 saal k baad most of them have shut their shops😂🥲
16411,saint really set my standards so high 🥲
16552,"For anyone fucking around on #Arbitrum right now, do yourself a favour and get yourself a bag of $APAY. These mfers PAY YOU (reflections) for holding a bag + the jackpot feature is an added bonus (chance to win the jackpot with every 0.1 ETH purchase, last winner won 2 Eth 🥲)"
16616,NO WAY THATS SO WEIRD like only 6 have done it though WTHDJSIWK 🥲
16757,"true i'm always joking around with my mother but when i remember that she's with my dad I'm always like ""🤔😶😶😶🥲😆😃"""
16767,Btw don't get super cofident now MI even made RCB look like a good time!🥲
1677,The youth don't want to be saved 🥲💔
16939,"So many updates, spoilers and rumours AND STILL NOTHING FOR DOLLYS 🥲."
17050,We should protect them 🥲 So sweet! 💚
17102,"So it'll officially cost me more to file than I'm getting back in taxes and I'm kinda heartbroken over it 😅🥲😭

I'm just happy they're done at least? Ugh...  Kinda want to go back to bed LOL"
17358,"I need to start interacting with my mutuals more, i need more friends 🥲"
17455,"I really want to follow you, but I'm locked up now.🥲"
17722,"My favs kdramas 
-Doom at your service (the amount of time I have seen this dramas is actually sad 🥲)
-Hotel del Luna 
-My Name"
17747,"This is the first time ever I’m eating sausage in a shawarma and it’s irritating me,who made this nonsense shawarma 🥲"
17845,"hahaha, I'm playing the dodging game—if I don't see the song title clearly stated in the twt post, I don't watch the video
this *does* mean that it's quite possible I'm missing out on some of his sc songs where I don't recognize the Korean title, tho 🥲"
18048,Finally something goes right for me 🥲
18096,"Current relationship status:
Made dinner for two🥰
Ate both.😋🥲"
