id,span,sentiment,comment
10086 ,20 21 🥲,Negative,
10212 ,46 47 🥲,Positive,
10356 ,91 92 🥲,Positive,
10455 ,56 57 🥲,Positive,
10479 ,10 11 🥲,Positive,
10490 ,42 43 🥲,Negative,
10523 ,58 59 🥲,Unconfident,
10596 ,22 23 🥲,Positive,
10737 ,183 184 🥲,Negative,
10738 ,38 39 🥲,Negative,
10741 ,71 72 🥲,Negative,
1093 ,27 28 🥲,Negative,
10933 ,58 59 🥲,Negative,
11010 ,55 56 🥲,Positive,
11178 ,2 3 🥲,Positive,
11323 ,13 14 🥲,Positive,
11628 ,34 35 🥲,Negative,
1167 ,275 276 🥲,Negative,
11746 ,32 33 🥲,Positive,
11785 ,278 279 🥲,Negative,
1213 ,65 66 🥲,Negative,
12438 ,39 40 😭,Negative,
12438 ,93 94 🥲,Negative,
1254 ,115 116 🥲,Negative,
12680 ,18 19 🥲,Positive,
12709 ,14 15 🥲,Negative,
12773 ,59 60 🥲,Positive,
12811 ,81 82 🥲,Negative,
12860 ,39 40 🥲,Positive,
1291 ,101 102 🥲,Positive,
13024 ,48 49 🥲,Negative,
13053 ,90 91 🥲,Negative,
13109 ,23 24 🥲,Negative,
13267 ,49 50 🥲,Negative,
13335 ,42 43 🥲,Negative,
13382 ,72 73 🥲,Negative,
13398 ,23 24 😭,Positive,
13398 ,157 158 🥲,Negative,
13415 ,38 39 🥲,Positive,
13575 ,53 54 🥲,Negative,
13786 ,8 9 🥲,Positive,
13874 ,127 128 🥲,Positive,
1405 ,5 6 😭,Positive,
1405 ,103 104 🥲,Positive,
1410 ,34 35 🥲,Negative,
14150 ,61 62 🥲,Negative,
14170 ,95 96 🥲,Positive,
14308 ,25 26 🥲,Positive,
14342 ,202 203 🥲,Negative,
14410 ,183 184 🥲,Negative,
14490 ,42 43 🥲,Negative,
14504 ,110 111 🥲,Negative,
14504 ,129 130 😭,Negative,
14506 ,49 50 🥲,Positive,
14507 ,49 50 🥲,Negative,
14698 ,31 32 😭,Negative,
14704 ,52 53 🥲,Negative,
14734 ,67 68 🥲,Negative,
15026 ,128 129 🥲,Negative,
1517 ,57 58 🥲,Negative,
1521 ,24 25 🥲,Positive,
15253 ,134 135 🥲,Negative,
15348 ,100 101 🥲,Negative,
15404 ,34 35 🥲,Negative,
15580 ,30 31 🥲,Positive,
15737 ,4 5 🥲,Negative,
16327 ,11 12 🥲,Positive,
16409 ,70 71 🥲,Negative,
16411 ,38 39 🥲,Negative,
16552 ,274 275 🥲,Positive,
16616 ,64 65 🥲,Negative,
16757 ,109 110 🥲,Positive,
16767 ,72 73 🥲,Positive,
1677 ,33 34 🥲,Negative,
16939 ,67 68 🥲,Negative,
17050 ,23 24 🥲,Positive,
17102 ,107 108 🥲,Negative,
17102 ,108 109 😭,Negative,
17358 ,70 71 🥲,Negative,
17455 ,51 52 🥲,Negative,
17722 ,100 101 🥲,Positive,
17747 ,116 117 🥲,Negative,
17845 ,252 253 🥲,Negative,
18048 ,36 37 🥲,Positive,
18096 ,62 63 🥲,Positive,
18365 ,150 151 🥲,Negative,
