id,text
10003,Where You Are by gives me the same feeling Disarm You by does 🥹
10092,"Your genes snapped! 😍😍😍😍

Such a cute baby. 🥹"
10209,"I’m curious. 🥹

What’s the Jackson song that makes you feel understood? Or a song you’re particularly attached to. Mine is Alone ❤️‍🩹"
10284,credits to all original uploaders. thank you for giving us a blessing 🥹
10291,Friends that check on you. 💜✨🥹
10448,aww bex 🥹 missed you too babe ❤️
10594,I knw nd Devil is the best 🤡🖤😂😭
10601,Ey maybe I am blinded because her boyfriend is my relative who is also so sweet and would never hurt a fly 🥹
10724,In my opinion due to ipl or what i don't know u are getting more hate than all Indian players csk fans and RCB fans always abuses u .trolling is kk upto some level but abusing is not correct way for any player 🥹💔
10784,"awww wait that’s so cute 🥹 its definitely primarily german lol never seen it here ! super cute :,)"
10821,i saw thank you so much bestie !! 🥹💓✨
10864,so happy that i got to experience this on my first opening day 🥹
10887,"I’m so happy that Nic is accomplishing her dreams 🥹💖
#NicolaCoughlan"
10903,awawaawawawawa …. Look at them so warm and tender and in their own space ….. 🥹
10955,"the news i just received yesterday, my heart is sooo warm 🥹"
1099,i can’t wait till this over 🥹
11034,I’ve procrastinated a little too much now it’s to late for me to order anything for my black beach trip next weekend 😭🥹
11043,I tried all of them. It’s my 3rd favorite. The lemon one was 2nd 🥹
11057,"wtt | lft | ph

have: upper box ub 402 row f (day 1)
want: gen ad pref. sections between 505-518 only any row (any day)

*507/506/516/517 may be considered as last resort

rft: meds 🥹

t. nct dream manila show 2 tds2 upper box vip gen ad standing seated

#THEDREAMSHOW2_in_MANILA"
11123,The Rest Was History 🥹❤️‍🔥🔥
1116,Ight my standards are up mikey said “ if ima be with her it’s cause ima marry her” 🥹
11177,the scream for cravity 🥹
11196,OMG THOSE LITTLE MEOW'S 🥹💜💜
11313,why seulgi is making me emotional at this hour 🥹
11385,exactly it doesn’t even make sense they’re also in different timelines 🥹
11635,She still think about the people who'll watch eventhough she feels sick 🥹 our bae deserves the world
11772,Kamiss 🥹
11853,I breached the rules 🥹
11933,"😫😭😭😭😭😭 

Charles Oakley remains consistent every time! Straight shooter. 🥹🤣"
11955,pretty and handsome at the same time? only sunko can do that 🥹
12071,"THANKYOU FOR THE SUPPORT 🥹

46 BLOODBAGS ;=;"
12077,I am craving some Hello Betty we might have to go cuz I need some wings 😮‍💨🥹
12219,DnD Movie war aaaaabsolut wholesome! 🥹❤️
1225,it really is 🥹 i love the characters a lot
12313,Last picture in your gallery no matter how weird it is 🥹😭
12380,we’re did you get the sims 2 crib n changing table 🥹😭
12404,I love when my kitty snuggles up on my lap n buries her little face in my arms 🥹
12476,this is so cute 🥹
12494,"This is so cute, it's like an older sibling or parent taking care of the kid 🥹"
