id,span,sentiment,comment
10003 ,62 63 🥹,Positive,
10092 ,46 47 🥹,Positive,
10209 ,13 14 🥹,Positive,
10284 ,70 71 🥹,Positive,
10291 ,29 30 🥹,Positive,
10448 ,8 9 🥹,Positive,
10594 ,30 31 😭,Positive,
10601 ,107 108 🥹,Positive,
10724 ,210 211 🥹,Negative,
10784 ,25 26 🥹,Positive,
10821 ,34 35 🥹,Positive,
10864 ,63 64 🥹,Positive,
10887 ,50 51 🥹,Positive,
10903 ,77 78 🥹,Positive,
10955 ,58 59 🥹,Positive,
1099 ,28 29 🥹,Negative,
11034 ,117 118 😭,Negative,
11034 ,118 119 🥹,Negative,
11043 ,65 66 🥹,Positive,
11057 ,189 190 🥹,Unconfident,
11123 ,21 22 🥹,Positive,
1116 ,83 84 🥹,Positive,
11177 ,23 24 🥹,Positive,
11196 ,24 25 🥹,Positive,
11313 ,47 48 🥹,Positive,
11385 ,71 72 🥹,Negative,
11635 ,72 73 🥹,Positive,
11772 ,7 8 🥹,Positive,
11853 ,21 22 🥹,Negative,
11933 ,1 6 😭😭😭😭😭,Negative,
11933 ,75 76 🥹,Positive,
11955 ,61 62 🥹,Positive,
12071 ,25 26 🥹,Positive,
12077 ,75 76 🥹,Positive,
12219 ,37 38 🥹,Positive,
1225 ,13 14 🥹,Positive,
12313 ,55 56 🥹,Negative,
12313 ,56 57 😭,Negative,
12380 ,51 52 🥹,Negative,
12380 ,52 53 😭,Negative,
12404 ,79 80 🥹,Positive,
12476 ,16 17 🥹,Positive,
12494 ,77 78 🥹,Positive,
12671 ,179 180 🥹,Positive,
12755 ,10 11 🥹,Positive,
12923 ,61 62 🥹,Negative,
12923 ,62 63 😭,Negative,
13022 ,37 38 🥹,Positive,
13102 ,32 33 🥹,Negative,
13271 ,39 40 🥹,Positive,
13311 ,41 42 🥹,Positive,
13343 ,12 13 🥹,Positive,
13578 ,51 52 🥹,Positive,
13583 ,125 126 🥹,Negative,
13583 ,191 192 😭,Negative,
13630 ,41 42 🥹,Positive,
13747 ,26 27 🥹,Negative,
13753 ,37 38 🥹,Positive,
13837 ,43 44 🥹,Negative,
13911 ,23 24 🥹,Positive,
14153 ,20 21 🥹,Negative,
14182 ,99 100 🥹,Positive,
14223 ,117 118 🥹,Positive,
14294 ,19 20 🥹,Negative,
14373 ,74 75 🥹,Positive,
14387 ,44 45 🥹,Positive,
14462 ,6 7 🥹,Positive,
14596 ,5 6 🥹,Positive,
14602 ,34 35 🥹,Positive,
14737 ,28 29 🥹,Positive,
14829 ,0 1 🥹,Positive,
15244 ,66 67 🥹,Positive,
15364 ,54 55 🥹,Negative,
