id,span,sentiment,comment
10037 ,24 25 😭,Negative,
10208 ,230 235 😭😭😭😭😭,Negative,
10217 ,48 49 😭,Negative,
10449 ,91 92 😭,Negative,
10491 ,32 33 😭,Negative,
10515 ,260 261 😭,Negative,
10517 ,53 55 😭😭,Negative,
10563 ,41 47 😭😭😭😭😭😭,Negative,
10579 ,29 30 😭,Negative,
10701 ,59 62 😭😭😭,Negative,
10762 ,18 21 😭😭😭,Negative,
10838 ,22 23 😭,Positive,
10838 ,48 49 😭,Positive,
10859 ,152 153 😭,Negative,
10946 ,53 55 😭😭,Positive,
10975 ,45 46 😭,Positive,
10998 ,59 60 😭,Positive,
11015 ,38 39 😭,Negative,
11219 ,43 46 😭😭😭,Negative,
11236 ,50 51 😭,Negative,
11384 ,68 69 😭,Positive,
11400 ,48 50 😭😭,Negative,
11420 ,63 67 😭😭😭😭,Positive,
11450 ,191 195 😭😭😭😭,Negative,
11469 ,178 179 😭,Positive,
11552 ,4 5 😭,Positive,
11552 ,179 182 😭😭😭,Positive,
11610 ,48 49 😭,Negative,
11780 ,28 29 😭,Negative,
11841 ,86 87 😭,Negative,
12143 ,67 71 😭😭😭😭,Negative,
12154 ,38 39 😭,Positive,
12179 ,19 20 😭,Negative,
12202 ,108 110 😭😭,Positive,
12256 ,34 36 😭😭,Negative,
1236 ,31 32 😭,Negative,
12466 ,54 55 😭,Negative,
12526 ,25 26 😭,Negative,
12607 ,37 39 😭😭,Positive,
12690 ,20 21 😭,Positive,
12761 ,31 35 😭😭😭😭,Positive,
1290 ,124 125 😭,Negative,
13028 ,101 102 😭,Positive,
13102 ,64 65 😭,Negative,
13129 ,28 31 😭😭😭,Positive,
13152 ,0 3 😭😭😭,Negative,
132 ,129 130 😭,Negative,
13282 ,30 32 😭😭,Negative,
13392 ,62 64 😭😭,Negative,
134 ,47 48 😭,Positive,
13665 ,58 59 😭,Positive,
13737 ,33 34 😭,Negative,
13768 ,68 69 😭,Positive,
13854 ,102 103 😭,Negative,
13870 ,73 74 😭,Negative,
13870 ,218 219 😭,Positive,
13874 ,49 53 😭😭😭😭,Negative,
13926 ,64 65 😭,Positive,
13970 ,51 54 😭😭😭,Negative,
1437 ,60 61 😭,Positive,
14411 ,63 64 😭,Positive,
1481 ,41 42 😭,Positive,
149 ,106 107 😭,Positive,
15030 ,192 193 😭,Positive,
15235 ,20 21 😭,Positive,
15259 ,61 62 😭,Negative,
15356 ,112 114 😭😭,Positive,
15356 ,198 200 😭😭,Positive,
15369 ,72 73 😭,Negative,
1543 ,53 56 😭😭😭,Positive,
15507 ,34 35 😭,Negative,
15566 ,58 59 😭,Positive,
15608 ,110 113 😭😭😭,Negative,
15699 ,102 103 😭,Negative,
15763 ,48 49 😭,Negative,
1582 ,70 75 😭😭😭😭😭,Positive,
15853 ,57 58 😭,Negative,
15884 ,22 24 😭😭,Negative,
15889 ,29 30 😭,Positive,
15922 ,23 25 😭😭,Negative,
15936 ,22 23 😭,Negative,
16019 ,50 51 😭,Negative,
16072 ,70 71 🥹,Negative,
16072 ,168 169 😭,Negative,
16098 ,89 90 😭,Negative,
16129 ,43 49 😭😭😭😭😭😭,Negative,
16208 ,22 23 😭,Negative,
1623 ,41 42 😭,Negative,
16454 ,7 8 😭,Negative,
16459 ,43 45 😭😭,Positive,
16549 ,18 21 😭😭😭,Negative,
16602 ,29 31 😭😭,Positive,
16641 ,44 45 😭,Positive,
16673 ,41 44 😭😭😭,Negative,
16733 ,10 11 😭,Negative,
17034 ,55 56 😭,Negative,
17035 ,147 148 😭,Positive,
17173 ,32 33 😭,Negative,
17182 ,57 59 😭😭,Positive,
17245 ,7 10 😭😭😭,Negative,
17323 ,31 32 😭,Negative,
17429 ,38 39 😭,Negative,
17452 ,45 47 😭😭,Negative,
17571 ,60 61 😭,Negative,
17650 ,36 40 😭😭😭😭,Negative,
17758 ,98 99 😭,Positive,
17966 ,63 65 😭😭,Negative,
18057 ,0 1 😭,Positive,
18090 ,0 4 😭😭😭😭,Negative,
18155 ,124 125 😭,Positive,
182 ,47 48 😭,Negative,
18300 ,63 64 😭,Negative,
18544 ,87 88 😭,Unconfident,
18554 ,34 35 😭,Negative,
18560 ,92 94 😭😭,Positive,
18983 ,76 78 😭😭,Positive,
1901 ,110 111 😭,Negative,
19061 ,55 58 😭😭😭,Negative,
19132 ,123 126 😭😭😭,Positive,
19170 ,67 68 😭,Positive,
19225 ,10 11 😭,Negative,
19297 ,79 80 😭,Negative,
19313 ,104 105 😭,Negative,
19325 ,15 18 😭😭😭,Positive,
19471 ,17 20 😭😭😭,Negative,
19475 ,46 50 😭😭😭😭,Positive,
19498 ,8 10 😭😭,Negative,
1959 ,43 45 😭😭,Negative,
