id,span,sentiment,comment
10043 ,26 27 🥲,Negative,
10119 ,97 98 🥲,Negative,
10142 ,49 50 🥲,Negative,
10181 ,230 231 🥲,Negative,
10329 ,36 37 🥲,Positive,
10522 ,80 81 🥲,Negative,
10522 ,116 117 😭,Negative,
10528 ,29 30 🥲,Positive,
10605 ,134 135 🥲,Negative,
10677 ,55 56 😭,Negative,
10677 ,56 57 🥲,Negative,
10699 ,6 7 🥲,Negative,
10821 ,68 69 😭,Positive,
11153 ,25 26 🥲,Positive,
11357 ,47 48 🥲,Positive,
11359 ,122 123 🥲,Negative,
11905 ,61 62 😭,Negative,
11905 ,62 63 🥲,Negative,
11905 ,63 64 😭,Negative,
11942 ,27 28 🥲,Negative,
11978 ,50 51 🥲,Negative,
12057 ,24 25 🥲,Negative,
12086 ,34 35 🥲,Negative,
12356 ,27 31 😭😭😭😭,Negative,
12364 ,29 30 🥲,Positive,
12399 ,26 27 🥲,Negative,
1246 ,235 236 🥲,Negative,
1247 ,199 200 🥲,Positive,
12490 ,8 9 🥲,Positive,
12626 ,89 90 🥲,Negative,
12723 ,34 35 🥲,Negative,
12747 ,47 48 🥲,Negative,
12750 ,20 21 🥲,Positive,
12866 ,29 30 🥲,Positive,
12950 ,169 170 🥲,Negative,
13130 ,16 17 🥲,Negative,
13236 ,25 26 🥲,Negative,
1337 ,18 19 🥲,Negative,
13453 ,72 73 🥲,Negative,
13494 ,39 40 🥲,Negative,
13556 ,53 54 🥲,Negative,
13644 ,106 107 🥲,Negative,
13652 ,75 76 🥲,Negative,
13656 ,95 96 🥲,Negative,
13702 ,137 138 🥲,Positive,
13772 ,137 138 🥲,Positive,
14129 ,168 169 🥲,Positive,
14333 ,60 61 🥲,Negative,
14416 ,63 64 🥲,Negative,
1444 ,65 66 🥲,Negative,
14474 ,13 14 🥲,Positive,
14476 ,32 33 🥲,Negative,
14611 ,278 279 🥲,Positive,
14623 ,18 19 🥲,Positive,
14797 ,73 74 🥲,Positive,
14813 ,155 156 🥲,Positive,
14872 ,46 47 🥲,Positive,
14920 ,41 42 🥲,Negative,
14988 ,76 78 😭😭,Positive,
14988 ,140 141 🥲,Negative,
15281 ,27 28 🥲,Negative,
15420 ,38 39 🥲,Negative,
15621 ,36 37 🥲,Positive,
15907 ,59 60 🥲,Positive,
15914 ,32 33 🥲,Negative,
15941 ,33 34 🥲,Negative,
15943 ,36 37 🥲,Negative,
16002 ,119 120 🥲,Negative,
16002 ,162 163 🥲,Negative,
16079 ,90 91 🥲,Negative,
16081 ,66 67 🥲,Negative,
16173 ,36 37 🥲,Negative,
16183 ,77 78 🥲,Negative,
16194 ,91 92 🥲,Negative,
16194 ,92 93 😭,Negative,
16380 ,25 26 🥲,Negative,
16629 ,8 9 🥲,Negative,
16704 ,31 32 🥲,Negative,
16705 ,44 45 🥲,Negative,
16907 ,93 94 🥲,Negative,
1691 ,69 70 🥲,Negative,
16946 ,215 216 🥲,Negative,
17078 ,16 17 🥲,Negative,
17101 ,25 26 🥲,Positive,
17230 ,1 2 🥲,Negative,
17235 ,59 60 🥲,Negative,
17336 ,18 19 🥲,Negative,
17573 ,33 34 🥲,Positive,
17620 ,112 113 🥲,Positive,
17718 ,31 32 🥲,Negative,
17748 ,118 119 🥲,Negative,
17786 ,67 68 🥲,Negative,
17797 ,33 34 🥲,Negative,
1780 ,77 78 🥲,Negative,
17830 ,54 55 🥲,Negative,
17897 ,94 95 🥲,Negative,
18417 ,14 15 🥲,Negative,
18417 ,72 73 😭,Negative,
18652 ,17 18 🥲,Negative,
18658 ,153 154 🥲,Negative,
18716 ,181 182 🥲,Negative,
18894 ,38 41 😭😭😭,Positive,
18894 ,76 77 🥲,Positive,
18971 ,96 97 🥲,Negative,
1919 ,272 273 🥲,Positive,
19196 ,80 81 🥲,Positive,
19220 ,90 91 🥲,Negative,
19295 ,32 33 🥲,Positive,
1934 ,86 87 🥲,Positive,
19366 ,68 69 🥲,Negative,
19394 ,44 45 🥲,Negative,
19456 ,41 42 🥲,Negative,
2023 ,52 53 🥲,Negative,
2056 ,46 47 🥲,Negative,
209 ,92 93 🥲,Positive,
2112 ,32 33 🥲,Negative,
2192 ,17 18 🥲,Negative,
2193 ,45 46 🥲,Negative,
221 ,57 58 🥲,Negative,
222 ,84 85 🥲,Negative,
2277 ,272 273 🥲,Negative,
2393 ,61 62 🥲,Positive,
2610 ,4 5 🥲,,
2663 ,161 162 🥲,Negative,
267 ,81 82 🥲,Negative,
3 ,180 181 🥲,Positive,
3095 ,6 8 🥲🥲,Unconfident,
3108 ,61 62 🥲,Positive,
3252 ,66 67 😭,Negative,
3252 ,67 68 🥲,Negative,
3329 ,63 64 🥲,Positive,
3391 ,49 50 🥲,Positive,
3429 ,19 20 🥲,Positive,
3438 ,17 18 🥲,Negative,
3458 ,45 46 🥲,Negative,
347 ,106 107 🥲,Negative,
3610 ,44 45 🥲,Positive,
3805 ,61 62 🥲,Positive,
3833 ,141 142 🥲,Negative,
3987 ,54 55 🥲,Positive,
3996 ,274 275 🥲,Negative,
4083 ,74 75 🥲,Negative,
412 ,138 139 🥲,Negative,
434 ,49 50 🥲,Positive,
4362 ,41 42 🥲,Negative,
4383 ,49 50 🥲,Negative,
4394 ,164 165 🥲,Negative,
4522 ,36 37 🥲,Positive,
4618 ,56 57 🥲,Negative,
4661 ,43 44 🥲,Negative,
4787 ,66 67 🥲,Positive,
4917 ,26 27 🥲,Negative,
4924 ,33 34 🥲,Negative,
5036 ,46 47 🥲,Positive,
5189 ,24 25 🥲,Positive,
5421 ,94 95 🥲,Positive,
5703 ,72 73 🥲,Positive,
5737 ,33 34 🥲,Negative,
578 ,48 49 🥲,Negative,
5918 ,70 71 🥲,Negative,
5955 ,44 45 🥲,Negative,
6000 ,69 70 🥲,Negative,
6061 ,25 26 🥲,Negative,
6080 ,107 108 🥲,Positive,
6180 ,19 20 🥲,Negative,
6197 ,34 35 🥲,Positive,
6210 ,52 53 🥲,Negative,
6263 ,14 15 🥲,Positive,
6561 ,39 40 🥲,Positive,
682 ,33 34 🥲,Positive,
683 ,32 33 🥲,Positive,
6949 ,6 7 🥲,Negative,
6957 ,79 80 🥲,Positive,
7063 ,46 47 🥲,Negative,
7196 ,45 46 🥲,Positive,
74 ,17 18 🥲,Negative,
750 ,85 86 😭,Negative,
750 ,200 201 🥲,Negative,
773 ,81 82 🥲,Positive,
7867 ,24 25 🥲,Negative,
7997 ,81 82 🥲,Unconfident,
8151 ,29 30 🥲,Negative,
8201 ,60 61 🥲,Positive,
8312 ,20 21 🥲,Negative,
8395 ,75 76 🥲,Positive,
8403 ,231 232 🥲,Positive,
8415 ,146 147 🥲,Negative,
8521 ,22 23 🥲,Negative,
8543 ,106 107 🥲,Negative,
8615 ,18 19 🥲,Negative,
8630 ,104 105 😭,Negative,
8630 ,105 106 🥲,Negative,
8777 ,185 186 🥲,Positive,
8835 ,54 55 🥲,Positive,
8840 ,34 35 🥲,Negative,
8911 ,24 25 🥲,Negative,
8925 ,91 92 🥲,Negative,
8944 ,29 30 🥲,Positive,
8981 ,84 85 🥲,Negative,
9049 ,76 77 🥲,Negative,
9104 ,30 31 🥲,Negative,
912 ,34 35 🥲,Negative,
9186 ,128 129 🥲,Negative,
9421 ,92 93 😭,Negative,
9421 ,93 94 🥲,Negative,
9434 ,64 65 🥲,Negative,
9463 ,49 50 🥲,Positive,
9515 ,19 20 🥲,Negative,
9520 ,23 24 🥲,Negative,
9558 ,14 15 🥲,Positive,
966 ,55 56 🥲,Positive,
9714 ,27 28 🥲,Negative,
9779 ,182 183 🥲,Negative,
