id,span,sentiment,comment
10704 ,13 14 🥹,Positive,
10720 ,151 152 😭,Positive,
10720 ,152 153 🥹,Positive,
11080 ,89 90 🥹,Positive,
12072 ,96 97 🥹,Negative,
12298 ,94 95 🥹,Positive,
1241 ,13 14 🥹,Positive,
1283 ,25 26 😭,Positive,
1283 ,78 79 🥹,Positive,
13160 ,25 26 🥹,Positive,
13356 ,57 58 🥹,Positive,
13439 ,76 77 🥹,Negative,"first part of the tweet seems positive but the ""but"" makes it seem like the last part is negative"
13719 ,10 11 🥹,Positive,
13838 ,0 1 🥹,Positive,
14016 ,41 42 🥹,Negative,
14409 ,174 175 🥹,Negative,
1448 ,168 169 🥹,Positive,
14535 ,70 71 🥹,Positive,
14600 ,23 24 🥹,Positive,
1485 ,36 37 🥹,Negative,
15596 ,57 58 🥹,Positive,
1583 ,30 31 🥹,Unconfident,Can't really tell
15908 ,36 37 🥹,Positive,
15909 ,29 30 🥹,Positive,
15981 ,67 68 🥹,Positive,
1608 ,40 41 🥹,Positive,
16197 ,66 67 🥹,Positive,"This might potentially read as negative with ""though"", not entirely sure."
16457 ,21 22 🥹,Positive,
166 ,21 22 🥹,Unconfident,nonsensical
16639 ,18 19 🥹,Unconfident,could be happy tears (positive) or sad tears (negative)
16769 ,36 37 🥹,Positive,"first part before ""but"" seems negative but maybe the second part is not negative"
16963 ,72 73 🥹,Negative,
17287 ,6 7 🥹,Unconfident,don't understand the context of the first part
17287 ,7 10 😭😭😭,Unconfident,don't understand the context of the first part
17287 ,61 63 😭😭,Negative,
17337 ,48 49 🥹,Positive,hopeful?
17693 ,26 27 🥹,Positive,
17762 ,53 54 🥹,Positive,
18017 ,38 39 🥹,Positive,
18053 ,92 93 🥹,Negative,longing
18076 ,95 96 🥹,Unconfident,I understand the context but I can't figure out if it's positive or negative (maybe negative because willing to give up a prized possession to get something else/reluctance)?)
18245 ,37 38 🥹,Negative,could potentially be positive if the person likes rain but context generally is negative
18325 ,8 9 😭,Positive,
18325 ,35 36 🥹,Positive,
1848 ,46 47 🥹,Positive,
1848 ,47 50 😭😭😭,Positive,
1862 ,85 86 🥹,Positive,
187 ,222 223 🥹,Positive,
1879 ,39 40 🥹,Positive,
18954 ,55 56 🥹,Positive,
1917 ,85 86 🥹,Positive,first part of tweet seems negative
19531 ,19 20 😭,Negative,
19531 ,20 21 🥹,Negative,
1960 ,42 43 🥹,Positive,
19879 ,118 119 🥹,Negative,
2004 ,78 79 🥹,Positive,
2158 ,84 85 🥹,Positive,
2158 ,133 134 🥹,Positive,
2217 ,40 41 🥹,Positive,
2302 ,161 162 🥹,Positive,
2343 ,0 1 🥹,Positive,humor?
2343 ,5 8 😭😭😭,Positive,humor?
2381 ,48 49 🥹,Negative,
2399 ,28 29 🥹,Positive,
2587 ,37 38 🥹,Negative,
2675 ,23 24 🥹,Positive,
2675 ,27 28 😭,Positive,
2675 ,117 118 😭,Positive,
2675 ,118 119 🥹,Positive,
2868 ,86 87 🥹,Positive,
3086 ,27 28 🥹,Positive,
3250 ,62 63 🥹,Positive,
3365 ,94 95 🥹,Positive,
3434 ,75 76 🥹,Negative,
3452 ,49 50 🥹,Positive,
3548 ,17 18 🥹,Negative,envy
3613 ,68 69 🥹,Positive,
3690 ,32 33 🥹,Positive,
3690 ,62 63 😭,Negative,
3796 ,58 59 🥹,Negative,
3796 ,61 62 🥲,Negative,
3859 ,25 26 🥹,Positive,
3997 ,16 17 🥹,Positive,
4296 ,77 78 🥹,Negative,longing
4404 ,45 46 🥹,Positive,
4434 ,26 27 🥹,Positive,bittersweet?
4527 ,28 29 🥹,Positive,
4679 ,9 10 🥹,Negative,
481 ,70 71 🥹,Positive,
4868 ,67 68 🥹,Positive,
4907 ,148 149 🥹,Positive,
4965 ,61 62 🥹,Unconfident,I don't understand. The first line seems negative and the last line seems positive.
5258 ,22 23 🥹,Positive,
5842 ,50 51 🥹,Positive,
592 ,26 27 😭,Positive,
592 ,28 29 🥹,Positive,
6419 ,111 112 🥹,Positive,
6686 ,126 127 🥹,Positive,
6773 ,89 90 🥹,Positive,
6781 ,20 21 🥹,Positive,
6836 ,23 24 🥹,Positive,
6897 ,22 23 🥹,Positive,
6914 ,16 17 🥹,Positive,
6951 ,35 36 🥹,Positive,
6987 ,44 45 🥹,Positive,
6987 ,45 46 😭,Positive,
7053 ,24 25 😭,Positive,
7053 ,26 27 🥹,Positive,
7093 ,28 29 🥹,Positive,
7670 ,45 46 🥹,Positive,
9047 ,40 41 🥹,Positive,
9179 ,20 21 🥹,Positive,
9330 ,73 74 🥹,Positive,
9330 ,120 121 🥹,Positive,
9330 ,137 138 🥹,Positive,
9429 ,154 155 🥹,Positive,
9429 ,155 156 😭,Positive,
9657 ,72 73 🥹,Positive,
9657 ,73 76 😭😭😭,Positive,
9877 ,29 30 🥹,Positive,
9963 ,0 1 🥹,Positive,
9963 ,157 158 😭,Negative,
