id,span,sentiment,comment
10170 ,94 95 😭,Negative,
10357 ,75 79 😭😭😭😭,Negative,
1090 ,57 58 😭,Negative,
11257 ,121 122 😭,Positive,
11665 ,21 25 😭😭😭😭,Negative,
11799 ,29 30 😭,Positive,
11862 ,8 10 😭😭,Negative,
11965 ,12 14 😭😭,Unconfident,
12221 ,119 121 😭😭,Positive,
12299 ,22 23 😭,Negative,
12822 ,9 10 😭,Positive,
12942 ,124 125 😭,Positive,
13151 ,48 49 😭,Negative,
13334 ,62 65 😭😭😭,Positive,
13380 ,147 151 😭😭😭😭,Positive,
13526 ,101 102 😭,Negative,
13917 ,81 86 😭😭😭😭😭,Negative,
14171 ,119 120 😭,Negative,
14204 ,42 44 😭😭,Positive,
14321 ,66 69 😭😭😭,Negative,
14575 ,4 6 😭😭,Positive,
14646 ,38 45 😭😭😭😭😭😭😭,Positive,
15212 ,59 62 😭😭😭,Negative,
15339 ,48 50 😭😭,Negative,
15455 ,35 36 😭,Negative,
15511 ,27 30 😭😭😭,Positive,
15573 ,48 52 😭😭😭😭,Negative,
15574 ,88 89 😭,Negative,
15697 ,32 33 😭,Negative,
15718 ,44 47 😭😭😭,Negative,
15786 ,50 54 😭😭😭😭,Unconfident,
15968 ,90 91 😭,Negative,
16161 ,100 101 😭,Negative,
16201 ,11 12 😭,Negative,
16423 ,66 67 😭,Negative,
1657 ,19 21 😭😭,Negative,
16652 ,39 40 😭,Positive,
16993 ,20 23 😭😭😭,Negative,
1747 ,12 13 😭,Positive,
17708 ,43 46 😭😭😭,Negative,
17932 ,21 22 😭,Unconfident,
18184 ,65 66 😭,Negative,
18204 ,37 38 😭,Negative,
18302 ,21 22 😭,Negative,
18337 ,17 22 😭😭😭😭😭,Unconfident,
18342 ,48 51 😭😭😭,Negative,
18390 ,54 57 😭😭😭,Positive,
18461 ,31 33 😭😭,Negative,
18539 ,31 32 😭,Positive,
18638 ,65 67 😭😭,Negative,
19120 ,18 19 😭,Unconfident,
19346 ,70 72 😭😭,Negative,
19634 ,12 13 😭,Positive,
2296 ,179 180 😭,Negative,
2401 ,66 70 😭😭😭😭,Positive,
2512 ,111 112 😭,Negative,
2816 ,26 27 😭,Positive,
3223 ,23 24 😭,Negative,
373 ,35 36 😭,Negative,
3793 ,164 165 😭,Negative,
4653 ,47 48 😭,Positive,
4703 ,16 17 😭,Positive,
5044 ,272 275 😭😭😭,Negative,
5151 ,48 49 😭,Negative,
5151 ,58 60 😭😭,Negative,
5660 ,106 107 😭,Positive,
5834 ,0 1 😭,Positive,
5935 ,28 29 😭,Negative,
5982 ,17 18 😭,Negative,
61 ,55 58 😭😭😭,Unconfident,
6377 ,146 152 😭😭😭😭😭😭,Negative,
6516 ,33 35 😭😭,Positive,
6567 ,57 59 😭😭,Positive,
6628 ,17 20 😭😭😭,Unconfident,
6630 ,73 74 😭,Negative,
6835 ,30 33 😭😭😭,Negative,
690 ,38 39 😭,Positive,
6915 ,70 71 😭,Negative,
6928 ,13 14 😭,Unconfident,
7087 ,44 45 😭,Negative,
7127 ,11 12 😭,Negative,
7127 ,76 78 😭😭,Positive,
7127 ,107 109 😭😭,Positive,
7157 ,85 86 😭,Negative,
7177 ,43 44 😭,Negative,
7222 ,40 41 😭,Negative,
7355 ,105 106 😭,Negative,
765 ,24 26 😭😭,Positive,
8209 ,40 41 😭,Negative,
8443 ,36 40 😭😭😭😭,Positive,
8528 ,75 76 😭,Negative,
8771 ,104 105 🥹,Positive,
8771 ,112 113 😭,Positive,
8779 ,91 92 😭,Positive,
8842 ,84 86 😭😭,Negative,
9150 ,202 203 😭,Negative,
9246 ,33 34 😭,Negative,
9257 ,44 45 😭,Negative,
9285 ,60 61 😭,Positive,
9380 ,67 68 😭,Positive,
94 ,53 54 😭,Positive,
9614 ,28 29 😭,Negative,
9783 ,77 79 😭😭,Negative,
9977 ,23 26 😭😭😭,Negative,
