ID,Comments
1,"HAPPY B'DAY PRETTYYYYY 🤍

BLOOMING KARINA DAY
#지민아_마이의_푸른봄은_너야
#Welcome_to_MyKarina"
2,Finally. It's wrap. Well done Enigma babies and the whole team. Becareful on the way back home. Have a rest naa 🤍
3,"I salute you! Let me wish you plenty of joy the b-day fun begin. May you be a source of blessings. The sun decided to shine at its glossiest of her b-day. Mirth, gregariousness, and smile witness how bright her existence. Happy Anni-birth-sary lovely Yoo Jimin. 🤍"
4,Have a great time girl 🤍
5,will extend until 11:45 🤍
6,Take care 🤍
7,"happy birthday karina sayang. You have aged and grown more mature, live your life at 23 years old now with happiness. once again happy birthday 🤍"
8,"⠀to those who've been interacting with me recently, thank you so much, it truly does mean a lot. 🤍
⠀
⠀"
9,Have a great one 🤍
10,"10/10 for all three of them, I'm absolutely in love with all of those designs 🤍"
11,"Protect me, my family, and loved ones always, Lord. Thank you po 🤍"
12,either way it is still a good choice 🤍
13,Great to see his work on the feed again. Honestly missed it 🤍
14,our first time 🤍
15,Having God centered in mines and my future husbands relationship is the best thing in the world. This man is such a huge blessing! 🤍
16,"I am grateful to be alive, and well. 🤍"
17,"happy birthday danielle! i love you, please have a wonderful day 🤍

HAPPY BIRTHDAY DANIELLE
#OUR_SUNSHINE_DANIELLE
#HappyDanielleDay 
#4월에_핀_해바라기_다니엘"
18,he got me the pandora ring i’ve been eyeing oh 🤍
19,Mashallah what a lovely picture. Happy birthday once again Kasim!🤍
20,"i'm in my own lane, on my own vibe. everyday i'm tryna improve myself mentally, physically, emotionally &amp; spiritually.. if i lose people during the process so be it 🤍"
21,I’d like to add that I will still like NSFW content just not RT it 🤍
22,never never get tired of looking at your eyes 🤍
23,happiest birthday to my girlie danielle 🤍
24,"so so so much support. love you all, thank you so much 🤍"
25,Have a lovely day V!! 🤍
26,"Karina is truly the best leader aespa could have asked for, she takes care of giselle, winter and ningning like an older sister. Someone with such pure and loving heart like hers should have the happiest birthday ever 🤍"
27,Home 🤍
28,Happy Monday from your fave nursing student 🤍
29,"Your girl made a Capybara! 🤍

Also check out my page on"
30,congratulations.. many more special yet to come. 🤍
31,Gm have a great start to your week y’all 🤍
32,Excess love 🤍
33,"Jiung's plog! Yayy !!
Thank you so much 🤍"
34,"Today we remember Stuart Sutcliffe, John Lennon's darling friend who passed away on this day in 1962. Stu inspired John's artistically in many ways and was also inspired by John

I hope they had the opportunity to hug once more 🤍 May Stu rest in peace"
35,"got married this weekend and then celebrated at Turner Falls with all of my people 
happy 🤍"
36,"i never thought i would be this attach to u two that voting everyday become part of my everyday routine. idk how big the chance to happen but im still hoping you'll debut tgt. whatever the result, im so so so proud of u my seunghao 🤍

#유승언 #YOOSEUNGEON #장하오 #ZHANGHAO"
37,i don’t rlly feel much attachment to this acc anymore but im glad i made it and the connections i made from it 🤍
38,#LaysMaxExclusiveLiveXBright 🤍
39,tnx for the support today fam 🤍
40,"Yay!! Welcome home Brian 🤍
#Welcome_Home_YoungK #영케이_전역_축하해"
41,I politely ask to join 🤍
42,🤍 This is what love is about 🤍
43,"what’s on your mind / share your thoughts = my kind of people 
🤍"
44,11:11 - 🤍
45,"you both did so well today hyunsuk &amp; haruto, have a good rest babies!!🤍  #최현석 "
46,"i got WHITE, reply and im going to give you a color to post your fav album cover 🤍"
47,"I feel safe in white because deep down inside, I'm an angel. — S.C.

🤍"
48,aww that's so sweet 🤍
49,time check. baobei's happiness 🤍
50,11:11 all wishes of jay to come true 🤍
51,11:11 i have everything i could ever wish for 🤍
52,all are taken thank u so much 🤍
53,happy to see karina celebrating her birthday with the members &lt;3 my aes girlies 🤍
54,It was perfect. 🤍
55,Sharing love and life with someone is my favorite 🤍
56,"11:11 happy birthday to this angel, i love you in every universe 🤍"
57,Also very thankful to anyone that has checked in on me. Like actually checked in. I love you. You’re fab and deserve great things. 🤍
58,11:11 wager win cutie 🤍
59,11:11 🤍
60,"🤍
MELODY OF SCENTS D3 #DOJAEJUNG_Commitment"
61,"yung last part talaga will always be my favorite part of dash mv. sa shot kasi na ‘to para bang yung dating is sinasabi nila na “we are hori7on and we are ready to conquer the global stage as one” 🤍

#HORI7ON"
62,They're just so adorable 🤍
63,"happy birthday to the best girl !! 🤍

BLOOMING KARINA DAY
#지민아_마이의_푸른봄은_너야
#Welcome_to_MyKarina"
64,I got my third stamp from WonyoungUNRM 🤍
65,"Happy 10-10 for us and to infinity for love! See you on the next chapter of our cherished story called me and you,  sayang. 🤍"
66,"let's be moots, co-peuldeungies? :D 🤍

#plave_mutuals #plave_intro #plavetwt"
67,"#SofiaAtSeventeen
SOFIAPABLO Turns is turning 17 today
Happy 17th birthday mahal naming Sofia stay humble and simple mag iingat ka palagi see you soon. 🤍"
68,Well done everyone 🤍
69,"their reaction when they said one of the host is a chef, pls treasure and their big genuine reaction when somethings amazes them. even the host said “i reall like their reactions”!!🤍"
70,🤍 your top 3 song?
71,"happy birthday, my little monday fairy #Welcome_to_MyKarina 🤍"
72,"🤍
MELODY OF SCENTS D3
#DOJAEJUNG_Commitment"
73,"I love the cute artwork of the original graphic, but love it even more now that you’ve fixed the text component. 🤍"
74,"happy birthday love, may you always be happy 🤍"
75,"( 110423 ) happy birthday jung ahyeon , i love you so much 🤍

HAPPY AHYEON"
76,"Ya ALLAH!! It hurts it hurts a lot. But i know you're testing me. I don't know what is planned for me but I'm putting all my trust and hope into you. I'm so tired ya rab fix my heart, heal my soul.🤍"
77,My favorite style 🤍
78,That's why they have pictures with freen most of the time. Freen loves dogs and it heals her. 🤍
79,happy birthday 🤍
80,"happy birthday beautiful soul 🤍

BLOOMING KARINA"
81,gnight lads 🤍
82,gm to family 🤍
83,I love you in any color 🤍
84,Thank Youuuuuuu!🤍
85,"Lovely evening, Jennie unnie! Let me apologize for my tardy presence here, thus I hope It's not late to bid my hi to the prettiest unnie in town! Hello, unnie! How's everything with you? 🤍"
86,an angel with angelic voice. 🤍
87,"FINALLY WELCOME BACK YOUNGK!🤍 gasabar sama gebrakan2 yonk 
#Welcome_Home_YoungK
#영케이_전역_축하해"
88,tattooing this on my forehead 🤍
89,With god all things are possible 🤍
90,withaseul update 🤍
91,his dimple 🤍
92,"D-428
#WaitingForTheAstronaut 🤍
#To_Jin_From_Army
#Dear_Jin_From_ARMY"
93,i got in my feels yesterday but my mom never fails to remind me how much i’ve grown as a person and how much healing i’ve been doing to b where i’m at emotionally and mentally. i should b so fucking proud 🤍
94,"during jungwon's trainee days, it's heartwarming to know that a lot rlly found him cute (like his members' first impression on him, bh casting head, and artists like wayv's kun) &amp; how his hardwork, which led him to attain first place during their monthly eval, is recognized 🤍"
