ID,Comments
1,"So horny right now, sending pics of my thick hard cock to every girl that  dms 😋                                      
#horny #hard #cum #dick #cock #bwc #dmme #cocktribute #cumtribute #wankchat #wanktribute #nsfw #nsfwtwt #dickrate #tributeyou #sub #gavat #pasif"
2,😋  I will be quiet cause she already know.
3,"tonights supper is fake bake and chips. tomorrow, the big feast will be a ton of steamed veg with gravy. not doing anything special, but when brussel sprouts are in abundance, I buy 'em 😋"
4,Bout to make my linguini 😋
5,R word as in Reckless 😋
6,Kaiba in pastel colors 😋
7,"#CostOfLivingCrisis 
Just preparing #EasterSunday Lunch the butcher was doing a deal 😋 imean lamb's lamb from were ever 😋"
8,oh!!! when I clean his tank he gets put into a little cup and he sits there n happily enjoys some worms while I clean it 😋😋
9,"It's so great to have a variety. I filled these 4 Oz ers, put the larger containers in pantry I love BBQ rubs and sauces too! Let's cook! Tomorrow we're doing a rack of pork with Applewood and a little Mesquite. 😋"
10,😋😋
11,"you look great doing what you do, keep it up😋
:D"
12,Damnnnn!! Need to drink up some coffee asap. 😋
13,😋
14,BLURPLE IS. A pretty neat color as well 😋
15,My favorite salad😋
16,"Mmm 😋 

Tacos were good 

The movie is next but we are waiting until it’s dark 

Having an awesome weekend with my daughter ! And got to write the past few days"
17,Hang in there! We are the test dummies hehe 😋
18,a time was had 😋
19,i wonder what Mexican spot we goin to .. 😋
20,Looks delicious 😋
21,I would eat you dry sexy 😋
22,"The State of that film does thoroughly offend me though! 😋

What kind of warning was it anyway?"
23,ll who wouldn't hang with ll 😋
24,Toppp 😋
25,"I don’t have one close by, so when I’m out near one, it’s a huge treat! has the best coffee &amp; this is the best flavour, Caramelo! 😋"
26,Tasty looking 😋
27,They r lime flavored 😋
28,"Fuvk girl that you showing there,definitely thicker 😋"
29,Late lunch at the Thai/Lao fusion spot called Sang Dao. Lao style Som Tam is my favorite 😋#foodie
30,ure gonna have a baby sister or a baby brother love😋😋😋
31,Blew up my asshole with spicy food last night and Im bout to do it again 😋
32,My favourite too 😋
33,"Chocolate degustation has started 😋
#HappyEaster #EasterEggs"
34,ordered my first chipotle wit the money i was supposed to give to my barber 😋
35,Going Home😋
36,Cruyff at it too 😋
37,Making a nice Easter Dinner tonight since I have to work tomorrow Steak shrimp baked potato and veggies...yum😋
38,if you tell me who you are then sure 😋
39,The peer review is my favorite research assignment 😋
40,Akamu to the world especially those ones they add ginger to ah shet with better milk and sugar dey slap brain die 😋
41,these 3 😋
42,"Good choice ser, staking goes live in a few hours, you might wanna grab some more😋"
43,😋
44,"Had this at the strawberry festival. 
This is really delicious 😋"
45,Them home made edibles be different 😋
46,omg their so good &amp; microwave it for 15 seconds they taste fresh baked😋😋
47,Nothing better than a drink that wants to give me a heart attack😋
48,Thanks for coming George!! Hope you enjoyed the food 😋
49,yes 😋
50,I had a chicken burrito earlier today 😋
51,Lololol 😋
52,I put them in my chocolate milk and iced coffee when I get them 😋
53,Any time!!!😋😋😋😋😋😋
54,IKR!! 😋😋 (BYW YOU GUYS SHOULD ACTUALLY WATCH IT)
55,😋😋😋😋
56,"I find it fascinating 😋 Havinf fun exploring different ways to eat it and different types - that green one has grated daikon, which I'm excited to try!"
57,99% are no salt! All they have is delicious flavor 😋
