ID,Comments
1,Something we can finally agree on 😂
2,"TBF, he was tryna calm him down before the yellow too😂"
3,I had to ask what ‘cap’ meant the other day 😂
4,This meme's been making me laugh so much 😂
5,who asked you to take me seriously? i said what i said you don’t gotta take it you dumbass 😂
6,Hahahaha if you say so sheep😂 science has been wrong many a time you should know that just look during the pandemic we were a laughing stock😂😂😂
7,"Lmfaoo what standard? Not looking like a hog? Yeah, get over it😂"
8,"i have too much fun drunk, i need to stop 😂😂"
9,Y’all are using the opportunity to post your pictures 😂
10,Bunch of bitches you fans are😂 ain’t won in Anfield in over 10 years and think it’s cos you’re in title race? Sureee
11,😂😂 you never give up
12,"Honestly i only trust for calls lol, he’s literally always right 😂"
13,real😂😂
14,My problem is I’m mad territorial. I dead won’t like somebody nomore but I don’t want nobody else to have them 😂
15,We’re usually 3-0 down at HT I’ll take this😂
16,At least the flames have a shot at Beda- ohh wait they don’t even have that 😂
17,Good grief 😂😂
18,😂😂 bet he's curled up by a heater now
19,I’m tired of seeing some picture here 😂
20,Lord I would have broke my back or slid right off that stage 😂 Shownu you fittie #SHOWNU
21,It’s a Paul Tierney disaster class 😂
22,Didn’t promise y’all a collaboration of Coffee with Khosi and Tea with Thabang? Hang in there bethunana 😂 he’ll post that content on his YT channel.
23,Maybe they are all broke na 😂
24,😂😂
25,I would necessarily say it 😂😂😂 Craving copious amounts of attention from your partner is DEFINITELY an insecurity thing.
26,It’s been a while since I hit up Dennys on my way to getting home at 4:30 AM racing to beat the sun 😂 Good times.
27,The party still continues fam 😂😂
28,And that’s jus sad. Plz don’t admire him. No. 😂
29,😂😂no way he's among the greats without ever winning the pl
30,"I swear if Darwin was on the pitch in the last 10mins, there would have been bets on how long until he’s sent off… 😂"
31,😂 what's that supposed to mean now.
32,"You're a very empty person. I suggest meditation, a glass of wine, or yoga perhaps? You're not ""right,"" at all, but keep telling yourself that.😂"
33,I wouldn't be happy after that first half performance 😂
34,Why are they angry at the refs if anything it should be us 😂😂😂
35,Woke up to my man cleaning up to Faith Evans blasting on our big speaker lol 😂 This man cracks me up I love him so much
36,Had those on my old place roof. Lost the stands for the original and E. so those are gonna hang up again 😂
37,"😂 you’re funny… Tragic, but funny 😂"
38,"Lmao need to change mine this year 
Cuz narrow escape 😂😂"
39,"So between Fabihno, Henderson and Jones, who's playing the DM role, and No 10? All of them are running as if they're headless.😂"
40,😂 I trust klopp to disappoint you
41,y’all going to hell 😂
42,How can arsenal fans talk about Kane going down and then watch this game with a straight face😂😂
43,Meanwhile 80 percent of Konnan’s speech was literally how good he was at scouting and pushing Rey 😂 but credit to him he made it sound good
44,It's always the pretty ones with the bird brains😂
45,"Played more Nox by 

Finally at 4p. This is a fast, vicious little card game that plays up to 6. 

Something tells me it would be wonderful bloody madness at 6. 😂 

I lost…not even breaking 100 (150 triggers end game). 😂"
46,Baba I’m telling you 😂. Happy Easter my brother
47,"Trent will see something that 2nd Half. 

Weyrey go collect yellow 1st half. 

By the time Martinelli is done with him 😂"
