ID,Comments
1,"Yeah, maybe that’s it. 😅"
2,"Dj, but sidenote how's ty williams made the shortlist 😅 few excellent games but surely nowhere near our pots"
3,Lol you should check the post I tagged you in with 17 thousand likes… everyone knows Forspoken was a huge flop… not sure why you’re acting otherwise lol but good on you for being super optimistic 😅
4,He’s actually a very nice gay guy from London now living in LA 😅
5,score...somehow got 2 wallets on AL 😅 think cause i submitted my hot to you...but maybe caus skate was transferred to my vault...either way stoked!
6,I should have been asleep before 10pm. Went wayyy past that 😅
7,"we are going into this not knowing anything about their concept aside from the fact that the cb is called fml and the 3 pics from the schedule (a flooded bedroom, a fawking lamp, boxing ring) 😅 IM GONNA PEE MY PANTS IM SO SERIOUS IDK WHAT TO EXPECT"
8,And of course a Kirby movie. But that would a horror flick😅😅
9,"I thought my arm was too small so I think it's sensor is a bit off! The panic when it happens 😅

Cheers for the heads up!"
10,I was going to say...😅
11,"There is always that one super chatty early bird, lol. I love the energy, don't get me wrong...but yea, coffee is very much needed first😅"
12,I dated this dude for 5 years and he recently deleted me off of all social media right after he posted that he proposed to his new girl. Kinda weird timing. Wtf does that mean? 😅
13,This is pure liberal gold!!!!😅😅😅
14,"Thanks, Constantin!

Added to todo list 😅"
15,Talk about your river island days 😅 in all fairness its a testament to how far youve come. Allah continue to bless you bro
16,No 😅 pay yourself first please
17,Apparently this is a terrible idea😅
18,There was a fan-translated version then an official English version that came after the fan translation. The whole fandom was in an uproar about the localized name (Hide and Sleek) while I was like one of 10 people who quite enjoyed the name and thought it fit 😅
19,"No worries. It’s so much information, I understand. 😅 But it’s right in the beginning, here we go:"
20,"As a customer , how are you comfortable providing your social security number but you draw the line at your date of birth ? Like .. huh ?! 😅 truly concerned ."
21,I wonder if Kiryu now feels guilty for telling Daigo to fuck off when he asked for advice in dealing with this new crisis 😅
22,"I stop supporting every March after the yearly humiliation in champion's league
then every summer I start thinking ""what if? that year may be different?"" only to be sad again 😅"
23,So what trails are safe for me to go to now!? 😅
24,When I saw the stat I thought it was for ethnic minorities. It's everyone 😅
25,Lol sooon. But like how does it feel to be that close them 😅
26,That Valley though. I must go there at least once in my life. 😅
27,Not as good as you 😅
28,Blood angels and Raven guard for me 😅
29,Luckily we have then team to clean it up if they ever did flood our own office😅
30,It is sick to think about and absolutely rubs me the wrong way and leaves me smfh 😅
31,Exactly 😅
32,"Chiquilin/actual

Era blanquito 😅"
33,I bought 3 scarlet and 2 violet etbs for that 😅
34,"Seeing some odd UI things lately. Imagine if, when a carpenter was using his hammer, a bunch of confetti sprung out of it. I know stuff like this can be nice (I like it!) but do we not think things are getting a bit daft? 😅"
35,"Yeah same 😅 2ha really broke me at some parts and they still do..

i really wonder too with what meatbun comes up in yuwu for us xD"
36,"I literally thought it was you in the picture, I was about to compliment you on your toes 😅😅😅😅"
37,"I’m really bad at being on vacation if I’m not actually going on a trip. 

Day 2 of April Break: Running random errands just for the sake of getting out of the house 😅"
38,Lol it definitely does grow on you 😅
39,"All of them in that order, First everything is funny, then everybody gets to hear I love them and then I pass Out😅"
40,Hopefully. I have no confidence in the judge of this competition. 😅
41,I originally pulled up these pics for the “post yourself as the villain” chain but I really don’t see her that way so I’d feel guilty posting her for that. But then I realized I did still kinda want to post some pics of that costume lol 😅
42,Dudes trying his best 😅
43,I'm not sure he knows what he's doing 😅😅😅
44,most of the idols representing their groups here are the leaders and then there’s hoon😅
45,"Change your name already to PTP ""Phone Theft Police""😅"
46,"For 2FA, you just need to use something like Google Authenticator or Apple Keychain now. The SMS 2FA is actually pretty insecure. 😅"
47,the things I like about Fore 😅
48,I hope this job dont call me for training while im on spring break cause i think i change my mind😅
49,😅😅 that's so frustrating and they're not even updating you
50,That account really make meme as fast as they could 😅
51,حاضر 😅😅😅
52,"We might have got back a bit too early in the year, it was very windy today! 😅"
53,"oh theres so much more on him, one thread is not enough 😅 and yes he did dump those lol"
54,"I wish you will say this without blocking me 😅 bango's slave stans 
Loser's"
55,Looks like don't know for sure 😅
56,Haaland throwing his toys out the pram😅😅😅😅
57,Relatively unknowns absolutely redlining against Novak are one of my absolute favourite storylines (with a ridiculously predictable ending 😅)
58,thank you! im not sure if i should join the 2nd queue or not since im still in this one or whatever? and saturday would work better for my schedule but 😅 well see
59,"Acho so bored of the Easter holidays now, just want my routine back and to stop being so fucking depressed 😅"
60,"That’s two times in three years he lost in the Finals after dominating a league that is crazy hard and ful of overprepared basketball nerds. Due to absolute bad luck bullshit. 

By the way we are all in our forties. 😅"
61,Doesn't that sum up most of the games anyway😅
62,"Pakistan can win matches only on the basis of their fast bowling and Chennai won’t be for the pacers ,yes Pakistani pitches are similar to Chennai but Pakistan Ghar pe jit ta kha h 😅"
