ID,Comments
1,"take care and get well soon 🥰
#Saint_sup #MingEr"
2,So excited to read more things from you — thank you! 🥰
3,omg that’s one of my favourite taylor’s songs 🥰
4,Baby Should Be Off Soon 🥰
5,So did I 🥰
6,"It’s just to dark for me. This is the blue ,trim around window,I plan on painting the kitchen doors to match the sunroom/ bird room 🥰"
7,I saw!! 🥰 i knew you wouldn’t
8,"Oh my God!, These babies are killing me , absolutely adorable 🥰"
9,From one boy mom to another congrats 🥰
10,they’re our sun and moon 🥰
11,bien tierno ese cubito. 🥰
12,nice weather again means car shows and Sunday cruise nights 🥰
13,That would be cute af 🥰
14,I love #springflingkidlit. I enjoy the challenge to myself to dig deep for an idea and spring it to life. Thank you!! 🥰
15,I was NOT paying attention but he mentioned skzoos 🥰
16,"One of these days I'm just gonna rip out my uterus and give it to them, since it matters sooooo much to them. Then they can use it 🥰"
17,i love this for you and am so proud!!! this makes me happy 🥰
18,🥰
19,You bring up a good point. I really don't mind co existing. I just think religion is a bad thing. So I don't want it near me. But everyone else is free to do whatever makes them happy. I mean that 🥰
20,"The very last print art from this illustration (9 ex) will be available in in a couple of weeks and then will be retired! 

I will post those days the illustrations that are almost sold out and will be retired.

I hope you like them!
🥰"
21,My cousin’s daughter made these little racecar twinkies for Easter and did a special one for me 🥰
22,pf 🥰
23,I love this so much! Happy Easter yet again 🥰
24,is sucha Pisces 🥰 love that for her
25,"Happy Easter Lloyd. I know this Easter will seem different for you and your family, but I hope you can make it a peaceful and reflective one. Thinking of you. 🥰"
26,"Happy Easter! We hope everyone is enjoying today in some way, even those who don't celebrate.
As for us... Diluc laid an egg ?! I'm so happy! Can't wait to be a papa 🥰 - K.

#kaeluc #ガイディル"
27,Awe thanks! It was much needed but I am very happy to be home! 🥰
28,Omg ur so prettyy!!🥰
29,Memphis next I’m Excited I never been 🥰
30,so happy for you!!! maybe we can have a double date with me and grommie 🥰
31,"Great, the more the merrier - I am not sure how many it took to take him down but that's the way to go 🥰"
32,"Tiktok banner, 10M radio first week, billboards, high budget mv, website sales, slowed + reverbed version, gag worthy cover art and playlisting pls 🥰"
33,Have a great holiday! 🥰
34,"If I had  to speak about love , I’d  tell them about my girlfriends 🥰"
35,"*the Queen has entered the chat*

IYKYK 🥰"
36,Adorable isn't she 🥰
37,I'm such a b*tch for period dramas 🥰
38,I’m so glad i know how to cook cook 🥰
39,Another performance Friday 🥰
40,The beautiful tears of angry Jesus hating jews. 🥰
41,unfortunately i don't know anything about wh40k but yes i think you get the idea 🥰
42,Cheers for Liam Kelly 🥰
43,How wonderful life is while you're in the world !🥰
44,you mean ross and rachel ? yeah 🥰
45,For all those celebrating 🥰
46,Good to see you as well 🥰
47,"yesss so true 🥰 im excited to finally get there bc ik how different each tour is &amp; how much ""looser"" they get when they may mess up or mess around w each other on stage from vids I've seen compared to the dna tour lol. im on get weird tour (organization wise lmao)"
48,"Blustery day in St Andrews, but still one on my favourite places 🥰"
49,i'm so endeared by chenle 🥰 he's definitely on my 'list of idols that i care so very deeply for even tho i'm just a casual of that group'
50,It changes a lot but lately I've really been enjoying What I Like and party 4 u 🥰
51,It dies. They deserve a happy ending with a baby of their own. 🥰
52,Easter Sunday is always a beautiful day! 🥰
53,When your man knows your angles&gt;&gt;🥰
54,As soon as he gets free from making moas bark.. we'll do it.🥰
