1,"(81, 84)",😭😭😭
10,"(19, 21)",😭😭
100,"(178, 179)",😭
1000,"(59, 60)",😭
10000,"(39, 40)",😭
10001,"(38, 41)",😭😭😭
10002,"(0, 1)",😭
10003,"(67, 68)",😭
10004,"(29, 31)",😭😭
10005,"(58, 62)",😭😭😭😭
10006,"(82, 84)",😭😭
10007,"(99, 100)",😭
10008,"(38, 39)",😭
10009,"(52, 54)",😭😭
10009,"(108, 136)",😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
1001,"(54, 55)",😭
10010,"(51, 52)",😭
10011,"(272, 273)",😭
10012,"(31, 32)",😭
10013,"(75, 76)",😭
10014,"(20, 21)",😭
10015,"(57, 60)",😭😭😭
10016,"(73, 74)",😭
10017,"(86, 89)",🥹🥹🥹
10017,"(89, 93)",😭😭😭😭
10018,"(59, 61)",😭😭
10019,"(17, 18)",😭
1002,"(43, 45)",😭😭
10020,"(86, 87)",😭
10021,"(31, 33)",😭😭
10022,"(20, 21)",😭
10023,"(19, 20)",😭
10024,"(48, 49)",😭
10025,"(73, 75)",😭😭
10026,"(21, 22)",😭
10027,"(42, 43)",😭
10028,"(71, 72)",😭
10029,"(29, 30)",😭
1003,"(28, 30)",😭😭
10030,"(88, 91)",😭😭😭
10031,"(80, 81)",😭
10032,"(72, 74)",😭😭
10033,"(120, 121)",😭
10034,"(32, 33)",😭
10035,"(17, 19)",😭😭
10036,"(13, 14)",😭
10037,"(24, 25)",😭
10038,"(68, 69)",😭
10039,"(20, 22)",😭😭
1004,"(30, 32)",😭😭
10040,"(18, 19)",😭
10041,"(38, 39)",😭
10042,"(46, 47)",😭
10042,"(132, 133)",🥹
10043,"(61, 62)",😭
10044,"(85, 88)",😭😭😭
10045,"(24, 25)",😭
10046,"(52, 53)",😭
10047,"(37, 38)",😭
10048,"(37, 38)",😭
10049,"(130, 131)",😭
1005,"(43, 44)",😭
10050,"(43, 44)",🥲
10050,"(44, 45)",😭
10051,"(106, 108)",😭😭
10052,"(56, 58)",😭😭
10053,"(113, 114)",😭
10054,"(65, 66)",😭
10055,"(27, 28)",😭
10056,"(68, 70)",😭😭
10057,"(37, 38)",😭
10058,"(258, 263)",😭😭😭😭😭
10059,"(35, 36)",😭
1006,"(227, 228)",😭
10060,"(67, 68)",😭
10061,"(55, 59)",😭😭😭😭
10062,"(42, 43)",😭
10063,"(46, 48)",😭😭
10064,"(53, 56)",😭😭😭
10065,"(69, 73)",😭😭😭😭
10066,"(77, 78)",😭
10067,"(48, 49)",😭
10068,"(36, 40)",😭😭😭😭
10069,"(20, 24)",😭😭😭😭
1007,"(53, 55)",😭😭
1007,"(80, 81)",🥲
10070,"(10, 11)",😭
10071,"(32, 33)",😭
10072,"(11, 12)",😭
10073,"(24, 27)",😭😭😭
10074,"(23, 25)",😭😭
10075,"(99, 100)",😭
10076,"(129, 130)",😭
10077,"(89, 90)",😭
10078,"(47, 48)",😭
10079,"(18, 19)",😭
1008,"(24, 25)",😭
